brand,model_name,camera_type,output_type,sensor_name,sensor_brand,sensor_extra,sensor_size_mm,sensor_size_inch,resolution_mp,resolution_w,resolution_h,pixel_size_h,pixel_size_v,shutter,frame_rate,line_rate,spectrum,spectrum_min_nm,spectrum_max_nm,sensor_color,lens_mount,interface,interface_power,pixel_format,sensor_architecture,weight_g,dimension_w,dimension_h,dimension_l
Allied Vision,Alvium G1-030 VSWIR,area,,IMX991,Sony,InGaAs,4.61,"1/4""",0.3,656.0,520.0,5.0,5.0,global,249.0,,SWIR,400.0,1700.0,,"C-mount, CS-mount",GigE,PoE,"Mono8 (default), Mono10, Mono10p, Mono12, Mono12p, Mono12Packed",InGaAs,70,29,29,41
Allied Vision,Alvium G1-040,area,,IMX287,Sony,,6.3,"1/2.9""",0.4,728.0,544.0,6.9,6.9,global,298.0,,Visible,300.0,1100.0,,"C-mount, CS-mount, S-mount",GigE,PoE,"Mono8, Mono10, Mono10p, Mono12, Mono12p, Mono12Packed | BayerRG8, BayerRG10, BayerRG10p, BayerRG12, BayerRG12p, BayerRG12Packed | RGB8 (default), BGR8 | YCbCr411_8_CbYYCrYY, YCbCr422_8_CbYCrY, YCbCr8_CbYCr",CMOS,70,29,29,41
Allied Vision,Alvium G1-1236,area,,IMX304,Sony,,17.6,"1.1""",12.4,4112.0,3008.0,3.45,3.45,global,9.0,,Visible,300.0,1100.0,,"C-mount, CS-mount",GigE,PoE,"Mono8, Mono10, Mono10p, Mono12, Mono12p, Mono12Packed | BayerRG8, BayerRG10, BayerRG10p, BayerRG12, BayerRG12p, BayerRG12Packed | RGB8 (default), BGR8 | YCbCr411_8_CbYYCrYY, YCbCr422_8_CbYCrY, YCbCr8_CbYCr",CMOS,70,29,29,41
Allied Vision,Alvium G1-1240,area,,IMX226,Sony,,9.33,"1/1.7""",12.2,4024.0,3036.0,1.85,1.85,"global reset, rolling",9.0,,Visible,300.0,1100.0,,"C-mount, CS-mount, S-mount",GigE,PoE,"Mono8, Mono10, Mono10p, Mono12, Mono12p, Mono12Packed | BayerRG8, BayerRG10, BayerRG10p, BayerRG12, BayerRG12p, BayerRG12Packed | RGB8 (default), BGR8 | YCbCr411_8_CbYYCrYY, YCbCr422_8_CbYCrY, YCbCr8_CbYCr",CMOS,70,29,29,41
Allied Vision,Alvium G1-1242,area,,IMX545,Sony,,14.0,"1/1.1""",12.4,4128.0,3008.0,2.74,2.74,global,9.0,,Visible,300.0,1100.0,,"C-mount, CS-mount",GigE,PoE,"Mono8, Mono10, Mono10p, Mono12, Mono12p, Mono12Packed | BayerRG8, BayerRG10, BayerRG10p, BayerRG12, BayerRG12p, BayerRG12Packed | RGB8 (default), BGR8 | YCbCr411_8_CbYYCrYY, YCbCr422_8_CbYCrY, YCbCr8_CbYCr",CMOS,70,29,29,41
Allied Vision,Alvium G1-130 VSWIR,area,,IMX990,Sony,InGaAs,8.15,"1/2""",1.3,1296.0,1032.0,5.0,5.0,global,88.0,,SWIR,400.0,1700.0,,"C-mount, CS-mount",GigE,PoE,"Mono8 (default), Mono10, Mono10p, Mono12, Mono12p, Mono12Packed",InGaAs,70,29,29,41
Allied Vision,Alvium G1-131,area,,EV76C560,Teledyne e2v,,9.0,"1/1.8""",1.3,1280.0,1024.0,5.3,5.3,global,60.0,,Visible,300.0,1100.0,,"C-mount, CS-mount, S-mount",GigE,PoE,"Mono8, Mono10, Mono10p, Mono12, Mono12p, Mono12Packed | BayerRG8, BayerRG10, BayerRG10p, BayerRG12, BayerRG12p, BayerRG12Packed | RGB8 (default), BGR8 | YCbCr411_8_CbYYCrYY, YCbCr422_8_CbYCrY, YCbCr8_CbYCr",CMOS,70,29,29,41
Allied Vision,Alvium G1-158,area,,IMX273,Sony,,6.3,"1/2.9""",1.6,1456.0,1088.0,3.45,3.45,global,74.0,,Visible,300.0,1100.0,,"C-mount, CS-mount, S-mount",GigE,PoE,"Mono8, Mono10, Mono10p, Mono12, Mono12p, Mono12Packed | BayerRG8, BayerRG10, BayerRG10p, BayerRG12, BayerRG12p, BayerRG12Packed | RGB8 (default), BGR8 | YCbCr411_8_CbYYCrYY, YCbCr422_8_CbYCrY, YCbCr8_CbYCr",CMOS,70,29,29,41
Allied Vision,Alvium G1-1620,area,,IMX542,Sony,,17.6,"1.1""",16.2,5328.0,3040.0,2.74,2.74,global,7.0,,Visible,300.0,1100.0,,"C-mount, CS-mount",GigE,PoE,"Mono8, Mono10, Mono10p, Mono12, Mono12p, Mono12Packed | BayerRG8, BayerRG10, BayerRG10p, BayerRG12, BayerRG12p, BayerRG12Packed | RGB8 (default), BGR8 | YCbCr411_8_CbYYCrYY, YCbCr422_8_CbYCrY, YCbCr8_CbYCr",CMOS,70,29,29,41
Allied Vision,Alvium G1-192,area,,EV76C570,Teledyne e2v,,9.0,"1/1.8""",1.9,1600.0,1200.0,4.5,4.5,global,59.0,,Visible,300.0,1100.0,,"C-mount, CS-mount, S-mount",GigE,PoE,"Mono8, Mono10, Mono10p, Mono12, Mono12p, Mono12Packed | BayerRG8, BayerRG10, BayerRG10p, BayerRG12, BayerRG12p, BayerRG12Packed | RGB8 (default), BGR8 | YCbCr411_8_CbYYCrYY, YCbCr422_8_CbYCrY, YCbCr8_CbYCr",CMOS,70,29,29,41
