brand	model_name	camera_type,sensor_name,_basler_vendor,sensor_brand,sensor_extra,sensor_size_mm,sensor_size_inch,resolution_mp,resolution_w,resolution_h,pixel_size_h,pixel_size_v,shutter,frame_rate,line_rate,spectrum,spectrum_min_nm,spectrum_max_nm,sensor_color,lens_mount,interface,interface_power,pixel_format,sensor_architecture,weight_g,dimension_w,dimension_h,dimension_l
Basler	r2T16416-500cm	line,GLT5016BSI,Gpixel,,,,,,16416.0,256.0,5.0,5.0,global,,500.0,Visible,,,,M90x1,CoaXPress,,,Hybrid CCD/CMOS,1420,110,110,106
Basler	a2A5320-29mgc	area,IMX542,Sony,,,16.78,"1.1""",,5320.0,3032.0,2.74,2.74,global,29.0,,Visible,,,,C-mount,GMSL2,,,CMOS,85,29,29,42.8
Basler	a2A3536-37mgm	area,IMX676,Sony,,,10.04,"1/1.6""",,3536.0,3536.0,2.0,2.0,rolling,37.0,,"Visible, NIR",,,,C-mount,GMSL2,,,CMOS,85,29,29,42.8
Basler	a2A1920-168mgm	area,IMX392,Sony,,,7.77,"1/2.3""",,1920.0,1200.0,3.45,3.45,global,168.0,,Visible,,,,C-mount,GMSL2,,,CMOS,85,29,29,42.8
Basler	a2A2448-90mgm	area,IMX547,Sony,,,8.75,"1/1.8""",,2448.0,2048.0,2.74,2.74,global,90.0,,Visible,,,,C-mount,GMSL2,,,CMOS,85,29,29,42.8
Basler	a2A5328-19mgm	area,IMX540,Sony,,,19.26,"1.2""",,5328.0,4608.0,2.74,2.74,global,19.0,,Visible,,,,C-mount,GMSL2,,,CMOS,85,29,29,42.8
Basler	a2A2448-90mgc	area,IMX547,Sony,,,8.75,"1/1.8""",,2448.0,2048.0,2.74,2.74,global,90.0,,Visible,,,,C-mount,GMSL2,,,CMOS,85,29,29,42.8
Basler	a2A1920-168mgc	area,IMX392,Sony,,,7.77,"1/2.3""",,1920.0,1200.0,3.45,3.45,global,168.0,,Visible,,,,C-mount,GMSL2,,,CMOS,85,29,29,42.8
Basler	a2A5320-29mgm	area,IMX542,Sony,,,16.78,"1.1""",,5320.0,3032.0,2.74,2.74,global,29.0,,Visible,,,,C-mount,GMSL2,,,CMOS,85,29,29,42.8
Basler	a2A5328-19mgc	area,IMX540,Sony,,,19.26,"1.2""",,5328.0,4608.0,2.74,2.74,global,19.0,,Visible,,,,C-mount,GMSL2,,,CMOS,85,29,29,42.8
Basler	a2A3536-37mgc	area,IMX676,Sony,,,10.04,"1/1.6""",,3536.0,3536.0,2.0,2.0,rolling,37.0,,Visible,,,,C-mount,GMSL2,,,CMOS,85,29,29,42.8
Basler	a2A2464-115g5mBAS	area,OG05C,OmniVision,,,11.02,"2/3""",,2448.0,2048.0,3.45,3.45,global,115.0,,"Visible, NIR",,,,C-mount,5GigE,,,CMOS,100,29,29,55.5
Basler	a2A2464-23gmPRO	area,OG05C,OmniVision,,,11.02,"2/3""",,2448.0,2048.0,3.45,3.45,global,23.0,,"Visible, NIR",,,,C-mount,GigE,,,CMOS,100,29,29,55.5
Basler	a2A2464-23gmBAS	area,OG05C,OmniVision,,,11.02,"2/3""",,2448.0,2048.0,3.45,3.45,global,23.0,,"Visible, NIR",,,,C-mount,GigE,,,CMOS,100,29,29,55.5
Basler	a2A2464-23gcBAS	area,OG05C,OmniVision,,,11.02,"2/3""",,2448.0,2048.0,3.45,3.45,global,23.0,,"Visible, NIR",,,,C-mount,GigE,,,CMOS,100,29,29,55.5
Basler	a2A2464-23gcPRO	area,OG05C,OmniVision,,,11.02,"2/3""",,2448.0,2048.0,3.45,3.45,global,23.0,,"Visible, NIR",,,,C-mount,GigE,,,CMOS,100,29,29,55.5
Basler	a2A2464-77umBAS	area,OG05C,OmniVision,,,11.02,"2/3""",,2448.0,2048.0,3.45,3.45,global,77.0,,"Visible, NIR",,,,C-mount,USB3,,,CMOS,85,29,29,42.8
Basler	a2A2464-77umPRO	area,OG05C,OmniVision,,,11.02,"2/3""",,2448.0,2048.0,3.45,3.45,global,77.0,,"Visible, NIR",,,,C-mount,USB3,,,CMOS,90,29,29,42.8
Basler	a2A2464-77ucBAS	area,OG05C,OmniVision,,,11.02,"2/3""",,2448.0,2048.0,3.45,3.45,global,77.0,,"Visible, NIR",,,,C-mount,USB3,,,CMOS,85,29,29,42.8
Basler	a2A2464-77ucPRO	area,OG05C,OmniVision,,,11.02,"2/3""",,2448.0,2048.0,3.45,3.45,global,77.0,,"Visible, NIR",,,,C-mount,USB3,,,CMOS,90,29,29,42.8
