brand	model_name,camera_type,sensor_name,sensor_brand,sensor_extra,sensor_size_mm,sensor_size_inch,resolution_mp,resolution_w,resolution_h,pixel_size_h,pixel_size_v,shutter,frame_rate,line_rate,spectrum,spectrum_min_nm,spectrum_max_nm,sensor_color,lens_mount,interface,interface_power,pixel_format,sensor_architecture,weight_g,dimension_w,dimension_h,dimension_l
Hikrobot	MV-CT0MG0004/G/NN/NN,area,,,,,"1/2.9""",0.39,720.0,540.0,6.9,6.9,global,200.5,,Mono,,,Mono,C-mount,GigE,,Mono 8/10/10Packed/12/12Packed,CMOS,116,29,29,42
Hikrobot	MV-CT0CG0004/G/NN/NN,area,,,,,"1/2.9""",0.39,720.0,540.0,6.9,6.9,global,200.5,,Color,,,Color,C-mount,GigE,,"Mono 8,, Bayer GB 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,116,29,29,42
Hikrobot	MV-CT1CG0004/G/NN/NN,area,,,,,"1/2.9""",0.39,720.0,540.0,6.9,6.9,global,200.5,,Color,,,Color,C-mount,GigE,,"Mono 8,, Bayer GB 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,124,29,29,42
Hikrobot	MV-CT1MG0004/G/NN/NN,area,,,,,"1/2.9""",0.39,720.0,540.0,6.9,6.9,global,200.5,,Mono,,,Mono,C-mount,GigE,,Mono 8/10/10Packed/12/12Packed,CMOS,124,29,29,42
Hikrobot	MV-CT2MG0004/G/NN/NN,area,,,,,"1/2.9""",0.39,720.0,540.0,6.9,6.9,global,200.5,,Mono,,,Mono,C-mount,GigE,,Mono 8/10/10Packed/12/12Packed,CMOS,120,42,42,43
Hikrobot	MV-CT2CG0004/G/NN/NN,area,,,,,"1/2.9""",0.39,720.0,540.0,6.9,6.9,global,200.5,,Color,,,Color,C-mount,GigE,,"Mono 8,, Bayer GB 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,120,42,42,43
Hikrobot	MV-CT0MG0016/G/NN/NN,area,,,,,"1/2.9""",1.56,1440.0,1080.0,3.45,3.45,global,78.2,,Mono,,,Mono,C-mount,GigE,,Mono 8/10/10Packed/12/12Packed,CMOS,116,29,29,42
Hikrobot	MV-CT0CG0016/G/NN/NN,area,,,,,"1/2.9""",1.56,1440.0,1080.0,3.45,3.45,global,78.2,,Color,,,Color,C-mount,GigE,,"Mono 8,, Bayer GB 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,116,29,29,42
Hikrobot	MV-CT0MU0016/G/NN/NN,area,,,,,"1/2.9""",1.56,1440.0,1080.0,3.45,3.45,global,249.0,,Mono,,,Mono,C-mount,"USB3, USB2",,Mono 8/10/10Packed/12/12Packed,CMOS,72,29,29,30
Hikrobot	MV-CT0CU0016/G/NN/NN,area,,,,,"1/2.9""",1.56,1440.0,1080.0,3.45,3.45,global,249.0,,Color,,,Color,C-mount,"USB3, USB2",,"Mono 8,, Bayer GB 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,72,29,29,30
Hikrobot	MV-CT1MG0016/G/NN/NN,area,,,,,"1/2.9""",1.56,1440.0,1080.0,3.45,3.45,global,78.2,,Mono,,,Mono,C-mount,GigE,,Mono 8/10/10Packed/12/12Packed,CMOS,124,29,29,42
Hikrobot	MV-CT1CG0016/G/NN/NN,area,,,,,"1/2.9""",1.56,1440.0,1080.0,3.45,3.45,global,78.2,,Color,,,Color,C-mount,GigE,,"Mono 8,, Bayer GB 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,124,29,29,42
Hikrobot	MV-CT2MG0016/G/NN/NN,area,,,,,"1/2.9""",1.56,1440.0,1080.0,3.45,3.45,global,78.2,,Mono,,,Mono,C-mount,GigE,,Mono 8/10/10Packed/12/12Packed,CMOS,120,42,42,43
Hikrobot	MV-CT2CG0016/G/NN/NN,area,,,,,"1/2.9""",1.56,1440.0,1080.0,3.45,3.45,global,78.2,,Color,,,Color,C-mount,GigE,,"Mono 8,, Bayer GB 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,120,42,42,43
Hikrobot	MV-CT0MG0020/G/NN/NN,area,,,,,"1/2.53""",2.01,1624.0,1240.0,3.45,3.45,global,60.3,,Mono,,,Mono,C-mount,GigE,,Mono 8/10/10Packed/12/12Packed,CMOS,116,29,29,42
Hikrobot	MV-CT0CG0020/G/NN/NN,area,,,,,"1/2.53""",2.01,1624.0,1240.0,3.45,3.45,global,60.3,,Color,,,Color,C-mount,GigE,,"Mono 8,, Bayer GB 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,116,29,29,42
Hikrobot	MV-CT0MU0020/G/NN/NN,area,,,,,"1/2.53""",2.01,1624.0,1240.0,3.45,3.45,global,180.1,,Mono,,,Mono,C-mount,"USB3, USB2",,Mono 8/10/10Packed/12/12Packed,CMOS,72,29,29,30
Hikrobot	MV-CT0CU0020/G/NN/NN,area,,,,,"1/2.53""",2.01,1624.0,1240.0,3.45,3.45,global,180.1,,Color,,,Color,C-mount,"USB3, USB2",,"Mono 8,, Bayer GB 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,72,29,29,30
Hikrobot	MV-CT1MG0020/G/NN/NN,area,,,,,"1/2.53""",2.01,1624.0,1240.0,3.45,3.45,global,60.3,,Mono,,,Mono,C-mount,GigE,,Mono 8/10/10Packed/12/12Packed,CMOS,124,29,29,42
Hikrobot	MV-CT1CG0020/G/NN/NN,area,,,,,"1/2.53""",2.01,1624.0,1240.0,3.45,3.45,global,60.3,,Color,,,Color,C-mount,GigE,,"Mono 8,, Bayer GB 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,124,29,29,42
Hikrobot	MV-CT2MG0020/G/NN/NN,area,,,,,"1/2.53""",2.01,1624.0,1240.0,3.45,3.45,global,60.3,,Mono,,,Mono,C-mount,GigE,,Mono 8/10/10Packed/12/12Packed,CMOS,120,42,42,43
Hikrobot	MV-CT2CG0020/G/NN/NN,area,,,,,"1/2.53""",2.01,1624.0,1240.0,3.45,3.45,global,60.3,,Color,,,Color,C-mount,GigE,,"Mono 8,, Bayer GB 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,120,42,42,43
Hikrobot	MV-CT0MG0032/G/NN/NN,area,,,,,"1/1.8""",3.15,2048.0,1536.0,3.45,3.45,global,39.0,,Mono,,,Mono,C-mount,GigE,,Mono 8/10/10Packed/12/12Packed,CMOS,116,29,29,42
Hikrobot	MV-CT0CG0032/G/NN/NN,area,,,,,"1/1.8""",3.15,2048.0,1536.0,3.45,3.45,global,39.0,,Color,,,Color,C-mount,GigE,,"Mono 8,, Bayer GR 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,116,29,29,42
Hikrobot	MV-CT0MU0032/G/NN/NN,area,,,,,"1/1.8""",3.15,2048.0,1536.0,3.45,3.45,global,104.8,,Mono,,,Mono,C-mount,"USB3, USB2",,Mono 8/10/10Packed/12/12Packed,CMOS,72,29,29,30
Hikrobot	MV-CT0CU0032/G/NN/NN,area,,,,,"1/1.8""",3.15,2048.0,1536.0,3.45,3.45,global,104.8,,Color,,,Color,C-mount,"USB3, USB2",,"Mono 8,, Bayer GR 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,72,29,29,30
Hikrobot	MV-CT1MG0032/G/NN/NN,area,,,,,"1/1.8""",3.15,2048.0,1536.0,3.45,3.45,global,39.0,,Mono,,,Mono,C-mount,GigE,,Mono 8/10/10Packed/12/12Packed,CMOS,124,29,29,42
Hikrobot	MV-CT1CG0032/G/NN/NN,area,,,,,"1/1.8""",3.15,2048.0,1536.0,3.45,3.45,global,39.0,,Color,,,Color,C-mount,GigE,,"Mono 8,, Bayer GR 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,124,29,29,42
Hikrobot	MV-CT1MU0032/G/NN/NN,area,,,,,"1/1.8""",3.15,2048.0,1536.0,3.45,3.45,global,104.8,,Mono,,,Mono,C-mount,"USB3, USB2",,Mono 8/10/10Packed/12/12Packed,CMOS,70,29,29,30
