brand,model_name,camera_type,sensor_name,sensor_brand,sensor_extra,sensor_size_mm,sensor_size_inch,resolution_mp,resolution_w,resolution_h,pixel_size_h,pixel_size_v,shutter,frame_rate,line_rate,spectrum,spectrum_min_nm,spectrum_max_nm,sensor_color,lens_mount,interface,interface_power,pixel_format,sensor_architecture,weight_g,dimension_w,dimension_h,dimension_l
Huaray,A5031CG300E,area,PYTHON 300,,,,"1/4""",0.3,640.0,480.0,4.8,4.8,global,300.0,,Color,,,Color,C-mount,GigE,PoE,"Mono8，BayerRGB/10/10Packed，BayerGB8/10/10Packed,YUV422Packed",CMOS,88,29,29,42
Huaray,A5031CU815E,area,PYTHON 300,,,,"1/4""",0.3,640.0,480.0,4.8,4.8,global,815.0,,Color,,,Color,C-mount,USB3,,BayerRG8/10/10Packed，BayerGB8/10/10Packed,CMOS,60,29,29,29
Huaray,A5031MG300E,area,PYTHON 300,,,,"1/4""",0.3,640.0,480.0,4.8,4.8,global,300.0,,Mono,,,Mono,C-mount,GigE,PoE,Mono8/10/10Packed,CMOS,88,29,29,42
Huaray,A5031MU815E,area,PYTHON 300,,,,"1/4""",0.3,640.0,480.0,4.8,4.8,global,815.0,,Mono,,,Mono,C-mount,USB3,,Mono8/10/10Packed,CMOS,60,29,29,29
Huaray,AH7040MG001E,area,IMX297,,,,"1/2.9""",0.4,720.0,520.0,6.9,6.9,global,125.2,,Mono,,,Mono,C-mount,GigE,PoE,Mono8/10/10Packed,CMOS,98,29,29,42
Huaray,AH7040CG001E,area,IMX297,,,,"1/2.9""",0.4,720.0,520.0,6.9,6.9,global,125.2,,Color,,,Color,C-mount,GigE,PoE,"Mono 8/10, Bayer RG 8/10/10Packed,YUV422_8_UYVY,YUV422_8,RGB8,BGR8",CMOS,98,29,29,42
Huaray,AH7040CU000E,area,IMX287,,,,"1/2.9""",0.4,720.0,540.0,6.9,6.9,global,525.0,,Color,,,Color,C-mount,USB3,,"Mono 8/10/12,, Bayer RG 8/10/10Packed/12/12Packed,YUV422_8_UYVY,YUV422_8,RGB8,BGR8",CMOS,85,29,29,30
Huaray,AH7040MG000E,area,IMX287,,,,"1/2.9""",0.4,720.0,540.0,6.9,6.9,global,310.0,,Mono,,,Mono,C-mount,GigE,PoE,Mono8/10/10Packed/Mono12/Mono12Packed,CMOS,98,29,29,42
Huaray,AH7040CG000E,area,IMX287,,,,"1/2.9""",0.4,720.0,540.0,6.9,6.9,global,310.0,,Color,,,Color,C-mount,GigE,PoE,"Mono 8/10/12,, Bayer RG 8/10/10Packed/12/12Packed,YUV422_8_UYVY,YUV422_8,RGB8,BGR8",CMOS,98,29,29,42
Huaray,AH7040MU000E,area,IMX287,,,,"1/2.9""",0.4,720.0,540.0,6.9,6.9,global,525.0,,Mono,,,Mono,C-mount,USB3,,Mono8/10/10Packed/Mono12/Mono12Packed,CMOS,85,29,29,30
Huaray,AE7040MG001E,area,IMX297,,,,"1/2.9""",0.4,720.0,540.0,6.9,6.9,global,123.0,,Mono,,,Mono,C-mount,GigE,PoE,Mono8/10/10Packed,CMOS,98,29,29,42
Huaray,AE7040CG001E,area,IMX297,,,,"1/2.9""",0.4,720.0,540.0,6.9,6.9,global,123.0,,Color,,,Color,C-mount,GigE,PoE,BayerRG8/BayerRG10/BayerRG10Packed,CMOS,98,29,29,42
Huaray,A7040CK402E,area,IMX287,,,,"1/2.9""",0.4,720.0,540.0,6.9,6.9,global,349.0,,Color,,,Color,C-mount,Camera Link,,BayerRG8/10,CMOS,80,29,29,43.8
Huaray,A7040MK402E,area,IMX287,,,,"1/2.9""",0.4,720.0,540.0,6.9,6.9,global,349.0,,Mono,,,Mono,C-mount,Camera Link,,Mono8/10,CMOS,80,29,29,43.8
Huaray,A7040CU000E,area,IMX287,,,,"1/2.9""",0.4,720.0,540.0,6.9,6.9,global,437.0,,Color,,,Color,C-mount,USB3,,BayerRG8/10/10Packed;BayerGB8/10/10Packed,CMOS,60,29,29,29
Huaray,A7040MG000E,area,IMX287,,,,"1/2.9""",0.4,720.0,540.0,6.9,6.9,global,300.0,,Mono,,,Mono,C-mount,GigE,PoE,Mono8/10/10Packed/12/12Packed,CMOS,88,29,29,42
Huaray,A7040MU000E,area,IMX287,,,,"1/2.9""",0.4,720.0,540.0,6.9,6.9,global,437.0,,Mono,,,Mono,C-mount,USB3,,Mono8/10/10Packed,CMOS,60,29,29,29
Huaray,AH7040MK100E,area,IMX287,,,,"1/2.9""",0.4,720.0,540.0,6.9,6.9,global,117.0,,Mono,,,Mono,C-mount,Camera Link,,Mono8/10,CMOS,65,29,29,29
Huaray,A7040CG000E,area,IMX287,,,,"1/2.9""",0.4,720.0,540.0,6.9,6.9,global,300.0,,Color,,,Color,C-mount,GigE,PoE,"Mono8,BayerRG8/10/10Packed/12/12Packed，BayerGB8/10/10Packed/12/12Packed，YUV422Packed",CMOS,88,29,29,42
Huaray,AE5048MG000E,area,,,,,"1/2.9""",0.4,720.0,544.0,6.9,6.9,global,308.0,,Mono,,,Mono,C-mount,GigE,PoE,Mono8/10/10Packed/12/12Packed,CMOS,98,29,29,42
Huaray,AE5048CG000E,area,,,,,"1/2.9""",0.4,720.0,544.0,6.9,6.9,global,308.0,,Color,,,Color,C-mount,GigE,PoE,BayerRG8/BayerRG10/BayerRG10Packed/BayerRG12/BayerRG12Packed,CMOS,98,29,29,42
Huaray,AB3051MG020E,area,PYTHON 480,,,,"1/3.6""",0.5,800.0,600.0,4.5,4.5,global,120.0,,Mono,,,Mono,CS-mount,GigE,,Mono8/10/10Packed,CMOS,60,55,55,14
Huaray,A3051CG000E,area,PYTHON480,,,,"1/3.6""",0.5,800.0,600.0,4.8,4.8,global,120.0,,Color,,,Color,C-mount,GigE,PoE,Mono8，BayerRG8/10/10Packed，BayerGB8/10/10Packed，YUV422Packed；,CMOS,88,29,29,42
Huaray,A3051MG000E,area,PYTHON480,,,,"1/3.6""",0.5,800.0,600.0,4.8,4.8,global,120.0,,Color,,,Color,C-mount,GigE,PoE,Mono8/10/10Packed,CMOS,88,29,29,42
