brand,model_name,camera_type,sensor_name,sensor_brand,sensor_extra,sensor_size_mm,sensor_size_inch,resolution_mp,resolution_w,resolution_h,pixel_size_h,pixel_size_v,shutter,frame_rate,line_rate,spectrum,spectrum_min_nm,spectrum_max_nm,sensor_color,lens_mount,interface,interface_power,pixel_format,sensor_architecture,weight_g,dimension_w,dimension_h,dimension_l
JAI,AP-1600T-USB-LSX,area,IMX273,,,6.3,"1/2.9""",1.6,1456.0,1088.0,3.45,3.45,global,79.0,,"Visible, NIR",,,Color,C-mount,USB3,,,,170,44,44,74
JAI,AP-3200T-USB-LS,area,IMX265,,,8.9,"1/1.8""",3.2,2064.0,1544.0,3.45,3.45,global,38.0,,"Visible, NIR",,,Color,C-mount,USB3,,,,170,44,44,74
JAI,AP-3200T-USB-LSX,area,IMX265,,,8.9,"1/1.8""",3.2,2064.0,1544.0,3.45,3.45,global,38.0,,"Visible, NIR",,,Color,C-mount,USB3,,,,170,44,44,74
JAI,AP-1600T-PGE,area,IMX273,,,6.3,"1/2.9""",1.6,1456.0,1088.0,3.45,3.45,global,24.0,,Visible,,,Color,C-mount,GigE,PoE,,,200,44,44,84
JAI,AP-1600T-PMCL,area,IMX273,,,6.3,"1/2.9""",1.6,1456.0,1088.0,3.45,3.45,global,126.0,,Visible,,,Color,C-mount,Camera Link,PoCL,,,170,44,44,74
JAI,AP-1600T-USB,area,IMX273,,,6.3,"1/2.9""",1.6,1456.0,1088.0,3.45,3.45,global,79.0,,"Visible, NIR",,,Color,C-mount,USB3,,,,170,44,44,74
JAI,AP-3200T-10GE,area,IMX252,,,8.9,"1/1.8""",3.2,2064.0,1544.0,3.45,3.45,global,106.0,,Visible,,,Color,C-mount,10GigE,,,,270,62,62,86.5
JAI,AP-3200T-PGE,area,IMX265,,,8.9,"1/1.8""",3.2,2064.0,1544.0,3.45,3.45,global,12.0,,Visible,,,Color,C-mount,GigE,PoE,,,200,44,44,84
JAI,AP-3200T-PMCL,area,IMX265,,,8.9,"1/1.8""",3.2,2064.0,1544.0,3.45,3.45,global,55.0,,Visible,,,Color,C-mount,Camera Link,PoCL,,,170,44,44,74
JAI,AP-3200T-USB,area,IMX265,,,8.9,"1/1.8""",3.2,2064.0,1544.0,3.45,3.45,global,38.0,,"Visible, NIR",,,Color,C-mount,USB3,,,,170,44,44,74
JAI,AP-5100T-5GE,area,IMX548,,Pregius S,8.8,"1/1.8""",5.1,2464.0,2056.0,2.74,2.74,global,32.0,,Visible,,,Color,C-mount,5GigE,,,,215,54,54,74
JAI,AP-5100T-CXPA,area,IMX548,,Pregius S,8.8,"1/1.8""",5.1,2464.0,2056.0,2.74,2.74,global,75.0,,Visible,,,Color,C-mount,CoaXPress,PoCXP,,,210,54,54,74
