brand,model_name,camera_type,sensor_name,sensor_brand,sensor_extra,sensor_size_mm,sensor_size_inch,resolution_mp,resolution_w,resolution_h,pixel_size_h,pixel_size_v,shutter,frame_rate,line_rate,spectrum,spectrum_min_nm,spectrum_max_nm,sensor_color,lens_mount,interface,interface_power,pixel_format,sensor_architecture,weight_g,dimension_w,dimension_h,dimension_l
Lucid Vision,PHX200S,area,IMX183,Sony,BSI Starvis,15.86,"1""",20.0,5472,3648,2.4,2.4,"rolling, global reset",5.6,,,,,,"C-mount, No Mount, No Mount with Flange, C-mount Extended Head",GigE,PoE,"Mono8/10/12/16, Bayer8/10/12/16, RGB8, BGR8, YCbCr8, YCbCr411, YUV422, YUV411, QOI_Mono8, QOI_BayerRG8, QOI_RGB8, QOI_BGR8, QOI_YCbCr8",BSI CMOS,39,28,28,28.4
Lucid Vision,PHX200S-CC,area,IMX183,Sony,BSI Starvis,15.86,"1""",20.0,5472,3648,2.4,2.4,"rolling, global reset",5.6,,,,,,C-mount,GigE,PoE,"Mono8/10/12/16, Bayer8/10/12/16, RGB8, BGR8, YCbCr8, YCbCr411, YUV422, YUV411, QOI_Mono8, QOI_BayerRG8, QOI_RGB8, QOI_BGR8, QOI_YCbCr8",BSI CMOS,39,28,28,28.4
Lucid Vision,PHX200S-MC,area,IMX183,Sony,BSI Starvis,15.86,"1""",20.0,5472,3648,2.4,2.4,"rolling, global reset",5.6,,,,,,C-mount,GigE,PoE,"Mono8/10/12/16, Bayer8/10/12/16, RGB8, BGR8, YCbCr8, YCbCr411, YUV422, YUV411, QOI_Mono8, QOI_BayerRG8, QOI_RGB8, QOI_BGR8, QOI_YCbCr8",BSI CMOS,39,28,28,28.4
Lucid Vision,PHX200S-CC-IX,area,IMX183,Sony,BSI Starvis,15.86,"1""",20.0,5472,3648,2.4,2.4,"rolling, global reset",5.6,,,,,,C-mount,GigE,PoE,"Mono8/10/12/16, Bayer8/10/12/16, RGB8, BGR8, YCbCr8, YCbCr411, YUV422, YUV411, QOI_Mono8, QOI_BayerRG8, QOI_RGB8, QOI_BGR8, QOI_YCbCr8",BSI CMOS,39,28,28,28.4
Lucid Vision,PHX200S-MC-IX,area,IMX183,Sony,BSI Starvis,15.86,"1""",20.0,5472,3648,2.4,2.4,"rolling, global reset",5.6,,,,,,C-mount,GigE,PoE,"Mono8/10/12/16, Bayer8/10/12/16, RGB8, BGR8, YCbCr8, YCbCr411, YUV422, YUV411, QOI_Mono8, QOI_BayerRG8, QOI_RGB8, QOI_BGR8, QOI_YCbCr8",BSI CMOS,39,28,28,28.4
Lucid Vision,PHX200S-CC-FFC,area,IMX183,Sony,BSI Starvis,15.86,"1""",20.0,5472,3648,2.4,2.4,"rolling, global reset",5.6,,,,,,C-mount,GigE,PoE,"Mono8/10/12/16, Bayer8/10/12/16, RGB8, BGR8, YCbCr8, YCbCr411, YUV422, YUV411, QOI_Mono8, QOI_BayerRG8, QOI_RGB8, QOI_BGR8, QOI_YCbCr8",BSI CMOS,39,28,28,28.4
Lucid Vision,PHX200S-MC-FFC,area,IMX183,Sony,BSI Starvis,15.86,"1""",20.0,5472,3648,2.4,2.4,"rolling, global reset",5.6,,,,,,C-mount,GigE,PoE,"Mono8/10/12/16, Bayer8/10/12/16, RGB8, BGR8, YCbCr8, YCbCr411, YUV422, YUV411, QOI_Mono8, QOI_BayerRG8, QOI_RGB8, QOI_BGR8, QOI_YCbCr8",BSI CMOS,39,28,28,28.4
Lucid Vision,PHX200S-CNL,area,IMX183,Sony,BSI Starvis,15.86,"1""",20.0,5472,3648,2.4,2.4,"rolling, global reset",5.6,,,,,,No Mount,GigE,PoE,"Mono8/10/12/16, Bayer8/10/12/16, RGB8, BGR8, YCbCr8, YCbCr411, YUV422, YUV411, QOI_Mono8, QOI_BayerRG8, QOI_RGB8, QOI_BGR8, QOI_YCbCr8",BSI CMOS,39,28,28,28.4
Lucid Vision,PHX200S-MNL,area,IMX183,Sony,BSI Starvis,15.86,"1""",20.0,5472,3648,2.4,2.4,"rolling, global reset",5.6,,,,,,No Mount,GigE,PoE,"Mono8/10/12/16, Bayer8/10/12/16, RGB8, BGR8, YCbCr8, YCbCr411, YUV422, YUV411, QOI_Mono8, QOI_BayerRG8, QOI_RGB8, QOI_BGR8, QOI_YCbCr8",BSI CMOS,39,28,28,28.4
Lucid Vision,PHX200S-CNL-IX,area,IMX183,Sony,BSI Starvis,15.86,"1""",20.0,5472,3648,2.4,2.4,"rolling, global reset",5.6,,,,,,No Mount,GigE,PoE,"Mono8/10/12/16, Bayer8/10/12/16, RGB8, BGR8, YCbCr8, YCbCr411, YUV422, YUV411, QOI_Mono8, QOI_BayerRG8, QOI_RGB8, QOI_BGR8, QOI_YCbCr8",BSI CMOS,39,28,28,28.4
Lucid Vision,PHX200S-MNL-IX,area,IMX183,Sony,BSI Starvis,15.86,"1""",20.0,5472,3648,2.4,2.4,"rolling, global reset",5.6,,,,,,No Mount,GigE,PoE,"Mono8/10/12/16, Bayer8/10/12/16, RGB8, BGR8, YCbCr8, YCbCr411, YUV422, YUV411, QOI_Mono8, QOI_BayerRG8, QOI_RGB8, QOI_BGR8, QOI_YCbCr8",BSI CMOS,39,28,28,28.4
Lucid Vision,PHX200S-CNL-FFC,area,IMX183,Sony,BSI Starvis,15.86,"1""",20.0,5472,3648,2.4,2.4,"rolling, global reset",5.6,,,,,,No Mount,GigE,PoE,"Mono8/10/12/16, Bayer8/10/12/16, RGB8, BGR8, YCbCr8, YCbCr411, YUV422, YUV411, QOI_Mono8, QOI_BayerRG8, QOI_RGB8, QOI_BGR8, QOI_YCbCr8",BSI CMOS,39,28,28,28.4
Lucid Vision,PHX200S-MNL-FFC,area,IMX183,Sony,BSI Starvis,15.86,"1""",20.0,5472,3648,2.4,2.4,"rolling, global reset",5.6,,,,,,No Mount,GigE,PoE,"Mono8/10/12/16, Bayer8/10/12/16, RGB8, BGR8, YCbCr8, YCbCr411, YUV422, YUV411, QOI_Mono8, QOI_BayerRG8, QOI_RGB8, QOI_BGR8, QOI_YCbCr8",BSI CMOS,39,28,28,28.4
Lucid Vision,PHX200S-CNLF,area,IMX183,Sony,BSI Starvis,15.86,"1""",20.0,5472,3648,2.4,2.4,"rolling, global reset",5.6,,,,,,No Mount with Flange,GigE,PoE,"Mono8/10/12/16, Bayer8/10/12/16, RGB8, BGR8, YCbCr8, YCbCr411, YUV422, YUV411, QOI_Mono8, QOI_BayerRG8, QOI_RGB8, QOI_BGR8, QOI_YCbCr8",BSI CMOS,39,28,28,28.4
Lucid Vision,PHX200S-MNLF,area,IMX183,Sony,BSI Starvis,15.86,"1""",20.0,5472,3648,2.4,2.4,"rolling, global reset",5.6,,,,,,No Mount with Flange,GigE,PoE,"Mono8/10/12/16, Bayer8/10/12/16, RGB8, BGR8, YCbCr8, YCbCr411, YUV422, YUV411, QOI_Mono8, QOI_BayerRG8, QOI_RGB8, QOI_BGR8, QOI_YCbCr8",BSI CMOS,39,28,28,28.4
Lucid Vision,PHXET200S-CC,area,IMX183,Sony,BSI Starvis,15.86,"1""",20.0,5472,3648,2.4,2.4,"rolling, global reset",5.6,,,,,,C-mount Extended Head,GigE,PoE,"Mono8/10/12/16, Bayer8/10/12/16, RGB8, BGR8, YCbCr8, YCbCr411, YUV422, YUV411, QOI_Mono8, QOI_BayerRG8, QOI_RGB8, QOI_BGR8, QOI_YCbCr8",BSI CMOS,39,28,28,28.4
Lucid Vision,PHXET200S-MC,area,IMX183,Sony,BSI Starvis,15.86,"1""",20.0,5472,3648,2.4,2.4,"rolling, global reset",5.6,,,,,,C-mount Extended Head,GigE,PoE,"Mono8/10/12/16, Bayer8/10/12/16, RGB8, BGR8, YCbCr8, YCbCr411, YUV422, YUV411, QOI_Mono8, QOI_BayerRG8, QOI_RGB8, QOI_BGR8, QOI_YCbCr8",BSI CMOS,39,28,28,28.4
Lucid Vision,PHX124S,area,IMX565,Sony,,14.0,"1/1.1""",12.3,4096,3000,2.74,2.74,global,9.0,,,,,,"C-mount, No Mount",GigE,PoE,"Mono8/10/12/16, Bayer8/10/12/16, RGB8, BGR8, YCbCr8, YCbCr411, YUV422, YUV411, QOI_Mono8, QOI_BayerRG8, QOI_RGB8, QOI_BGR8, QOI_YCbCr8",CMOS,39,28,28,28.4
Lucid Vision,PHX124S-CC,area,IMX565,Sony,,14.0,"1/1.1""",12.3,4096,3000,2.74,2.74,global,9.0,,,,,,C-mount,GigE,PoE,"Mono8/10/12/16, Bayer8/10/12/16, RGB8, BGR8, YCbCr8, YCbCr411, YUV422, YUV411, QOI_Mono8, QOI_BayerRG8, QOI_RGB8, QOI_BGR8, QOI_YCbCr8",CMOS,39,28,28,28.4
Lucid Vision,PHX124S-MC,area,IMX565,Sony,,14.0,"1/1.1""",12.3,4096,3000,2.74,2.74,global,9.0,,,,,,C-mount,GigE,PoE,"Mono8/10/12/16, Bayer8/10/12/16, RGB8, BGR8, YCbCr8, YCbCr411, YUV422, YUV411, QOI_Mono8, QOI_BayerRG8, QOI_RGB8, QOI_BGR8, QOI_YCbCr8",CMOS,39,28,28,28.4
Lucid Vision,PHX124S-CC-IX,area,IMX565,Sony,,14.0,"1/1.1""",12.3,4096,3000,2.74,2.74,global,9.0,,,,,,C-mount,GigE,PoE,"Mono8/10/12/16, Bayer8/10/12/16, RGB8, BGR8, YCbCr8, YCbCr411, YUV422, YUV411, QOI_Mono8, QOI_BayerRG8, QOI_RGB8, QOI_BGR8, QOI_YCbCr8",CMOS,39,28,28,28.4
Lucid Vision,PHX124S-MC-IX,area,IMX565,Sony,,14.0,"1/1.1""",12.3,4096,3000,2.74,2.74,global,9.0,,,,,,C-mount,GigE,PoE,"Mono8/10/12/16, Bayer8/10/12/16, RGB8, BGR8, YCbCr8, YCbCr411, YUV422, YUV411, QOI_Mono8, QOI_BayerRG8, QOI_RGB8, QOI_BGR8, QOI_YCbCr8",CMOS,39,28,28,28.4
Lucid Vision,PHX124S-CC-FFC,area,IMX565,Sony,,14.0,"1/1.1""",12.3,4096,3000,2.74,2.74,global,9.0,,,,,,C-mount,GigE,PoE,"Mono8/10/12/16, Bayer8/10/12/16, RGB8, BGR8, YCbCr8, YCbCr411, YUV422, YUV411, QOI_Mono8, QOI_BayerRG8, QOI_RGB8, QOI_BGR8, QOI_YCbCr8",CMOS,39,28,28,28.4
Lucid Vision,PHX124S-MC-FFC,area,IMX565,Sony,,14.0,"1/1.1""",12.3,4096,3000,2.74,2.74,global,9.0,,,,,,C-mount,GigE,PoE,"Mono8/10/12/16, Bayer8/10/12/16, RGB8, BGR8, YCbCr8, YCbCr411, YUV422, YUV411, QOI_Mono8, QOI_BayerRG8, QOI_RGB8, QOI_BGR8, QOI_YCbCr8",CMOS,39,28,28,28.4
Lucid Vision,PHX124S-CNL,area,IMX565,Sony,,14.0,"1/1.1""",12.3,4096,3000,2.74,2.74,global,9.0,,,,,,No Mount,GigE,PoE,"Mono8/10/12/16, Bayer8/10/12/16, RGB8, BGR8, YCbCr8, YCbCr411, YUV422, YUV411, QOI_Mono8, QOI_BayerRG8, QOI_RGB8, QOI_BGR8, QOI_YCbCr8",CMOS,39,28,28,28.4
Lucid Vision,PHX124S-MNL,area,IMX565,Sony,,14.0,"1/1.1""",12.3,4096,3000,2.74,2.74,global,9.0,,,,,,No Mount,GigE,PoE,"Mono8/10/12/16, Bayer8/10/12/16, RGB8, BGR8, YCbCr8, YCbCr411, YUV422, YUV411, QOI_Mono8, QOI_BayerRG8, QOI_RGB8, QOI_BGR8, QOI_YCbCr8",CMOS,39,28,28,28.4
Lucid Vision,PHX124S-CNL-IX,area,IMX565,Sony,,14.0,"1/1.1""",12.3,4096,3000,2.74,2.74,global,9.0,,,,,,No Mount,GigE,PoE,"Mono8/10/12/16, Bayer8/10/12/16, RGB8, BGR8, YCbCr8, YCbCr411, YUV422, YUV411, QOI_Mono8, QOI_BayerRG8, QOI_RGB8, QOI_BGR8, QOI_YCbCr8",CMOS,39,28,28,28.4
Lucid Vision,PHX124S-MNL-IX,area,IMX565,Sony,,14.0,"1/1.1""",12.3,4096,3000,2.74,2.74,global,9.0,,,,,,No Mount,GigE,PoE,"Mono8/10/12/16, Bayer8/10/12/16, RGB8, BGR8, YCbCr8, YCbCr411, YUV422, YUV411, QOI_Mono8, QOI_BayerRG8, QOI_RGB8, QOI_BGR8, QOI_YCbCr8",CMOS,39,28,28,28.4
Lucid Vision,PHX124S-CNL-FFC,area,IMX565,Sony,,14.0,"1/1.1""",12.3,4096,3000,2.74,2.74,global,9.0,,,,,,No Mount,GigE,PoE,"Mono8/10/12/16, Bayer8/10/12/16, RGB8, BGR8, YCbCr8, YCbCr411, YUV422, YUV411, QOI_Mono8, QOI_BayerRG8, QOI_RGB8, QOI_BGR8, QOI_YCbCr8",CMOS,39,28,28,28.4
Lucid Vision,PHX124S-MNL-FFC,area,IMX565,Sony,,14.0,"1/1.1""",12.3,4096,3000,2.74,2.74,global,9.0,,,,,,No Mount,GigE,PoE,"Mono8/10/12/16, Bayer8/10/12/16, RGB8, BGR8, YCbCr8, YCbCr411, YUV422, YUV411, QOI_Mono8, QOI_BayerRG8, QOI_RGB8, QOI_BGR8, QOI_YCbCr8",CMOS,39,28,28,28.4
Lucid Vision,PHX124S-CNLF,area,IMX565,Sony,,14.0,"1/1.1""",12.3,4096,3000,2.74,2.74,global,9.0,,,,,,No Mount with Flange,GigE,PoE,"Mono8/10/12/16, Bayer8/10/12/16, RGB8, BGR8, YCbCr8, YCbCr411, YUV422, YUV411, QOI_Mono8, QOI_BayerRG8, QOI_RGB8, QOI_BGR8, QOI_YCbCr8",CMOS,39,28,28,28.4
Lucid Vision,PHX124S-MNLF,area,IMX565,Sony,,14.0,"1/1.1""",12.3,4096,3000,2.74,2.74,global,9.0,,,,,,No Mount with Flange,GigE,PoE,"Mono8/10/12/16, Bayer8/10/12/16, RGB8, BGR8, YCbCr8, YCbCr411, YUV422, YUV411, QOI_Mono8, QOI_BayerRG8, QOI_RGB8, QOI_BGR8, QOI_YCbCr8",CMOS,39,28,28,28.4
Lucid Vision,PHXET124S-CC,area,IMX565,Sony,,14.0,"1/1.1""",12.3,4096,3000,2.74,2.74,global,9.0,,,,,,C-mount Extended Head,GigE,PoE,"Mono8/10/12/16, Bayer8/10/12/16, RGB8, BGR8, YCbCr8, YCbCr411, YUV422, YUV411, QOI_Mono8, QOI_BayerRG8, QOI_RGB8, QOI_BGR8, QOI_YCbCr8",CMOS,39,28,28,28.4
Lucid Vision,PHXET124S-MC,area,IMX565,Sony,,14.0,"1/1.1""",12.3,4096,3000,2.74,2.74,global,9.0,,,,,,C-mount Extended Head,GigE,PoE,"Mono8/10/12/16, Bayer8/10/12/16, RGB8, BGR8, YCbCr8, YCbCr411, YUV422, YUV411, QOI_Mono8, QOI_BayerRG8, QOI_RGB8, QOI_BGR8, QOI_YCbCr8",CMOS,39,28,28,28.4
Lucid Vision,PHX120S,area,IMX304,Sony,,17.6,"1.1""",12.3,4096,3000,3.45,3.45,global,9.0,,,,,,"C-mount, No Mount, No Mount with Flange, C-mount Extended Head",GigE,PoE,"Mono8/10/12/16, Bayer8/10/12/16, RGB8, BGR8, YCbCr8, YCbCr411, YUV422, YUV411, QOI_Mono8, QOI_BayerRG8, QOI_RGB8, QOI_BGR8, QOI_YCbCr8",CMOS,39,28,28,28.4
Lucid Vision,PHX120S-CC,area,IMX304,Sony,,17.6,"1.1""",12.3,4096,3000,3.45,3.45,global,9.0,,,,,,C-mount,GigE,PoE,"Mono8/10/12/16, Bayer8/10/12/16, RGB8, BGR8, YCbCr8, YCbCr411, YUV422, YUV411, QOI_Mono8, QOI_BayerRG8, QOI_RGB8, QOI_BGR8, QOI_YCbCr8",CMOS,39,28,28,28.4
