brand,model_name,camera_type,multi_cmos,sensor_name,sensor_brand,sensor_extra,sensor_size_mm,sensor_size_inch,resolution_mp,resolution_w,resolution_h,pixel_size_h,pixel_size_v,shutter,frame_rate,line_rate,spectrum,spectrum_min_nm,spectrum_max_nm,sensor_color,lens_mount,interface,interface_power,pixel_format,sensor_architecture,weight_g,dimension_w,dimension_h,dimension_l
Sentech,stc-sbs322cxp121-swir,area,,IMX993,Sony,TEC,,"1/1.8""",3.2,2048.0,1536.0,3.45,3.45,global,173.4,,SWIR,,,,C-mount,CoaXPress,,Mono8 / Mono10 / Mono12,,210,42,42,69
Sentech,stc-sbs532cxp121-swir,area,,IMX992,Sony,TEC,,"1/1.4""",5.3,2560.0,2048.0,3.45,3.45,global,131.9,,SWIR,,,,C-mount,CoaXPress,,Mono8 / Mono10 / Mono12,,210,42,42,69
Sentech,stc-sbs34cxp121-swiru,area,,IMX991,Sony,,,"1/4""",0.3,640.0,512.0,5.0,5.0,global,258.8,,SWIR,,,,C-mount,CoaXPress,,Mono8 / Mono10 / Mono12,,77,35,35,40
Sentech,stc-sbs132cxp121-swiru,area,,IMX990,Sony,,,"1/2""",1.3,1280.0,1024.0,5.0,5.0,global,134.7,,SWIR,,,,C-mount,CoaXPress,,Mono8 / Mono10 / Mono12,,77,35,35,40
Sentech,stc-sbs322cxp121-swiru,area,,IMX993,Sony,,,"1/1.8""",3.2,2048.0,1536.0,3.45,3.45,global,173.4,,SWIR,,,,C-mount,CoaXPress,,Mono8 / Mono10 / Mono12,,76,35,35,40
Sentech,stc-sbs532cxp121-swiru,area,,IMX992,Sony,,,"1/1.4""",5.3,2560.0,2048.0,3.45,3.45,global,131.9,,SWIR,,,,C-mount,CoaXPress,,Mono8 / Mono10 / Mono12,,76,35,35,40
Sentech,stc-sbs132poe-swiru,area,,IMX990,Sony,,,"1/2""",1.3,1280.0,1024.0,5.0,5.0,global,83.9,,SWIR,,,,C-mount,GigE,PoE,Mono8 / Mono10 / Mono12 / Mono10Packed / Mono12Packed,,98,35,35,53
Sentech,stc-sbs34poe-swiru,area,,IMX991,Sony,,,"1/4""",0.3,656.0,520.0,5.0,5.0,global,258.8,,SWIR,,,,C-mount,GigE,PoE,Mono8 / Mono10 / Mono12 / Mono10Packed / Mono12Packed,,98,35,35,53
Sentech,stc-lbs132poe-swir,area,,IMX990,Sony,TEC,,"1/2""",1.3,1280.0,1024.0,5.0,5.0,global,84.0,,SWIR,,,,C-mount,GigE,PoE,Mono8 / Mono10 / Mono12 / Mono10Packed / Mono12Packed,,465,58,58,85
Sentech,stc-lbs34poe-swir,area,,IMX991,Sony,TEC,,"1/4""",0.3,640.0,512.0,5.0,5.0,global,242.2,,SWIR,,,,C-mount,GigE,PoE,Mono8 / Mono10 / Mono12 / Mono10Packed / Mono12Packed,,465,58,58,85
Sentech,stc-sbs532u3v-swiru,area,,IMX992,Sony,,,"1/1.4""",5.3,2560.0,2048.0,3.45,3.45,global,71.5,,SWIR,,,,C-mount,USB3,,Mono8 / Mono10 / Mono12 / Mono10Packed / Mono12Packed,,76,35,35,41.5
Sentech,stc-sbs34u3v-swiru,area,,IMX991,Sony,,,"1/4""",0.3,640.0,512.0,5.0,5.0,global,260.6,,SWIR,,,,C-mount,USB3,,Mono8 / Mono10 / Mono12 / Mono10Packed / Mono12Packed,,76,35,35,41.5
