brand,model_name,camera_type,tdi,sensor_name,sensor_brand,sensor_extra,sensor_size_mm,sensor_size_inch,resolution_mp,resolution_w,resolution_h,pixel_size_h,pixel_size_v,shutter,frame_rate,line_rate,spectrum,spectrum_min_nm,spectrum_max_nm,sensor_color,lens_mount,interface,interface_power,camera_mounting,pixel_format,sensor_architecture,weight_g,dimension_w,dimension_h,dimension_l
Teledyne Dalsa,KL-GS-12H03H-00-L25,line,,,Teledyne,,,,0.327,1280.0,256.0,,,,,2.3,SWIR,,,,Built-in,10GigE,,,,InGaAs,2300,100,120,184
Teledyne Dalsa,L2-GC-02K02B-00-A,line,,,Teledyne e2v,,,,,2048.0,2.0,14.0,,global,,25.0,Color,400.0,700.0,,M42x1,GigE,,,,CMOS,111,46,46,37
Teledyne Dalsa,L2-GM-02K05B-00-A,line,,,Teledyne e2v,,,,,2048.0,2.0,14.0,,global,,50.0,Mono,400.0,700.0,,M42x1,GigE,,,,CMOS,111,46,46,37
Teledyne Dalsa,L2-GC-04K01B-00-A,line,,,Teledyne e2v,,,,,4096.0,2.0,7.0,,global,,12.5,Color,400.0,700.0,,M42x1,GigE,,,,CMOS,111,46,46,37
Teledyne Dalsa,L2-GM-04K02B-00-A,line,,,Teledyne e2v,,,,,4096.0,2.0,7.0,,global,,25.0,Mono,400.0,700.0,,M42x1,GigE,,,,CMOS,111,46,46,37
Teledyne Dalsa,L2-GM-08K02S-00-A,line,,,Teledyne e2v,,,,,8192.0,1.0,3.5,,global,,25.0,Mono,400.0,700.0,,M42x1,GigE,,,,CMOS,111,46,46,37
Teledyne Dalsa,LA-GC-02K05B,line,,,Teledyne,,,,,2048.0,2.0,7.04,,global,,26.0,Color,400.0,1000.0,,M42x1,GigE,,,,CMOS,280,62,62,47
Teledyne Dalsa,LA-GC-04K05B,line,,,Teledyne,,,,,4096.0,2.0,7.04,,global,,13.0,Color,400.0,1000.0,,M42x1,GigE,,,,CMOS,280,62,62,47
Teledyne Dalsa,LA-CC-04K05B,line,,,Teledyne,,,,,4096.0,2.0,7.04,,global,,48.0,Color,400.0,1000.0,,M42x1,Camera Link,,,,CMOS,190,62,62,31
Teledyne Dalsa,LA-CC-08K05B,line,,,Teledyne,,,,,8192.0,2.0,7.04,,global,,48.0,Color,400.0,1000.0,,M72x0.75,Camera Link,,,,CMOS,310,76,76,31
Teledyne Dalsa,LA-CM-16K05A,line,,,Teledyne,,,,,16384.0,1.0,3.52,,global,,48.0,Mono,400.0,1000.0,,M72x0.75,Camera Link,,,,CMOS,360,76,76,36.7
Teledyne Dalsa,LA-HM-16K07A,line,,,Teledyne,,,,,16384.0,1.0,3.52,,global,,71.0,Mono,400.0,1000.0,,M72x0.75,Camera Link HS,,,,CMOS,360,76,76,53
Teledyne Dalsa,LA-GM-02K08A,line,,,Teledyne,,,,,2048.0,1.0,7.04,,global,,52.0,Mono,400.0,1000.0,,M42x1,GigE,,,,CMOS,200,62,62,31
Teledyne Dalsa,LA-CM-02K08A,line,,,Teledyne,,,,,2048.0,1.0,7.04,,global,,80.0,Mono,400.0,1000.0,,M42x1,Camera Link,,,,CMOS,190,62,62,31
Teledyne Dalsa,LA-GM-04K08A,line,,,Teledyne,,,,,4096.0,1.0,7.04,,global,,26.0,Mono,400.0,1000.0,,M42x1,GigE,,,,CMOS,200,62,62,31
Teledyne Dalsa,LA-CM-04K08A,line,,,Teledyne,,,,,4096.0,1.0,7.04,,global,,80.0,Mono,400.0,1000.0,,M42x1,Camera Link,,,,CMOS,190,62,62,31
Teledyne Dalsa,LA-GM-08K08A,line,,,Teledyne,,,,,8192.0,1.0,7.04,,global,,13.0,Mono,400.0,1000.0,,M72x0.75,GigE,,,,CMOS,380,76,76,47
Teledyne Dalsa,LA-CM-08K08A,line,,,Teledyne,,,,,8192.0,1.0,7.04,,global,,80.0,Mono,400.0,1000.0,,M72x0.75,Camera Link,,,,CMOS,310,76,76,36.7
Teledyne Dalsa,L2-GC-04k04T-00,line,,,Teledyne e2v,,,,,4096.0,3.0,7.0,,global,,40.0,Color,,,,M42x1,5GigE,,,,CMOS,280,62,62,49.3
