alliedvision,스펙트럼,"SWIR, Visible SWIR",Visible,UV,Visible-NIR,SWIR,"eXtended SWIR, SWIR",eXtended SWIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alliedvision,스펙트럼 범위,400 nm to 1700 nm,300 nm to 1100 nm,200 nm to 1000 nm,200 nm to 1100 nm,900 nm to 1700 nm,1100 nm to 1900 nm,1200 nm to 2200 nm,400 nm to 1000 nm,350 nm to 1000 nm,380 nm to 1000 nm,200 nm to 400 nm,360 nm to 960 nm,1000 nm to 1000 nm,400 nm to 960 nm,950 nm to 1700 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
basler,빛스펙트럼,Visible,Visible + NIR,Visible + SWIR,UV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hikrobot,Mono/color,Mono,Color,Near-infrared,"Mono,Color",Near IR,"Mono
Color",NIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hikrobot,Data interface,"Gigabit Ethernet (1000 Mbit/s), compatible with Fast Ethernet (100 Mbit/s)","USB 3.0, compatible with USB 2.0","Gigabit Ethernet, compatible with Fast Ethernet","USB3.0, compatible with USB2.0",GigE,"Gigabit Ethernet (1000Mbit/s), compatible with Fast Ethernet (100Mbit/s)",Camera Link with SDR Connector,Camera Link with SDR interface,"2.5 Gigabit Ethernet (2500 Mbit/s), compatible with Gigabit Ethernet (1000 Mbit/s)",CoaXPress with DIN interface,CoaXPress with Micro-BNC interface,"10 Gigabit Ethernet (10000 Mbit/s), compatible with Gigabit Ethernet (1000 Mbit/s)","10 Gigabit Ethernet (10000Mbit/s), compatible with Gigabit Ethernet (1000Mbit/s)",CoaXPress with Micro-BNC interfaces,QSFP+ × 2,CoaXPress with micro-BNC interface,10 Gigabit Ethernet (10000 Mbit/s),"USB3.0, compatible with USB2.0, 128 GB Onboard Memory",CoaXPress with HD-BNC interface,USB3.0,USB 3.0,Camera Link (SDR connector); USB interface for updating firmware,LC fiber connector,"2.5 Gigabit Ethernet (2500 Mbit/s), compatible with Gigabit Ethernet (1000 Mbit/s) and Fast Ethernet (100 Mbit/s)",2LC fiber connector,2LC fiber connnector,2LC fiber interface,,,,,,,,,,,,,,,,,,,,
hikrobot,Data interface type,RJ45 connector,8-pin M12 X-Code waterproof aviation connector,Type-C interface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hikrobot,Control interface,Not supported,8-pin M12 A-Code waterproof aviation connector,Not support,USB 2.0,"USB 2.0 × 2, USB 3.0 × 1, micro SD card interface × 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hikrobot,Lens mount,C-mount,C-Mount,"C-mount, flange back length 17.52 mm","M58*0.75, flange back length 11.48 mm","M58 × 0.75, flange back length 11.48 mm",M58*0.75,"F-mount, flange back length 46.5 mm","M58*0.75, flange focal length 11.48 mm","F-mount, flange focal length 46.5 mm","M72*0.75, flange back length 19.55 mm","M72*0.75, back focal length 19.55 mm",M12-mount,none,C-mount or M12-mount,M34*0.75,"M42*1.0, flange back length 12 mm, applicable to F-mount, C-mount and others via lens adapter","M42*1.0, flange back length 12 mm, applicable to F-mount, C-mount and others via adapter","M42*1.0, flange back length 12 mm, applicable to F-mount, C-mount and lens of other types via lens adapter","M42*1.0, flange focal length 12 mm, applicable to F-mount via lens adapter","M42*1.0, flange back length 12 mm, applicable to F-mount via lens adapter","M42*1.0, flange back length 12 mm
Connecting to F-mount, C-mount, and other lenses via adapter ring","M72*0.75, flange back length 12 mm, applicable to F-mount via lens adapter","M90*1.0, flange back length 12 mm, applicable to F-mount via lens adapter",,,,,,,,,,,,,,,,,,,,,,,,
hikrobot,Mono,Mono,Color,"Mono
Color",Mono / Color,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hikrobot,Transmission interface,HDMI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huaray,Mono/Color,Color,Mono,黑白,Mono8/10,color,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
