alliedvision_컬럼명,alliedvision_샘플데이터,basler_컬럼명,basler_샘플데이터,hikrobot_컬럼명,hikrobot_샘플데이터,huaray_컬럼명,huaray_샘플데이터,jai_컬럼명,jai_샘플데이터,lucid_컬럼명,lucid_샘플데이터,sentech_컬럼명,sentech_샘플데이터,teledyne_컬럼명,teledyne_샘플데이터
brand,Allied Vision,brand,Basler,brand,Hikrobot,brand,Huaray,brand,JAI,brand,Lucid Vision,brand,Sentech,brand,Teledyne Dalsa
subseries,alvium-g1 | alvium-g5 | alvium-1800-u | alvium-1800-c | alvium-gm2,model_name,r2T16416-500cm | a2A5320-29mgc | a2A3536-37mgm | a2A1920-168mgm | a2A2448-90mgm,product_id,7830 | 7829 | 7914 | 7916 | 7915,product_id,552 | 553 | 554 | 569 | 5787,Product Line,"Apex Medical Solutions | Apex Series | Apex Series
/                 Apex Medical Solutions | Fusion Series | Go Series",is_variant,N | Y,model_name,stc-sbs322cxp121-swir | stc-sbs532cxp121-swir | stc-sbs34cxp121-swiru | stc-sbs132cxp121-swiru | stc-sbs322cxp121-swiru,model_name,KL-GS-12H03H-00-L25 | Linea Lite 2k Color L2-GC-02K02B-00-A | Linea Lite 2k Mono L2-GM-02K05B-00-A | Linea Lite 4k Color L2-GC-04K01B-00-A | Linea Lite 4k Mono L2-GM-04K02B-00-A
모델,Alvium G1-030 VSWIR | Alvium G1-040 | Alvium G1-1236 | Alvium G1-1240 | Alvium G1-1242,slug,r2t16416-500cm | a2a5320-29mgc | a2a3536-37mgm | a2a1920-168mgm | a2a2448-90mgm,model_name,"0.4MP Area Scan Camera, 3rd Gen., GigE, Mono, BASE | 0.4MP Area Scan Camera, 3rd Gen., GigE, Color, BASE | 0.4MP Area Scan Camera, 3rd Gen., GigE, Color, PRO | 0.4MP Area Scan Camera, 3rd Gen., GigE, Mono, PRO | 0.4MP Area Scan Camera, 3rd Gen., GigE, Mono, MAX",model_name,A5031CG300E | A5031CU815E | A5031MG300E | A5031MU815E | AH7040MG001E,Model,AP-1600T-USB-LSX | AP-3200T-USB-LS | AP-3200T-USB-LSX | AP-1600T-PGE | AP-1600T-PMCL,모델,PHX200S | PHX200S-CC | PHX200S-MC | PHX200S-CC-IX | PHX200S-MC-IX,subcategory,SWIR Cameras | 3CMOS Sensor Camera | GVIF Cameras | Liquid lens integrated cameras | LensConnect Lens support Cameras,camera_type,Line Scan | Area Scan
제품 시리즈,Alvium G1 | Alvium G5 | Alvium 1800 U | Alvium 1800 C | Alvium GM2,제조 업체,Basler | JAI,product_model,MV-CT0MG0004/G/NN/NN | MV-CT0CG0004/G/NN/NN | MV-CT1CG0004/G/NN/NN | MV-CT1MG0004/G/NN/NN | MV-CT2MG0004/G/NN/NN,camera_type,Area Scan Camera | Line Scan Camera,Type,Area Scan | Line Scan,메가픽셀,20.0 MP | 12.3MP | 12.3 MP | 8.9 MP | 8.1 MP,Product Model,STC-SBS322CXP121-SWIR | STC-SBS532CXP121-SWIR | STC-SBS34CXP121-SWIRU | STC-SBS132CXP121-SWIRU | STC-SBS322CXP121-SWIRU,family_name,KL-GS-12H03H-00-L25 | Linea Lite | Linea | Linea2 | Linea ML
상태,Available | Prototype/engineering sample | Coming soon | Discontinued,주문 번호,109680 | 109737 | 109740 | 109732 | 109734,camera_type,Area Scan Camera | Line Scan Camera,product_model,A5031CG300E | A5031CU815E | A5031MG300E | A5031MU815E | AH7040MG001E,Color / Mono,Color | Multispectral | Mono | Mono Polarized,해상도,"5472 x 3648 px, 20 MP | 4096 x 3000 px, 12.3 MP | 4096 x 2160 px, 8.9 MP | 2840 x 2840 px, 8.1 MP | 2048 x 1200 px, 2.4 MP",Camera Type,Area Camera | Area Camera (3CMOS) | Line Camera,부품 번호,KL-GS-12H03H-00-L25 | TL-GC-02K05T-00 | TL-GM-02K15B-00 | TL-GC-04K02T-00 | TL-GC-04K04T-00
센서 유형,Area scan | Line scan 2D | Line scan 3D,카메라 카테고리,라인 스캔 카메라 | 에어리어 스캔 카메라,Product Model,MV-CT0MG0004/G/NN/NN | MV-CT0CG0004/G/NN/NN | MV-CT1CG0004/G/NN/NN | MV-CT1MG0004/G/NN/NN | MV-CT2MG0004/G/NN/NN,camera_series,A Series | A Pro Series | AE Series | Board-level Series | Large Area Scan Series,Light Spectrum,Visible + NIR | Visible | 2-Bands Visible + NIR (Prism) | 3-Bands Visible + NIR (Prism) | Visible + UV,프레임 레이트,5.6 fps | 9.0 fps | 12.5 fps | 13.8 fps | 45.7 fps,Resolutions,3.2MP | 5.3MP | 0.3MP | 1.3MP | 5MP,해상도,"1,280 x 256 | 2048 × 3 | 2048 × 2 | 4096 × 3 | 4096 × 2"
크로마,Mono | Mono or Color | Color | Mono polarized | Color+Mono+NIR,카메라 시리즈,Basler racer 2 TDI | Basler ace 2 | Basler boost | Basler dart | Basler racer 2,Type,"0.4MP Area Scan Camera, 3rd Gen., GigE, Mono, BASE | 0.4MP Area Scan Camera, 3rd Gen., GigE, Color, BASE | 0.4MP Area Scan Camera, 3rd Gen., GigE, Color, PRO | 0.4MP Area Scan Camera, 3rd Gen., GigE, Mono, PRO | 0.4MP Area Scan Camera, 3rd Gen., GigE, Mono, MAX",Sensor,PYTHON 300 | IMX297 | IMX287 | SS | PYTHON 480,Resolution (MP),1.6 | 3.2 | 5.1 | 2.4 | 5.0,센서,Sony IMX183 CMOS (BSI Starvis) | Sony IMX565 CMOS | Sony IMX304 CMOS | Sony IMX267 CMOS | Sony IMX566 CMOS,Color / Monochrome,SWIR | Color | Monochrome | Monochrome NIR | Color NIR,메가픽셀,0.327 | 1.3 | 0.4 | 1.6 | 1.76
스펙트럼,"SWIR, Visible SWIR | Visible | UV | Visible-NIR | SWIR",보증 (Warranty),36개월,Sensor type,"CMOS, global shutter | CMOS, rolling shutter | CMOS,  global shutter | Vanadium oxide uncooled detector | InGaAs",Image Sensor,"1/4""CMOS | 1/2.9""CMOS | 1/2.9"" CMOS | 1/2.9''CMOS | 1/3.6""CMOS",Resolution (WxH),1456 x 1088 px | 2064 x 1544 px | 2464 x 2056 px | 1440 x 1080 px | 2048 x 1536 px,센서 크기,15.86 mm (Type 1″) | 14.0mm (Type 1/1.1″) | 17.6 mm (Type 1.1″) | 16.1 mm (Type 1″) | 11.1 mm (Type 2/3″),Effective Pixels,"2,048 (H) x 1,536 (V) | 2,560 (H) x 2,048 (V) | 640 (H) x 512 (V) | 1,280 (H) x 1,024 (V) | 656 (H) x 520 (V)",최대 라인 속도,2.3 kHz | 50 kHz × 3 | 150 kHz | 25 kHz × 3 | 42 kHz × 3
스펙트럼 범위,400 nm to 1700 nm | 300 nm to 1100 nm | 200 nm to 1000 nm | 200 nm to 1100 nm | 900 nm to 1700 nm,센서 공급업체,Gpixel | Sony | OmniVision | onsemi | Awaiba,Sensor model,Stacked BSI | Sony IMX178 | Sony IMX183 | Sony® IMX297 | Sony® IMX287,Shutter,Global | Rolling | Rolling/GlobalResetRealease,Frame rate / Line rate,79 fps | 38 fps | 24 fps | 126 fps | 106 fps,픽셀 크기,2.4 µm (H) x 2.4 µm (V) | 2.74 µm (H) x 2.74 µm (V) | 3.45 µm (H) x 3.45 µm (V) | 2.74 µm (H) x .74 µm (V) | 4.0 µm (H) x 4.0 µm (V),Frame Rate,173.4 fps | 131.9 fps | 258.8 fps | 134.7 fps | 83.9 fps,센서 모델,Teledyne DALSA | Sony IMX990 | Sony IMX287 | onsemi Python 1300 | onsemi Python 1300 P1
해상도,"656 × 520 (0.30 MP) | 728 × 544 (0.40 MP) | 4,112 × 3,008 (12.40 MP) | 4,024 × 3,036 (12.20 MP) | 4,128 × 3,008 (12.40 MP)",센서,GLT5016BSI | IMX542 | IMX676 | IMX392 | IMX547,Pixel size,6.9 μm × 6.9 μm | 3.45 μm × 3.45 μm | 2.4 μm × 2.4 μm | 2 μm × 2 μm | 4.5 μm × 4.5 μm,Resolution,640 × 480 | 720 × 520 | 720 × 540 | 720 × 544 | 800 × 600,ROI,Yes | No,셔터,"Rolling shutter with global reset | Global Shutter | Rolling with global reset | Rolling, Global Reset | Global",Interface,"CoaXPress (CXP-12, 1 lane) | PoE: IEEE802.3af CLASS3 (1000BASE-T) | USB3.0 | Camera Link 80bit / Full / Medium / Base | Camera Link Base",화소 크기,14 | 7 | 3.5 SR | 5 | 6.9 µm
