brand,subseries,모델,제품 시리즈,상태,센서 유형,크로마,스펙트럼,스펙트럼 범위,해상도,센서 모델,센서 아키텍처 (소재),셔터 유형,센서 크기,픽셀 크기,센서 비트 심도,모노크롬 픽셀 형식,최대 프레임 속도,비절연 라인,광절연 라인,전원 공급 장치,전력 소비,작동 온도 (하우징),본체 치수 (L x W x H mm),렌즈 마운트,무게,이미지 버퍼 (RAM),비휘발성 메모리 (플래시),디지털 인터페이스,YUV 픽셀 형식,RGB 픽셀 형식,베이어 픽셀 형식,양자 효율 @ 529 nm,비전 표준,양자 효율 @ 850 nm,노출 시간,게인,I/O 커넥터,특정 비절연 라인,제품 코드,필터/보호 유리,IP 등급,인터페이스 커넥터,노출 모드,게인 모드,이미지 제어 기능,트리거 모드/동기화,카메라 제어 기능,화이트 밸런스 모드,다이나믹 레인지,SNR,최대 프레임 속도 (버스트),최대 프레임 속도 ROI 모드,데이터 형식,최대 라인 속도 (트리리니어),최대 라인 속도 (단일 라인),최대 라인 속도 (쿼드리니어),사용자 데이터 메모리
Allied Vision,alvium-g1,Alvium G1-030 VSWIR,Alvium G1,Available,Area scan,Mono,"SWIR, Visible SWIR",400 nm to 1700 nm,656 × 520 (0.30 MP),Sony IMX991 | InGaAs,InGaAs,Global Shutter,4.61 mm ø (Type 1/4),5.00 µm × 5.00 µm,"8-bit, 10-bit, 12-bit; Adaptive (10-bit, 12-bit)","Mono8 (default), Mono10, Mono10p, Mono12, Mono12p, Mono12Packed",249 fps,2 GPIOs (LVTTL),"1 input, 1 output","10.8 to 26.4 VDC AUX | IEEE 802.3af, Power Class 0 PoE",External power: 2.8 W at 12 VDC (typical) | Power over Ethernet: 3.1 W (typical),-20 °C to 65 °C (housing),41 × 29 × 29,"C-Mount, CS-Mount",70 g,32 MByte,1024 KByte,"IEEE 802.3 1000BASE-T, IEEE 802.3af (PoE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allied Vision,alvium-g1,Alvium G1-040,Alvium G1,Available,Area scan,Mono or Color,Visible,300 nm to 1100 nm,728 × 544 (0.40 MP),Sony IMX287,CMOS,Global Shutter,6.3 mm ø (Type 1/2.9),6.90 µm × 6.90 µm,"8-bit, 10-bit, 12-bit; Adaptive (10-bit, 12-bit)","Mono8, Mono10, Mono10p, Mono12, Mono12p, Mono12Packed",298 fps,2 GPIOs (LVTTL),"1 input, 1 output","10.8 to 26.4 VDC AUX | IEEE 802.3af, Power Class 0 PoE",External power: 3.1 W at 12 VDC (typical) | Power over Ethernet: 3.4 W (typical),-20 °C to 65 °C (housing),41 × 29 × 29,"C-Mount, CS-Mount, S-Mount",70 g,32 MByte,1024 KByte,"IEEE 802.3 1000BASE-T, IEEE 802.3af (PoE)","YCbCr411_8_CbYYCrYY, YCbCr422_8_CbYCrY, YCbCr8_CbYCr","RGB8 (default), BGR8","BayerRG8, BayerRG10, BayerRG10p, BayerRG12, BayerRG12p, BayerRG12Packed",64 %,,,,,,,,,,,,,,,,,,,,,,,,,
Allied Vision,alvium-g1,Alvium G1-1236,Alvium G1,Available,Area scan,Mono or Color,Visible,300 nm to 1100 nm,"4,112 × 3,008 (12.40 MP)",Sony IMX304,CMOS,Global Shutter,17.6 mm ø (Type 1.1),3.45 µm × 3.45 µm,12-bit,"Mono8, Mono10, Mono10p, Mono12, Mono12p, Mono12Packed",9 fps,2 GPIOs (LVTTL),"1 input, 1 output","10.8 to 26.4 VDC AUX | IEEE 802.3af, Power Class 0 PoE",External power: 3.8 W at 12 VDC (typical) | Power over Ethernet: 4.0 W (typical),-20 °C to 65 °C (housing),41 × 29 × 29,"C-Mount, CS-Mount",70 g,32 MByte,1024 KByte,"IEEE 802.3 1000BASE-T, IEEE 802.3af (PoE)","YCbCr411_8_CbYYCrYY, YCbCr422_8_CbYCrY, YCbCr8_CbYCr","RGB8 (default), BGR8","BayerRG8, BayerRG10, BayerRG10p, BayerRG12, BayerRG12p, BayerRG12Packed",64 %,,,,,,,,,,,,,,,,,,,,,,,,,
Allied Vision,alvium-g1,Alvium G1-1240,Alvium G1,Available,Area scan,Mono or Color,Visible,300 nm to 1100 nm,"4,024 × 3,036 (12.20 MP)",Sony IMX226,CMOS,"Global Reset Shutter, Rolling Shutter",9.33 mm ø (Type 1/1.7),1.85 µm × 1.85 µm,10-bit,"Mono8, Mono10, Mono10p, Mono12, Mono12p, Mono12Packed",9 fps,2 GPIOs (LVTTL),"1 input, 1 output","10.8 to 26.4 VDC AUX | IEEE 802.3af, Power Class 0 PoE",External power: 3.6 W at 12 VDC (typical) | Power over Ethernet: 4.0 W (typical),-20 °C to 65 °C (housing),41 × 29 × 29,"C-Mount, CS-Mount, S-Mount",70 g,32 MByte,1024 KByte,"IEEE 802.3 1000BASE-T, IEEE 802.3af (PoE)","YCbCr411_8_CbYYCrYY, YCbCr422_8_CbYCrY, YCbCr8_CbYCr","RGB8 (default), BGR8","BayerRG8, BayerRG10, BayerRG10p, BayerRG12, BayerRG12p, BayerRG12Packed",74 %,,,,,,,,,,,,,,,,,,,,,,,,,
Allied Vision,alvium-g1,Alvium G1-1242,Alvium G1,Available,Area scan,Mono or Color,Visible,300 nm to 1100 nm,"4,128 × 3,008 (12.40 MP)",Sony IMX545,CMOS,Global Shutter,14 mm ø (Type 1/1.1),2.74 µm × 2.74 µm,12-bit,"Mono8, Mono10, Mono10p, Mono12, Mono12p, Mono12Packed",9 fps,2 GPIOs (LVTTL),"1 input, 1 output","10.8 to 26.4 VDC AUX | IEEE 802.3af, Power Class 0 PoE",External power: 3.8 W at 12 VDC (typical) | Power over Ethernet: 4.0 W (typical),-20 °C to 65 °C (housing),41 × 29 × 29,"C-Mount, CS-Mount",70 g,32 MByte,1024 KByte,"IEEE 802.3 1000BASE-T, IEEE 802.3af (PoE)","YCbCr411_8_CbYYCrYY, YCbCr422_8_CbYCrY, YCbCr8_CbYCr","RGB8 (default), BGR8","BayerRG8, BayerRG10, BayerRG10p, BayerRG12, BayerRG12p, BayerRG12Packed",68 %,,,,,,,,,,,,,,,,,,,,,,,,,
Allied Vision,alvium-g1,Alvium G1-130 VSWIR,Alvium G1,Available,Area scan,Mono,"SWIR, Visible SWIR",400 nm to 1700 nm,"1,296 × 1,032 (1.30 MP)",Sony IMX990 | InGaAs,InGaAs,Global Shutter,8.15 mm ø (Type 1/2),5.00 µm × 5.00 µm,"8-bit, 10-bit, 12-bit; Adaptive (10-bit, 12-bit)","Mono8 (default), Mono10, Mono10p, Mono12, Mono12p, Mono12Packed",88 fps,2 GPIOs (LVTTL),"1 input, 1 output","10.8 to 26.4 VDC AUX | IEEE 802.3af, Power Class 0 PoE",External power: 2.9 W at 12 VDC (typical) | Power over Ethernet: 3.2 W (typical),-20 °C to 65 °C (housing),41 × 29 × 29,"C-Mount, CS-Mount",70 g,32 MByte,1024 KByte,"IEEE 802.3 1000BASE-T, IEEE 802.3af (PoE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allied Vision,alvium-g1,Alvium G1-131,Alvium G1,Available,Area scan,Mono or Color,Visible,300 nm to 1100 nm,"1,280 × 1,024 (1.30 MP)",Teledyne e2v EV76C560,CMOS,Global Shutter,9 mm ø (Type 1/1.8),5.30 µm × 5.30 µm,10-bit,"Mono8, Mono10, Mono10p, Mono12, Mono12p, Mono12Packed",60 fps,2 GPIOs (LVTTL),"1 input, 1 output","10.8 to 26.4 VDC AUX or IEEE 802.3af, Power Class 0 PoE",External power: 2.2 W (typical) | Power over Ethernet: 2.5 W (typical),-20 °C to 65 °C (housing),41 × 29 × 29,"C-Mount, CS-Mount, S-Mount",70 g,32 MByte,1024 KByte,"IEEE 802.3 1000BASE-T, IEEE 802.3af (PoE)","YCbCr411_8_CbYYCrYY, YCbCr422_8_CbYCrY, YCbCr8_CbYCr","RGB8 (default), BGR8","BayerRG8, BayerRG10, BayerRG10p, BayerRG12, BayerRG12p, BayerRG12Packed",,,,,,,,,,,,,,,,,,,,,,,,,,
Allied Vision,alvium-g1,Alvium G1-158,Alvium G1,Available,Area scan,Mono or Color,Visible,300 nm to 1100 nm,"1,456 × 1,088 (1.60 MP)",Sony IMX273,CMOS,Global Shutter,6.3 mm ø (Type 1/2.9),3.45 µm × 3.45 µm,"8-bit, 10-bit, 12-bit; Adaptive (10-bit, 12-bit)","Mono8, Mono10, Mono10p, Mono12, Mono12p, Mono12Packed",74 fps,2 GPIOs (LVTTL),"1 input, 1 output","10.8 to 26.4 VDC AUX or IEEE 802.3af, Power Class 0 PoE",External power: 3.6 W at 12 VDC (typical) | Power over Ethernet: 3.9 W (typical),-20 °C to 65 °C (housing),41 × 29 × 29,"C-Mount, CS-Mount, S-Mount",70 g,32 MByte,1024 KByte,"IEEE 802.3 1000BASE-T, IEEE 802.3af (PoE)","YCbCr411_8_CbYYCrYY, YCbCr422_8_CbYCrY, YCbCr8_CbYCr","RGB8 (default), BGR8","BayerRG8, BayerRG10, BayerRG10p, BayerRG12, BayerRG12p, BayerRG12Packed",64 %,,,,,,,,,,,,,,,,,,,,,,,,,
Allied Vision,alvium-g1,Alvium G1-1620,Alvium G1,Available,Area scan,Mono or Color,Visible,300 nm to 1100 nm,"5,328 × 3,040 (16.20 MP)",Sony IMX542,CMOS,Global Shutter,17.6 mm ø (Type 1.1),2.74 µm × 2.74 µm,12-bit,"Mono8, Mono10, Mono10p, Mono12, Mono12p, Mono12Packed",7 fps,2 GPIOs (LVTTL),"1 input, 1 output","10.8 to 26.4 VDC AUX | IEEE 802.3af, Power Class 0 PoE",External power: 3.7 W at 12 VDC (typical) | Power over Ethernet: 4.1 W (typical),-20 °C to 65 °C (housing),41 × 29 × 29,"C-Mount, CS-Mount",70 g,32 MByte,1024 KByte,"IEEE 802.3 1000BASE-T, IEEE 802.3af (PoE)","YCbCr411_8_CbYYCrYY, YCbCr422_8_CbYCrY, YCbCr8_CbYCr","RGB8 (default), BGR8","BayerRG8, BayerRG10, BayerRG10p, BayerRG12, BayerRG12p, BayerRG12Packed",68 %,,,,,,,,,,,,,,,,,,,,,,,,,
Allied Vision,alvium-g1,Alvium G1-192,Alvium G1,Available,Area scan,Mono or Color,Visible,300 nm to 1100 nm,"1,600 × 1,200 (1.90 MP)",Teledyne e2v EV76C570,CMOS,Global Shutter,9 mm ø (Type 1/1.8),4.50 µm × 4.50 µm,10-bit,"Mono8, Mono10, Mono10p, Mono12, Mono12p, Mono12Packed",59 fps,2 GPIOs (LVTTL),"1 input, 1 output","10.8 to 26.4 VDC AUX or IEEE 802.3af, Power Class 0 PoE",External power: 2.3 W (typical) | Power over Ethernet: 2.6 W (typical),-20 °C to 65 °C (housing),41 × 29 × 29,"C-Mount, CS-Mount, S-Mount",70 g,32 MByte,1024 KByte,"IEEE 802.3 1000BASE-T, IEEE 802.3af (PoE)","YCbCr411_8_CbYYCrYY, YCbCr422_8_CbYCrY, YCbCr8_CbYCr","RGB8 (default), BGR8","BayerRG8, BayerRG10, BayerRG10p, BayerRG12, BayerRG12p, BayerRG12Packed",,,,,,,,,,,,,,,,,,,,,,,,,,
