brand,Product Line,Model,Type,Color / Mono,Light Spectrum,Resolution (MP),Resolution (WxH),Frame rate / Line rate,ROI,Interface,Sensors,Sensor Name,Cell Size (WxH),Resolution,Resolution WxH,Optical Format,Cell Size WxH,Shutter type,Sensor Diagonal,Active Sensor Dimensions WxH,Camera Dimensions HxWxL,Weight,Video Output,Lens Mount,Power Consumption,Operating Temperature (ambient)
JAI,Apex Medical Solutions,AP-1600T-USB-LSX,Area Scan,Color,Visible + NIR,1.6,1456 x 1088 px,79 fps,Yes,USB3 Vision,3xCMOS RGB,IMX273,3.45 x 3.45 µm,1.6 MP,1456 x 1088 px,1/2.9 inch,3.45 x 3.45 µm,Global shutter,6.3 mm,5.0 x 3.8 mm,44 x 44 x 74 mm,170 g,8/10/12-bit *,C-mount,5.3 Watt,-5°C to +45°C
JAI,Apex Medical Solutions,AP-3200T-USB-LS,Area Scan,Color,Visible + NIR,3.2,2064 x 1544 px,38 fps,Yes,USB3 Vision,3xCMOS RGB,IMX265,3.45 x 3.45 µm,3.2 MP,2064 x 1544 px,1/1.8 inch,3.45 x 3.45 µm,Global shutter,8.9 mm,7.1 x 5.3 mm,44 x 44 x 74 mm,170 g,8/10/12-bit *,C-mount,5.3 Watt,-5°C to +45°C
JAI,Apex Medical Solutions,AP-3200T-USB-LSX,Area Scan,Color,Visible + NIR,3.2,2064 x 1544 px,38 fps,Yes,USB3 Vision,3xCMOS RGB,IMX265,3.45 x 3.45 µm,3.2 MP,2064 x 1544 px,1/1.8 inch,3.45 x 3.45 µm,Global shutter,8.9 mm,7.1 x 5.3 mm,44 x 44 x 74 mm,170 g,8/10/12-bit *,C-mount,5.3 Watt,-5°C to +45°C
JAI,Apex Series,AP-1600T-PGE,Area Scan,Color,Visible,1.6,1456 x 1088 px,24 fps,Yes,GigE Vision 1-Cable (PoE),3xCMOS RGB,IMX273,3.45 x 3.45 µm,1.6 MP,1456 x 1088 px,1/2.9 inch,3.45 x 3.45 µm,Global shutter,6.3 mm,5.0 x 3.8 mm,44 x 44 x 84 mm,200 g,8/10/12-bit *,C-mount,7.5 Watt,-5°C to +45°C
JAI,Apex Series,AP-1600T-PMCL,Area Scan,Color,Visible,1.6,1456 x 1088 px,126 fps,Yes,Mini Camera Link (PoCL),3xCMOS RGB,IMX273,3.45 x 3.45 µm,1.6 MP,1456 x 1088 px,1/2.9 inch,3.45 x 3.45 µm,Global shutter,6.3 mm,5.0 x 3.8 mm,44 x 44 x 74 mm,170 g,8/10/12-bit *,C-mount,6 Watt,-5°C to +45°C
JAI,"Apex Series
/                 Apex Medical Solutions",AP-1600T-USB,Area Scan,Color,Visible + NIR,1.6,1456 x 1088 px,79 fps,Yes,USB3 Vision,3xCMOS RGB,IMX273,3.45 x 3.45 µm,1.6 MP,1456 x 1088 px,1/2.9 inch,3.45 x 3.45 µm,Global shutter,6.3 mm,5.0 x 3.8 mm,44 x 44 x 74 mm,170 g,8/10/12-bit *,C-mount,5.3 Watt,-5°C to +45°C
JAI,Apex Series,AP-3200T-10GE,Area Scan,Color,Visible,3.2,2064 x 1544 px,106 fps,Yes,10 Gbps GigE Vision,3xCMOS RGB,IMX252,3.45 x 3.45 µm,3.2 MP,2064 x 1544 px,1/1.8 inch,3.45 x 3.45 µm,Global shutter,8.9 mm,7.1 x 5.3 mm,62 x 62 x 86.5 mm,270 g,8/10/12-bit (RGB) *,C-mount,11.6 Watt,-5°C to +45°C
JAI,Apex Series,AP-3200T-PGE,Area Scan,Color,Visible,3.2,2064 x 1544 px,12 fps,Yes,GigE Vision 1-Cable (PoE),3xCMOS RGB,IMX265,3.45 x 3.45 µm,3.2 MP,2064 x 1544 px,1/1.8 inch,3.45 x 3.45 µm,Global shutter,8.9 mm,7.1 x 5.3 mm,44 x 44 x 84 mm,200 g,8/10/12-bit *,C-mount,7.5 Watt,-5°C to +45°C
JAI,Apex Series,AP-3200T-PMCL,Area Scan,Color,Visible,3.2,2064 x 1544 px,55 fps,Yes,Mini Camera Link (PoCL),3xCMOS RGB,IMX265,3.45 x 3.45 µm,3.2 MP,2064 x 1544 px,1/1.8 inch,3.45 x 3.45 µm,Global shutter,8.9 mm,7.1 x 5.3 mm,44 x 44 x 74 mm,170 g,8/10/12-bit *,C-mount,6 Watt,-5°C to +45°C
JAI,"Apex Series
/                 Apex Medical Solutions",AP-3200T-USB,Area Scan,Color,Visible + NIR,3.2,2064 x 1544 px,38 fps,Yes,USB3 Vision,3xCMOS RGB,IMX265,3.45 x 3.45 µm,3.2 MP,2064 x 1544 px,1/1.8 inch,3.45 x 3.45 µm,Global shutter,8.9 mm,7.1 x 5.3 mm,44 x 44 x 74 mm,170 g,8/10/12-bit *,C-mount,5.3 Watt,-5°C to +45°C
JAI,Apex Series,AP-5100T-5GE,Area Scan,Color,Visible,5.1,2464 x 2056 px,32 fps,Yes,5 Gbps GigE Vision,3xCMOS RGB,IMX548 Pregius S,2.74 x 2.74 µm,5.1 MP,2464 x 2056 px,1/1.8 inch,2.74 x 2.74 µm,Global shutter,8.8 mm,6.77 x 5.66 mm,54 x 54 x 74 mm,215 g,8/10/12-bit (RGB),C-mount,7.6 Watt,-5°C to +45°C
JAI,Apex Series,AP-5100T-CXPA,Area Scan,Color,Visible,5.1,2464 x 2056 px,75 fps,Yes,CoaXPress-1-Lane (PoCXP),3xCMOS RGB,IMX548 Pregius S,2.74 x 2.74 µm,5.1 MP,2464 x 2056 px,1/1.8 inch,2.74 x 2.74 µm,Global shutter,8.8 mm,6.77 x 5.66 mm,54 x 54 x 74 mm,210 g,8/10/12-bit (RGB),C-mount,8 Watt,-5°C to +45°C
JAI,Apex Series,AP-5100T-MCL,Area Scan,Color,Visible,5.1,2464 x 2056 px,55 fps,Yes,Mini Camera Link,3xCMOS RGB,IMX548 Pregius S,2.74 x 2.74 µm,5.1 MP,2464 x 2056 px,1/1.8 inch,2.74 x 2.74 µm,Global shutter,8.8 mm,6.77 x 5.66 mm,54 x 54 x 74 mm,g,8/10/12-bit (RGB),C-mount,Watt,-5°C to +45°C
JAI,Fusion Series,FS-1600D-10GE,Area Scan,Multispectral,2-Bands Visible + NIR (Prism),1.6,1440 x 1080 px,226 fps,Yes,10 Gbps GigE Vision,2xCMOS (Vis/NIR),IMX273,3.45 x 3.45 µm,1.6 MP,1440 x 1080 px,1/2.9 inch,3.45 x 3.45 µm,Global shutter,6.2 mm,5.0 x 3.7 mm,62 x 62 x 86.5 mm,270 g,8/10/12-bit *,C-mount,10.4 Watt,-5°C to +45°C
JAI,Fusion Series,FS-1600T-10GE-NNM,Area Scan,Multispectral,3-Bands Visible + NIR (Prism),1.6,1440 x 1080 px,213 fps,Yes,10 Gbps GigE Vision,3 x CMOS Vis/NIR/NIR,IMX273,3.45 x 3.45 µm,1.6 MP,1440 x 1080 px,1/2.9 inch,3.45 x 3.45 µm,Global shutter,6.3 mm,5.0 x 3.8 mm,62 x 62 x 86.5 mm,270 g,8/10/12-bit *,C-mount,11.6 Watt,-5°C to +45°C
JAI,Fusion Series,FS-3200D-10GE,Area Scan,Multispectral,2-Bands Visible + NIR (Prism),3.2,2048 x 1536 px,123 fps,Yes,10 Gbps GigE Vision,2xCMOS (Vis/NIR),IMX252,3.45 x 3.45 µm,3.2 MP,2048 x 1536 px,1/1.8 inch,3.45 x 3.45 µm,Global shutter,8.8 mm,7.1 x 5.3 mm,62 x 62 x 86.5 mm,270 g,8/10/12-bit *,C-mount,10.4 Watt,-5°C to +45°C
JAI,Fusion Series,FS-3200T-10GE-NNC,Area Scan,Multispectral,3-Bands Visible + NIR (Prism),3.2,2048 x 1536 px,107 fps,Yes,10 Gbps GigE Vision,3 x CMOS Vis/NIR/NIR,IMX252,3.45 x 3.45 µm,3.2 MP,2048 x 1536 px,1/1.8 inch,3.45 x 3.45 µm,Global shutter,8.8 mm,7.1 x 5.3 mm,62 x 62 x 86.5 mm,270 g,8/10/12-bit *,C-mount,11.6 Watt,-5°C to +45°C
JAI,Fusion Series,FSFE-1600D-10GE,Area Scan,Multispectral,2-Bands Visible + NIR (Prism),1.6,1440 x 1080 px,226 fps,N/A,10 Gbps GigE Vision,2xCMOS (Vis/NIR),IMX273,3.45 x 3.45 µm,1.6 MP,1440 x 1080 px,1/2.9 inch,3.45 x 3.45 µm,Global shutter,6.2 mm,4.9 x 3.7 mm,62 x 62 x 86.5 mm,270 g,8/10/12-bit,C-mount,10.4 Watt,-5°C to +45°C
JAI,Fusion Series,FSFE-1600T-10GE,Area Scan,Multispectral,3-Bands Visible + NIR (Prism),1.6,1440 x 1080 px,213 fps,N/A,10 Gbps GigE Vision,3xCMOS (Vis/NIR),IMX273,3.45 x 3.45 µm,1.6 MP,1440 x 1080 px,1/2.9 inch,3.45 x 3.45 µm,Global shutter,6.2 mm,4.9 x 3.7 mm,62 x 62 x 86.5 mm,270 g,8/10/12-bit,C-mount,10.4 Watt,-5°C to +45°C
JAI,Fusion Series,FSFE-3200D-10GE,Area Scan,Multispectral,2-Bands Visible + NIR (Prism),3.2,2048 x 1536 px,123 fps,N/A,10 Gbps GigE Vision,2xCMOS (Vis/NIR),IMX252,3.45 x 3.45 µm,3.2 MP,2048 x 1536 px,1/1.8 inch,3.45 x 3.45 µm,Global shutter,8.8 mm,7.1 x 5.3 mm,62 x 62 x 86.5 mm,270 g,8/10/12-bit,C-mount,10.4 Watt,-5°C to +45°C
JAI,Fusion Series,FSFE-3200T-10GE,Area Scan,Multispectral,3-Bands Visible + NIR (Prism),3.2,2048 x 1536 px,107 fps,N/A,10 Gbps GigE Vision,3xCMOS (Vis/NIR),IMX252,3.45 x 3.45 µm,3.2 MP,2048 x 1536 px,1/1.8 inch,3.45 x 3.45 µm,Global shutter,8.8 mm,7.1 x 5.3 mm,62 x 62 x 86.5 mm,270 g,8/10/12-bit,C-mount,10.4 Watt,-5°C to +45°C
JAI,Go Series,GO-2400C-PGE,Area Scan,Color,Visible,2.4,1936 x 1216 px,48 fps,Yes,GigE Vision 1-Cable (PoE),1xCMOS,IMX174,5.86 x 5.86 µm,2.4 MP,1936 x 1216 px,1/1.2 inch,5.86 x 5.86 µm,Global shutter,13.4 mm,11.3 x 7.1 mm,29 x 29 x 51.5 mm,46 g,8/10/12-bit *,C-mount,3.02 Watt,-5°C to +45°C
JAI,Go Series,GO-2400C-PGE-1,Area Scan,Color,Visible,2.4,1936 x 1216 px,48 fps,Yes,GigE Vision 1-Cable (PoE),1xCMOS,IMX174,5.86 x 5.86 µm,2.4 MP,1936 x 1216 px,1/1.2 inch,5.86 x 5.86 µm,Global shutter,13.4 mm,11.3 x 7.1 mm,29 x 29 x 51.5 mm,65 g,8/10/12-bit *,C-mount,3.3 Watt,-5°C to +45°C
JAI,Go Series,GO-2400C-PMCL,Area Scan,Color,Visible,2.4,1936 x 1216 px,165 fps,Yes,Mini Camera Link (PoCL),1xCMOS,IMX174,5.86 x 5.86 µm,2.4 MP,1936 x 1216 px,1/1.2 inch,5.86 x 5.86 µm,Global shutter,13.4 mm,11.3 x 7.1 mm,29 x 29 x 51.5 mm,46 g,8/10/12-bit *,C-mount,2.76 Watt,-5°C to +45°C
JAI,Go Series,GO-2400C-PMCL-1,Area Scan,Color,Visible,2.4,1936 x 1216 px,165 fps,Yes,Mini Camera Link (PoCL),1xCMOS,IMX174,5.86 x 5.86 µm,2.4 MP,1936 x 1216 px,1/1.2 inch,5.86 x 5.86 µm,Global shutter,13.4 mm,11.3 x 7.1 mm,29 x 29 x 51.5 mm,60 g,8/10/12-bit *,C-mount,2.94 Watt,-5°C to +45°C
