brand,is_variant,모델,메가픽셀,해상도,프레임 레이트,센서,센서 크기,픽셀 크기,셔터,렌즈 마운트,크로마,디지털 인터페이스,프레임 레이트*,제품 사이즈,무게,GPIO인터페이스,Opto-Isolated I/O Ports,Non-Isolated I/O Ports,전원 요구사항,소비 전력,메모리,이미지 처리,픽셀 형식,압축,이미지 모드,ADC,Gain범위,노출 시간,User Sets,File System Size,Chunk Data,Event Data,Counter & Timer,Sequencer,Synchronization,표준,응낙,보관 온도,동작 온도,습도,충격 및 진동,보증,parent_model,이더넷 인터페이스,진입 보호,전송 계층 프로토콜,GPIO 인터페이스,광절연 I/O 포트,비절연 I/O 포트,차동 / 단일 입력 포트,산업용 EMC 내성,10GBASE-T GigE Vision 커넥터,Conversion Gain,2.5GBASE-T GigE Vision 커넥터,포함 된 액세서리,포함 된 액세서리y,전환 이득,냉각,크로마 / 감도 범위,감도 범위,냉각 능력,2.5 GigE Vision 커넥터,데이터 스트림 유형,조정 가능한 바이어스,EVS 관련 기능,이벤트 신호 처리,소프트웨어 호환성,라인 속도,Line Rate,GigE Vision 커넥터,추론 엔진,온센서 메모리,ISP,Supported Models,Input Tensor,Input/Output Tensors,사용 가능한 출력,5GBASE-T GigE Vision 커넥터
Lucid Vision,N,PHX200S,20.0 MP,"5472 x 3648 px, 20 MP",5.6 fps,Sony IMX183 CMOS (BSI Starvis),15.86 mm (Type 1″),2.4 µm (H) x 2.4 µm (V),Rolling shutter with global reset,C-Mount / 렌즈 마운트 없음 / 플랜지가 있는 렌즈 마운트 없음 / C-마운트가 있는 원격 헤드,Mono / Color,"1000BASE-T RJ45, PoEix Industrial, PoEFFC, PoE",5.6 FPS (6 FPS) @ 20 M,28 x 28 x 28.4 mm,39 g,8 핀 JST 커넥터,"1 input, 1 output",2 bi-directional,"PoE (IEEE 802.3af), or 12-24 VDC ±5% external","PoE를 통한 3.1W, 외부 전원 공급시 2.6W",128 MB,"Gain, gamma, black level, white balance, LUT, CCM, pixel correction, color space conversion","Mono8/10/12/16, Bayer8/10/12/16, RGB8, BGR8, YCbCr8, YCbCr411, YUV422, YUV411, QOI_Mono8, QOI_BayerRG8, QOI_RGB8, QOI_BGR8, QOI_YCbCr8",QOI,"수평 및 수직 비닝, ROI, 수직 뒤집기",12 bit,0 dB ~ 27 dB 아날로그 및 디지털,359 μs ~ 2.5 s,1 default and 2 custom user set,16 MB,"Frame counter, offset X/Y, width/height, 노출 시간, gain, black level, line status, sequencer set","Acquisition start/end, exposure start/end, line rise/fall, error",2 counters and 2 timers,"노출 시간, gain","Software trigger, hardware trigger, PTP (IEEE 1588)",GigE Vision v2.0,"CE, KC, FCC, RoHS, REACH, WEEE",-30 to 60°C,-10 to 55°C 주변,"동작: 20% ~ 80%, relative, 비 응축","DIN EN 60068-2-27, DIN EN 60068-2-64,",3 year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucid Vision,Y,PHX200S-CC,,"5472 x 3648 px, 20 MP",,Sony IMX183 CMOS (BSI Starvis),15.86 mm (Type 1″),2.4 µm (H) x 2.4 µm (V),Rolling shutter with global reset,C-mount,Color,"1000BASE-T RJ45, PoEix Industrial, PoEFFC, PoE",5.6 FPS (6 FPS) @ 20 M,28 x 28 x 28.4 mm,39 g,8 핀 JST 커넥터,"1 input, 1 output",2 bi-directional,"PoE (IEEE 802.3af), or 12-24 VDC ±5% external","PoE를 통한 3.1W, 외부 전원 공급시 2.6W",128 MB,"Gain, gamma, black level, white balance, LUT, CCM, pixel correction, color space conversion","Mono8/10/12/16, Bayer8/10/12/16, RGB8, BGR8, YCbCr8, YCbCr411, YUV422, YUV411, QOI_Mono8, QOI_BayerRG8, QOI_RGB8, QOI_BGR8, QOI_YCbCr8",QOI,"수평 및 수직 비닝, ROI, 수직 뒤집기",12 bit,0 dB ~ 27 dB 아날로그 및 디지털,359 μs ~ 2.5 s,1 default and 2 custom user set,16 MB,"Frame counter, offset X/Y, width/height, 노출 시간, gain, black level, line status, sequencer set","Acquisition start/end, exposure start/end, line rise/fall, error",2 counters and 2 timers,"노출 시간, gain","Software trigger, hardware trigger, PTP (IEEE 1588)",GigE Vision v2.0,"CE, KC, FCC, RoHS, REACH, WEEE",-30 to 60°C,-10 to 55°C 주변,"동작: 20% ~ 80%, relative, 비 응축","DIN EN 60068-2-27, DIN EN 60068-2-64,",3 year,PHX200S,RJ45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucid Vision,Y,PHX200S-MC,,"5472 x 3648 px, 20 MP",,Sony IMX183 CMOS (BSI Starvis),15.86 mm (Type 1″),2.4 µm (H) x 2.4 µm (V),Rolling shutter with global reset,C-mount,Mono,"1000BASE-T RJ45, PoEix Industrial, PoEFFC, PoE",5.6 FPS (6 FPS) @ 20 M,28 x 28 x 28.4 mm,39 g,8 핀 JST 커넥터,"1 input, 1 output",2 bi-directional,"PoE (IEEE 802.3af), or 12-24 VDC ±5% external","PoE를 통한 3.1W, 외부 전원 공급시 2.6W",128 MB,"Gain, gamma, black level, white balance, LUT, CCM, pixel correction, color space conversion","Mono8/10/12/16, Bayer8/10/12/16, RGB8, BGR8, YCbCr8, YCbCr411, YUV422, YUV411, QOI_Mono8, QOI_BayerRG8, QOI_RGB8, QOI_BGR8, QOI_YCbCr8",QOI,"수평 및 수직 비닝, ROI, 수직 뒤집기",12 bit,0 dB ~ 27 dB 아날로그 및 디지털,359 μs ~ 2.5 s,1 default and 2 custom user set,16 MB,"Frame counter, offset X/Y, width/height, 노출 시간, gain, black level, line status, sequencer set","Acquisition start/end, exposure start/end, line rise/fall, error",2 counters and 2 timers,"노출 시간, gain","Software trigger, hardware trigger, PTP (IEEE 1588)",GigE Vision v2.0,"CE, KC, FCC, RoHS, REACH, WEEE",-30 to 60°C,-10 to 55°C 주변,"동작: 20% ~ 80%, relative, 비 응축","DIN EN 60068-2-27, DIN EN 60068-2-64,",3 year,PHX200S,RJ45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucid Vision,Y,PHX200S-CC-IX,,"5472 x 3648 px, 20 MP",,Sony IMX183 CMOS (BSI Starvis),15.86 mm (Type 1″),2.4 µm (H) x 2.4 µm (V),Rolling shutter with global reset,C-mount,Color,"1000BASE-T RJ45, PoEix Industrial, PoEFFC, PoE",5.6 FPS (6 FPS) @ 20 M,28 x 28 x 28.4 mm,39 g,8 핀 JST 커넥터,"1 input, 1 output",2 bi-directional,"PoE (IEEE 802.3af), or 12-24 VDC ±5% external","PoE를 통한 3.1W, 외부 전원 공급시 2.6W",128 MB,"Gain, gamma, black level, white balance, LUT, CCM, pixel correction, color space conversion","Mono8/10/12/16, Bayer8/10/12/16, RGB8, BGR8, YCbCr8, YCbCr411, YUV422, YUV411, QOI_Mono8, QOI_BayerRG8, QOI_RGB8, QOI_BGR8, QOI_YCbCr8",QOI,"수평 및 수직 비닝, ROI, 수직 뒤집기",12 bit,0 dB ~ 27 dB 아날로그 및 디지털,359 μs ~ 2.5 s,1 default and 2 custom user set,16 MB,"Frame counter, offset X/Y, width/height, 노출 시간, gain, black level, line status, sequencer set","Acquisition start/end, exposure start/end, line rise/fall, error",2 counters and 2 timers,"노출 시간, gain","Software trigger, hardware trigger, PTP (IEEE 1588)",GigE Vision v2.0,"CE, KC, FCC, RoHS, REACH, WEEE",-30 to 60°C,-10 to 55°C 주변,"동작: 20% ~ 80%, relative, 비 응축","DIN EN 60068-2-27, DIN EN 60068-2-64,",3 year,PHX200S,ix Connector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucid Vision,Y,PHX200S-MC-IX,,"5472 x 3648 px, 20 MP",,Sony IMX183 CMOS (BSI Starvis),15.86 mm (Type 1″),2.4 µm (H) x 2.4 µm (V),Rolling shutter with global reset,C-mount,Mono,"1000BASE-T RJ45, PoEix Industrial, PoEFFC, PoE",5.6 FPS (6 FPS) @ 20 M,28 x 28 x 28.4 mm,39 g,8 핀 JST 커넥터,"1 input, 1 output",2 bi-directional,"PoE (IEEE 802.3af), or 12-24 VDC ±5% external","PoE를 통한 3.1W, 외부 전원 공급시 2.6W",128 MB,"Gain, gamma, black level, white balance, LUT, CCM, pixel correction, color space conversion","Mono8/10/12/16, Bayer8/10/12/16, RGB8, BGR8, YCbCr8, YCbCr411, YUV422, YUV411, QOI_Mono8, QOI_BayerRG8, QOI_RGB8, QOI_BGR8, QOI_YCbCr8",QOI,"수평 및 수직 비닝, ROI, 수직 뒤집기",12 bit,0 dB ~ 27 dB 아날로그 및 디지털,359 μs ~ 2.5 s,1 default and 2 custom user set,16 MB,"Frame counter, offset X/Y, width/height, 노출 시간, gain, black level, line status, sequencer set","Acquisition start/end, exposure start/end, line rise/fall, error",2 counters and 2 timers,"노출 시간, gain","Software trigger, hardware trigger, PTP (IEEE 1588)",GigE Vision v2.0,"CE, KC, FCC, RoHS, REACH, WEEE",-30 to 60°C,-10 to 55°C 주변,"동작: 20% ~ 80%, relative, 비 응축","DIN EN 60068-2-27, DIN EN 60068-2-64,",3 year,PHX200S,ix Connector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucid Vision,Y,PHX200S-CC-FFC,,"5472 x 3648 px, 20 MP",,Sony IMX183 CMOS (BSI Starvis),15.86 mm (Type 1″),2.4 µm (H) x 2.4 µm (V),Rolling shutter with global reset,C-mount,Color,"1000BASE-T RJ45, PoEix Industrial, PoEFFC, PoE",5.6 FPS (6 FPS) @ 20 M,28 x 28 x 28.4 mm,39 g,8 핀 JST 커넥터,"1 input, 1 output",2 bi-directional,"PoE (IEEE 802.3af), or 12-24 VDC ±5% external","PoE를 통한 3.1W, 외부 전원 공급시 2.6W",128 MB,"Gain, gamma, black level, white balance, LUT, CCM, pixel correction, color space conversion","Mono8/10/12/16, Bayer8/10/12/16, RGB8, BGR8, YCbCr8, YCbCr411, YUV422, YUV411, QOI_Mono8, QOI_BayerRG8, QOI_RGB8, QOI_BGR8, QOI_YCbCr8",QOI,"수평 및 수직 비닝, ROI, 수직 뒤집기",12 bit,0 dB ~ 27 dB 아날로그 및 디지털,359 μs ~ 2.5 s,1 default and 2 custom user set,16 MB,"Frame counter, offset X/Y, width/height, 노출 시간, gain, black level, line status, sequencer set","Acquisition start/end, exposure start/end, line rise/fall, error",2 counters and 2 timers,"노출 시간, gain","Software trigger, hardware trigger, PTP (IEEE 1588)",GigE Vision v2.0,"CE, KC, FCC, RoHS, REACH, WEEE",-30 to 60°C,-10 to 55°C 주변,"동작: 20% ~ 80%, relative, 비 응축","DIN EN 60068-2-27, DIN EN 60068-2-64,",3 year,PHX200S,FFC (ZIF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucid Vision,Y,PHX200S-MC-FFC,,"5472 x 3648 px, 20 MP",,Sony IMX183 CMOS (BSI Starvis),15.86 mm (Type 1″),2.4 µm (H) x 2.4 µm (V),Rolling shutter with global reset,C-mount,Mono,"1000BASE-T RJ45, PoEix Industrial, PoEFFC, PoE",5.6 FPS (6 FPS) @ 20 M,28 x 28 x 28.4 mm,39 g,8 핀 JST 커넥터,"1 input, 1 output",2 bi-directional,"PoE (IEEE 802.3af), or 12-24 VDC ±5% external","PoE를 통한 3.1W, 외부 전원 공급시 2.6W",128 MB,"Gain, gamma, black level, white balance, LUT, CCM, pixel correction, color space conversion","Mono8/10/12/16, Bayer8/10/12/16, RGB8, BGR8, YCbCr8, YCbCr411, YUV422, YUV411, QOI_Mono8, QOI_BayerRG8, QOI_RGB8, QOI_BGR8, QOI_YCbCr8",QOI,"수평 및 수직 비닝, ROI, 수직 뒤집기",12 bit,0 dB ~ 27 dB 아날로그 및 디지털,359 μs ~ 2.5 s,1 default and 2 custom user set,16 MB,"Frame counter, offset X/Y, width/height, 노출 시간, gain, black level, line status, sequencer set","Acquisition start/end, exposure start/end, line rise/fall, error",2 counters and 2 timers,"노출 시간, gain","Software trigger, hardware trigger, PTP (IEEE 1588)",GigE Vision v2.0,"CE, KC, FCC, RoHS, REACH, WEEE",-30 to 60°C,-10 to 55°C 주변,"동작: 20% ~ 80%, relative, 비 응축","DIN EN 60068-2-27, DIN EN 60068-2-64,",3 year,PHX200S,FFC (ZIF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucid Vision,Y,PHX200S-CNL,,"5472 x 3648 px, 20 MP",,Sony IMX183 CMOS (BSI Starvis),15.86 mm (Type 1″),2.4 µm (H) x 2.4 µm (V),Rolling shutter with global reset,렌즈 마운트 없음,Color,"1000BASE-T RJ45, PoEix Industrial, PoEFFC, PoE",5.6 FPS (6 FPS) @ 20 M,28 x 28 x 28.4 mm,39 g,8 핀 JST 커넥터,"1 input, 1 output",2 bi-directional,"PoE (IEEE 802.3af), or 12-24 VDC ±5% external","PoE를 통한 3.1W, 외부 전원 공급시 2.6W",128 MB,"Gain, gamma, black level, white balance, LUT, CCM, pixel correction, color space conversion","Mono8/10/12/16, Bayer8/10/12/16, RGB8, BGR8, YCbCr8, YCbCr411, YUV422, YUV411, QOI_Mono8, QOI_BayerRG8, QOI_RGB8, QOI_BGR8, QOI_YCbCr8",QOI,"수평 및 수직 비닝, ROI, 수직 뒤집기",12 bit,0 dB ~ 27 dB 아날로그 및 디지털,359 μs ~ 2.5 s,1 default and 2 custom user set,16 MB,"Frame counter, offset X/Y, width/height, 노출 시간, gain, black level, line status, sequencer set","Acquisition start/end, exposure start/end, line rise/fall, error",2 counters and 2 timers,"노출 시간, gain","Software trigger, hardware trigger, PTP (IEEE 1588)",GigE Vision v2.0,"CE, KC, FCC, RoHS, REACH, WEEE",-30 to 60°C,-10 to 55°C 주변,"동작: 20% ~ 80%, relative, 비 응축","DIN EN 60068-2-27, DIN EN 60068-2-64,",3 year,PHX200S,RJ45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucid Vision,Y,PHX200S-MNL,,"5472 x 3648 px, 20 MP",,Sony IMX183 CMOS (BSI Starvis),15.86 mm (Type 1″),2.4 µm (H) x 2.4 µm (V),Rolling shutter with global reset,렌즈 마운트 없음,Mono,"1000BASE-T RJ45, PoEix Industrial, PoEFFC, PoE",5.6 FPS (6 FPS) @ 20 M,28 x 28 x 28.4 mm,39 g,8 핀 JST 커넥터,"1 input, 1 output",2 bi-directional,"PoE (IEEE 802.3af), or 12-24 VDC ±5% external","PoE를 통한 3.1W, 외부 전원 공급시 2.6W",128 MB,"Gain, gamma, black level, white balance, LUT, CCM, pixel correction, color space conversion","Mono8/10/12/16, Bayer8/10/12/16, RGB8, BGR8, YCbCr8, YCbCr411, YUV422, YUV411, QOI_Mono8, QOI_BayerRG8, QOI_RGB8, QOI_BGR8, QOI_YCbCr8",QOI,"수평 및 수직 비닝, ROI, 수직 뒤집기",12 bit,0 dB ~ 27 dB 아날로그 및 디지털,359 μs ~ 2.5 s,1 default and 2 custom user set,16 MB,"Frame counter, offset X/Y, width/height, 노출 시간, gain, black level, line status, sequencer set","Acquisition start/end, exposure start/end, line rise/fall, error",2 counters and 2 timers,"노출 시간, gain","Software trigger, hardware trigger, PTP (IEEE 1588)",GigE Vision v2.0,"CE, KC, FCC, RoHS, REACH, WEEE",-30 to 60°C,-10 to 55°C 주변,"동작: 20% ~ 80%, relative, 비 응축","DIN EN 60068-2-27, DIN EN 60068-2-64,",3 year,PHX200S,RJ45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucid Vision,Y,PHX200S-CNL-IX,,"5472 x 3648 px, 20 MP",,Sony IMX183 CMOS (BSI Starvis),15.86 mm (Type 1″),2.4 µm (H) x 2.4 µm (V),Rolling shutter with global reset,렌즈 마운트 없음,Color,"1000BASE-T RJ45, PoEix Industrial, PoEFFC, PoE",5.6 FPS (6 FPS) @ 20 M,28 x 28 x 28.4 mm,39 g,8 핀 JST 커넥터,"1 input, 1 output",2 bi-directional,"PoE (IEEE 802.3af), or 12-24 VDC ±5% external","PoE를 통한 3.1W, 외부 전원 공급시 2.6W",128 MB,"Gain, gamma, black level, white balance, LUT, CCM, pixel correction, color space conversion","Mono8/10/12/16, Bayer8/10/12/16, RGB8, BGR8, YCbCr8, YCbCr411, YUV422, YUV411, QOI_Mono8, QOI_BayerRG8, QOI_RGB8, QOI_BGR8, QOI_YCbCr8",QOI,"수평 및 수직 비닝, ROI, 수직 뒤집기",12 bit,0 dB ~ 27 dB 아날로그 및 디지털,359 μs ~ 2.5 s,1 default and 2 custom user set,16 MB,"Frame counter, offset X/Y, width/height, 노출 시간, gain, black level, line status, sequencer set","Acquisition start/end, exposure start/end, line rise/fall, error",2 counters and 2 timers,"노출 시간, gain","Software trigger, hardware trigger, PTP (IEEE 1588)",GigE Vision v2.0,"CE, KC, FCC, RoHS, REACH, WEEE",-30 to 60°C,-10 to 55°C 주변,"동작: 20% ~ 80%, relative, 비 응축","DIN EN 60068-2-27, DIN EN 60068-2-64,",3 year,PHX200S,ix Connector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
