brand,model_name,slug,제조 업체,주문 번호,카메라 카테고리,카메라 시리즈,보증 (Warranty),센서 공급업체,센서,셔터,센서 타입,해상도 (HxV),픽셀 사이즈 HxV,라인 속도,모노크롬/컬러,빛스펙트럼,인터페이스,픽셀 비트 깊이,동기화,카메라 I/O 커넥터,전원 공급,하우징 종류,보호 등급,하우징 ‍사이즈 (L x W x H),무게 (Weight),렌즈 마운트,작동 온도,Basler,Conformity,제품군,제품 라인,센서 포맷,센서 대각선 길이,센서 크기,프레임 속도,카메라 데이터 커넥터,이미지 데이터 인터페이스,노출 제어,디지털 입력,범용 I/O,전원 요구사항 (일반적),측정된,양자 효율 (일반/최소),다크 노이즈 (일반/최대),포화 용량 (일반/최소),"다이나믹 레인지 (Dinamic Range, 일반/최소)",신호 대 노이즈비 (Signal to Noise Ratio)(일반/최소),기준,FOV (Field of View),심도(Depth) 이미지 해상도 및 FPS,측정 방식,"에고 모션(Ego-motion, IMU)",작업 범위,운영 체제,양산,소모 전력 PoE,해상도,디지털 출력,작동 중 주변 온도,Compression Beyond 사용시 프레임 속도,비디오 출력 유형,Camera Link ‍Clock,파장 (Wavelength),스트리밍 형식,정확도( Accuracy),템포럴 노이즈,지연 (Latency),조명 (Illumination),햇빛에서의 내구성,데이터 커넥터,전원 공급 장치,구성 요소,표준,프로그래밍 언어,타사 지원,마운팅 포인트,하우징 대체품,‍이미지 처리,양자 효율 - 녹색 (일반/최소),양자 효율 - 파란색 (일반/최소),양자 효율 - 빨간색 (일반/최소),납품 범위,심도(Depth) 해상도,작업 공간,초점 거리,프로세서 제조업체,수평 해상도(X축),높이 해상도 (Z축),배율,광원,이격 거리 (Clearance Distance),Heliotis,반복정밀도 (Z축),레이저 등급,Z축 선형성(+/- % of MR),스캔 속도,데이터포인트/프로파일,측정 거리,LMI,JAI
Basler,STM-955g,stm-955g,Basler,2200002839,3D 카메라,Basler Stereo Camera,36개월,,,Global Shutter,,1280 px × 800 px,,,,,GigE,,,M12 A-coded 8-pin receptacle (power & I/O),PoE (IEEE 802.3af) / DC 9-24V (≥ 2 A),,IP67,90 mm x 25 mm x 30 mm,520 g,,-10 °C - 50 °C,,"CE (incl. RoHS), FCC Class B, KC, REACH, UKCA, WEEE",Stereo mini,,,,,,M12 X-coded 8-pin receptacle (PoE/GigE),,,,,,,,,,,,95 mm,90° x 65° ± 3° @ 2m,1280 x 800 @ 10 fps / 640 x 480 at 20 fps,Stereo Vision,200 Hz. low latency,0.31 m - 10 m,"ARM Linux (AArch64) / Linux (x86_64) / Windows: 10, 11 (64bit)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basler,STM-951g,stm-951g,Basler,2200002836,3D 카메라,Basler Stereo Camera,36개월,,,Global Shutter,,1280 px × 800 px,,,,,GigE,,,M8 A-coded 8-pin plug (power & I/O),PoE (IEEE 802.3af) / DC 9–24 V (≥ 1 A),,IP67,90 mm x 25 mm x 30 mm,220 g,,-10 °C - 45 °C,,"CE (incl. RoHS), FCC Class B, KC, REACH, UKCA, WEEE",Stereo mini,,,,,,M12 X-coded 8-pin receptacle (GigE),,,,,,,,,,,,95 mm,90° x 65° ± 3° @ 2m,1280 × 800 @ 30 fps / 848 x 480 @ 60 fps,Stereo Vision,200 Hz. low latency,0.25 m - 6 m,"ARM Linux (AArch64) / Linux (x86_64) / Windows: 10, 11 (64bit)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basler,STM-502u,stm-502u,Basler,2200002834,3D 카메라,Basler Stereo Camera,36개월,,,Global Shutter,,1280 px × 800 px,,,,,USB 3.0,,,"8-pin pin header, single-row, 1.00 mm pitch",5 V DC via USB (requires port supporting 1.5 A),,IP5X,90 mm x 25 mm x 30 mm,97 g,,-10 °C - 45 °C,,"CE (incl. RoHS), FCC Class B, KC, REACH, UKCA, WEEE",Stereo mini,,,,,,USB 3.0 Type-C receptacle (lockable),,,,,,,,,,,,50 mm,90° x 65° ± 3° @ 2m,1280 × 800 @ 30 fps / 848 x 480 @ 60 fps,Stereo Vision,200 Hz. low latency,0.26 m - 3 m,"ARM Linux (AArch64) / Linux (x86_64) / Windows: 10, 11 (64bit)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basler,STM-952u,stm-952u,Basler,2200002838,3D 카메라,Basler Stereo Camera,36개월,,,Global Shutter,,1280 px × 800 px,,,,,USB 3.0,,,"8-pin pin header, single-row, 1.00 mm pitch",5 V DC via USB (requires port supporting 1.5 A),,IP65,90 mm x 25 mm x 30 mm,135 g,,-10 °C - 45 °C,,"CE (incl. RoHS), FCC Class B, KC, REACH, UKCA, WEEE",Stereo mini,,,,,,USB 3.0 Type-C receptacle (lockable),,,,,,,,,,,,95 mm,90° x 65° ± 3° @ 2m,1280 × 800 @ 30 fps / 848 x 480 @ 60 fps,Stereo Vision,200 Hz. low latency,0.25 m - 6 m,"ARM Linux (AArch64) / Linux (x86_64) / Windows: 10, 11 (64bit)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basler,STM-951u,stm-951u,Basler,2200002835,3D 카메라,Basler Stereo Camera,36개월,,,Global Shutter,,1280 px × 800 px,,,,,USB 3.0,,,"8-pin pin header, single-row, 1.00 mm pitch",5 V DC via USB (requires port supporting 1.5 A),,IP65,90 mm x 25 mm x 30 mm,135 g,,-10 °C - 45 °C,,"CE (incl. RoHS), FCC Class B, KC, REACH, UKCA, WEEE",Stereo mini,,,,,,USB 3.0 Type-C receptacle (lockable),,,,,,,,,,,,95 mm,90° x 65° ± 3° @ 2m,1280 × 800 @ 30 fps / 848 x 480 @ 60 fps,Stereo Vision,200 Hz. low latency,0.25 m - 6 m,"ARM Linux (AArch64) / Linux (x86_64) / Windows: 10, 11 (64bit)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basler,STM-501u,stm-501u,Basler,2200002833,3D 카메라,Basler Stereo Camera,36개월,,,Global Shutter,,1280 px × 800 px,,,,,USB 3.0,,,"8-pin pin header, single-row, 1.00 mm pitch",5 V DC via USB (requires port supporting 1.5 A),,IP5X,90 mm x 25 mm x 30 mm,97 g,,-10 °C - 45 °C,,"CE (incl. RoHS), FCC Class B, KC, REACH, UKCA, WEEE",Stereo mini,,,,,,USB 3.0 Type-C receptacle (lockable),,,,,,,,,,,,50 mm,90° x 65° ± 3° @ 2m,1280 × 800 @ 30 fps / 848 x 480 @ 60 fps,Stereo Vision,200 Hz. low latency,0.26 m - 3 m,"ARM Linux (AArch64) / Linux (x86_64) / Windows: 10, 11 (64bit)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basler,blaze-112,blaze-112,Basler,109245,3D 카메라,Basler ToF Camera,36개월,Sony,DepthSense™ IMX556,,,640 px × 480 px,,,Mono,,GigE,,free-run / hardware trigger / PTP IEEE1588 / software trigger,,24 VDC ±10%; <11.5 W mean; <38 W peak,Box,IP67,100 mm x 81 mm x 64 mm,680 g,lens integrated,0 °C - 50 °C,,"CE (incl. RoHS), DIN EN 55022, DIN EN 60068-2-27, DIN EN 60068-2-6, DIN EN 60068-2-64, DIN EN 61000-6-4, EAC, Eye safety: IEC 60825-1:2014 Laser Class 1, FCC, GenICam, GigE Vision, IP67, KC, RoHS, UKCA",,,,,,30 fps,,,programmable via the camera API,,,,,,,,,,,108° x 77°,,,,0.3 m - 10 m,ARM Linux (AArch64) / Linux (x86_64) / Windows,,,VGA,,,,,,850 nm,point cloud (XYZ); range map; intensity image; confidence map,±5 mm (0.5 – 3.5 m); typical,< 1.7 mm (up to 3.5 m); typical,< 85 ms,4 x VCSEL laser diodes; 850 nm; class 1,Max. irradiance 6.8 W/m² @ 830–880 nm,IEC 61076-2-109; M12; 8-pin; x-coded; female,IEC 61076-2-101; M12; 8-pin; female,API / Driver / Samples / User Manual / Viewer,GenApi / GenICam / GenTL / GigE Vision,.Net / C/C++ / Python,Halcon / Isaac / MIL / OpenCV / Point Cloud Library (PCL) / ROS,1/4-20 UNC thread (tripod); multiple M4 threads,,,,,,,,,,,,,,,,,,,,,,,,
Basler,blaze-101,blaze-101,Basler,107796,3D 카메라,Basler ToF Camera,36개월,Sony,DepthSense™ IMX556,,,640 px × 480 px,,,Mono,,GigE,,free-run / hardware trigger / PTP IEEE1588 / software trigger,,24 VDC ±10%; <15 W mean; <55 W peak,Box,IP67,100 mm x 81 mm x 64 mm,690 g,lens integrated,0 °C - 50 °C,,"CE (incl. RoHS), DIN EN 55022, DIN EN 60068-2-27, DIN EN 60068-2-6, DIN EN 60068-2-64, DIN EN 61000-6-2, DIN EN 61000-6-4, EAC, Eye safety: IEC 60825-1:2014 Laser Class 1, FCC, GenICam, GigE Vision, IP67, KC, RoHS, UKCA, UL",,,,,,30 fps,,,programmable via the camera API,,,,,,,,,,,67° x 51°,,,,0.3 m - 10 m,ARM Linux (AArch64) / Linux (x86_64) / Windows,,,VGA,,,,,,940 nm,point cloud (XYZ); range map; intensity image; confidence map,±5 mm (0.5 – 5.5 m); typical,< 1 mm (up to 5.5 m); typical,< 85 ms,4 x VCSEL laser diodes; 940 nm; class 1,Max. irradiance 12.8 W/m² @ 920–970 nm,IEC 61076-2-109; M12; 8-pin; x-coded; female,IEC 61076-2-101; M12; 8-pin; female,API / Driver / Samples / User Manual / Viewer,GenApi / GenICam / GenTL / GigE Vision,.Net / C/C++ / Python,Halcon / Isaac / MIL / OpenCV / Point Cloud Library (PCL) / ROS,1/4-20 UNC thread (tripod); multiple M4 threads,,,,,,,,,,,,,,,,,,,,,,,,
Basler,blaze-102,blaze-102,Basler,108711,3D 카메라,Basler ToF Camera,36개월,Sony,DepthSense™ IMX556,,,640 px × 480 px,,,Mono,,GigE,,free-run / hardware trigger / PTP IEEE1588 / software trigger,,24 VDC ±10%; <11.5 W mean; <38 W peak,Box,IP67,100 mm x 81 mm x 64 mm,690 g,lens integrated,0 °C - 50 °C,,"CE (incl. RoHS), DIN EN 55022, DIN EN 60068-2-27, DIN EN 60068-2-6, DIN EN 60068-2-64, DIN EN 61000-6-2, DIN EN 61000-6-4, EAC, Eye safety: IEC 60825-1:2014 Laser Class 1, FCC, GenICam, GigE Vision, IP67, KC, RoHS, UKCA, UL",,,,,,30 fps,,,programmable via the camera API,,,,,,,,,,,67° x 51°,,,,0.3 m - 10 m,ARM Linux (AArch64) / Linux (x86_64) / Windows,,,VGA,,,,,,850 nm,point cloud (XYZ); range map; intensity image; confidence map,±5 mm (0.5 – 5.5 m); typical,< 0.8 mm (up to 5.5 m); typical,< 85 ms,4 x VCSEL laser diodes; 850 nm; class 1,Max. irradiance 6.8 W/m² @ 830–880 nm,IEC 61076-2-109; M12; 8-pin; x-coded; female,IEC 61076-2-101; M12; 8-pin; female,API / Driver / Samples / User Manual / Viewer,GenApi / GenICam / GenTL / GigE Vision,.Net / C/C++ / Python,Halcon / Isaac / MIL / OpenCV / Point Cloud Library (PCL) / ROS,1/4-20 UNC thread (tripod); multiple M4 threads,,,,,,,,,,,,,,,,,,,,,,,,
Basler,STA-200-547M-082616-W,sta-200-547m-082616-w,Basler,109517,3D 카메라,Basler Stereo Camera,36개월,,,Global Shutter,,2472 px × 2064 px,,,Mono,,GigE,,,,24V DC,,IP50,158.5 mm x 245 mm x 70 mm,1700 g,,,,EAC,,,,,,,,,,,,,,,,,,,200 mm,,3 - 10 fps (depends on the configuration of the camera and the hardware of the host system),,,0.71 m - 3 m,ARM Linux (AArch64) / Linux (x86_64) / Windows,,,,,,,,,,,,,,,,2 x RJ45,"M12, 8-pin, female, Type A",,,,,,,,,,,"1 x Camera, Stereo ace2 x Trigger Cable, M8 8-pin to M8 8-pin1 x Mounting Bracket Stereo ace (incl. 3x socket screws M5 x 12)",0.06 mm at 0.75 m / 0.11 mm at 1.0 m / 0.25 mm at 1.5 m / 0.43 mm at 2.0 m / 0.98 mm at 3.0 m,430 x 530 mm at 0.75 m / 630 x 710 mm at 1.0 m / 2305 x 2125 mm at 3.0 m / 1060 x 1060 mm at 1.5 m / 1500 x 1415 mm at 2.0 m,,,,,,,,,,,,,,,,
