brand,product_id,model_name,camera_type,product_model,camera_series,Sensor,Image Sensor,Shutter,Resolution,Frame Rate,Bit Depth,Mono/Color,Pixel Size,Pixel,S/N Ratio,Dynamic Range,Image Format,Decimation,ROI,X Flip,Y Flip,Gain,White Balance,Gamma,Exposure Time,Trigger Mode,SPC,FPN,User Setting,Image Buffer,Port,GPIO Interface,Lens Mount,Power Supply,Power Consumption,Product Dimensions,Net Weight,Storage Temperature,Operating Temperature,Binning,Pixel Clock,Line Rate,TDI Stages,Sensitivity,Max. Frame rate,Shutter Mode,Software,Certifications,Function,Focal Length,Light Source Type,Focus Control,Working Distance,Field of View (FOV),Connector,Network Port,Communication Mode,Communication protocol,LED Indicator,Protection,Casing Material,Operating Humidity,Sight,Ingress Protection,Series,Model,Sensor Type,Packaging Dimensions,Gross Weight,Near FoV,Far FoV,Clearance Distance,Measuring Range (MR),Measuring Accuracy,Max. Operating Speed,Data Type,Laser Grade,Wavelength,Measuring Range,Z-axis Accuracy
Huaray,4758,SS4013MG-12M-RGG01E,AI Smart Camera,SS4013MG-12M-RGG01E,SS4000 Series,,,,1280 × 1024,,,Mono,,,,,,,,,,,,,,Internal Trigger/External Trigger/Ethernet/Serial/Industrial Ethernet.,,,,,,"RS232, 2 Opto-isolated inputs, 3 Opto-isolated outputs","M12, auto focus","Support 9~26VDC, 1.5A input",<14W,47mm×58mm×38mm (excluding connectors),<180 g,-30℃～+70℃,-20℃～+50℃,,,,,,60 fps,Global,"EasyVS, Web",CE、KC,"Location Tools: PatternMatch
AI Tools: AI classification
Exist Tools: FindLine;  FindCircle;  BlobExist
Count Tools: BlobCount
Measure Tools: Grayscale area; Contrast; Brightness; EdgeWidthTool
Detection Tools: ContourCompare
Recognition Tools: DataCode; BarCode; OCR
Logic Tools: LogicCheck; ConditionCheck; Mathematical; StringComparison",12 mm,"Red (White & Blue options) , 1-channel diffused and 1-channel polarized  and 1-channel transparent light",Auto focus,50-500mm,64×51 mm @150mm,"2 industrial M12 connectors, Ethernet and GPIO",100M Ethernet,"RS232, Ethernet","Location Tools: PatternMatch
AI Tools: AI classification
Exist Tools: FindLine;  FindCircle;  BlobExist
Count Tools: BlobCount
Measure Tools: Grayscale area; Contrast; Brightness; EdgeWidthTool
Detection Tools: ContourCompare
Recognition Tools: DataCode; BarCode; OCR
Logic Tools: LogicCheck; ConditionCheck; Mathematical; StringComparison","Power, Ethernet, Result",IP65,Aluminum alloy (excluding front cover),"20%～95%, non-condensing",,,,,,,,,,,,,,,,,,
Huaray,4759,SS4013MG-07M-RGG01E,AI Smart Camera,SS4013MG-07M-RGG01E,SS4000 Series,,,,1280 × 1024,,,Mono,,,,,,,,,,,,,,Internal Trigger/External Trigger/Ethernet/Serial/Industrial Ethernet.,,,,,,"RS232, 2 Opto-isolated inputs, 3 Opto-isolated outputs","M12, auto focus","Support 9~26VDC, 1.5A input",<14W,47mm×58mm×38mm (excluding connectors),<180 g,-30℃～+70℃,-20℃～+50℃,,,,,,60 fps,Global,"EasyVS, Web",CE、KC,"Location Tools: PatternMatch
AI Tools: AI classification
Exist Tools: FindLine;  FindCircle;  BlobExist
Count Tools: BlobCount
Measure Tools: Grayscale area; Contrast; Brightness; EdgeWidthTool
Detection Tools: ContourCompare
Recognition Tools: DataCode; BarCode; OCR
Logic Tools: LogicCheck; ConditionCheck; Mathematical; StringComparison",7 mm,"Red (White & Blue options) , 1-channel diffused and 1-channel polarized  and 1-channel transparent light",Auto focus,50-500mm,116×92  mm @150mm,"2 industrial M12 connectors, Ethernet and GPIO",100M Ethernet,"RS232, Ethernet","Location Tools: PatternMatch
AI Tools: AI classification
Exist Tools: FindLine;  FindCircle;  BlobExist
Count Tools: BlobCount
Measure Tools: Grayscale area; Contrast; Brightness; EdgeWidthTool
Detection Tools: ContourCompare
Recognition Tools: DataCode; BarCode; OCR
Logic Tools: LogicCheck; ConditionCheck; Mathematical; StringComparison","Power, Ethernet, Result",IP65,Aluminum alloy (excluding front cover),"20%～95%, non-condensing",,,,,,,,,,,,,,,,,,
Huaray,5621,SS4013MG-12M-RGG01,AI Smart Camera,SS4013MG-12M-RGG01,SS4000 Series,,,,1280 × 1024,,,Mono,,,,,,,,,,,,,,Internal Trigger/External Trigger/Ethernet/Serial/Industrial Ethernet.,,,,,,"RS232, 2 Opto-isolated inputs, 3 Opto-isolated outputs","M12, auto focus","Support 9~26VDC, 1.5A input",<14W,47mm×58mm×38mm (excluding connectors),<180 g,-30℃～+70℃,-20℃～+50℃,,,,,,60 fps,Global,"EasyVS, Web",CE、KC,"Location Tools: PatternMatch
AI Tools: AI classification
Exist Tools: FindLine;  FindCircle;  BlobExist
Count Tools: BlobCount
Measure Tools: Grayscale area; Contrast; Brightness; EdgeWidthTool
Detection Tools: ContourCompare
Recognition Tools: DataCode; BarCode; OCR
Logic Tools: LogicCheck; ConditionCheck; Mathematical; StringComparison",12 mm,"Red (White & Blue options) , 1-channel diffused and 1-channel polarized  and 1-channel transparent light",Auto focus,50-500mm,64×51 mm @150mm,"2 industrial M12 connectors, Ethernet and GPIO",100M Ethernet,"RS232, Ethernet","Location Tools: PatternMatch
AI Tools: AI classification
Exist Tools: FindLine;  FindCircle;  BlobExist
Count Tools: BlobCount
Measure Tools: Grayscale area; Contrast; Brightness; EdgeWidthTool
Detection Tools: ContourCompare
Recognition Tools: DataCode; BarCode; OCR
Logic Tools: LogicCheck; ConditionCheck; Mathematical; StringComparison","Power, Ethernet, Result",IP65,Aluminum alloy (excluding front cover),"20%～95%, non-condensing",,,,,,,,,,,,,,,,,,
Huaray,4760,SS4013MG-12M-WGG01E,AI Smart Camera,SS4013MG-12M-WGG01E,SS4000 Series,,,,1280 × 1024,,,Mono,,,,,,,,,,,,,,Internal Trigger/External Trigger/Ethernet/Serial/Industrial Ethernet.,,,,,,"RS232, 2 Opto-isolated inputs，3 Opto-isolated outputs","M12, auto focus","Support 9~26VDC, 1.5A input",<14W,47mm×58mm×38mm (excluding connectors),<180 g,-30℃～+70℃,-20℃～+50℃,,,,,,60 fps,Global,"EasyVS, Web",CE、KC,"Location Tools: PatternMatch
AI Tools: AI classification
Exist Tools: FindLine; FindCircle; BlobExist
Count Tools: BlobCount
Measure Tools: Grayscale area; Contrast; Brightness; EdgeWidthTool
Detection Tools: ContourCompare
Recognition Tools: DataCode; BarCode; OCR
Logic Tools: LogicCheck; ConditionCheck; Mathematical; StringComparison",12 mm,"White (Red & Blue options) , 1-channel diffused and 1-channel polarized and 1-channel transparent light",Auto focus,50-500mm,64×51 mm @150mm,"2 industrial M12 connectors, Ethernet and GPIO",100M Ethernet,"RS232, Ethernet","TCP Client, TCP Server, UDP, FTP, RS232, Profinet; Modbus TCP; EtherNet/IP","Power, Ethernet, Result",IP65,Aluminum alloy (excluding front cover),"20%～95%, non-condensing",,,,,,,,,,,,,,,,,,
Huaray,4761,SS4013MG-07M-WGG01E,AI Smart Camera,SS4013MG-07M-WGG01E,SS4000 Series,,,,1280 × 1024,,,Mono,,,,,,,,,,,,,,Internal Trigger/External Trigger/Ethernet/Serial/Industrial Ethernet.,,,,,,"RS232, 2 Opto-isolated inputs，3 Opto-isolated outputs","M12, auto focus","Support 9~26VDC, 1.5A input",<14W,47mm×58mm×38mm (excluding connectors),<180 g,-30℃～+70℃,-20℃～+50℃,,,,,,60 fps,Global,"EasyVS, Web",CE、KC,"Location Tools: PatternMatch
AI Tools: AI classification
Exist Tools: FindLine; FindCircle; BlobExist
Count Tools: BlobCount
Measure Tools: Grayscale area; Contrast; Brightness; EdgeWidthTool
Detection Tools: ContourCompare
Recognition Tools: DataCode; BarCode; OCR
Logic Tools: LogicCheck; ConditionCheck; Mathematical; StringComparison",7 mm,"White (Red & Blue options) , 1-channel diffused and 1-channel polarized and 1-channel transparent light",Auto focus,50-500mm,116×92 mm @150mm,"2 industrial M12 connectors, Ethernet and GPIO",100M Ethernet,"RS232, Ethernet","TCP Client, TCP Server, UDP, FTP, RS232, Profinet; Modbus TCP; EtherNet/IP","Power, Ethernet, Result",IP65,Aluminum alloy (excluding front cover),"20%～95%, non-condensing",,,,,,,,,,,,,,,,,,
Huaray,5623,SS4013MG-07M-RGG01,AI Smart Camera,SS4013MG-07M-RGG01,SS4000 Series,,,,1280 × 1024,,,Mono,,,,,,,,,,,,,,Internal Trigger/External Trigger/Ethernet/Serial/Industrial Ethernet.,,,,,,"RS232, 2 Opto-isolated inputs, 3 Opto-isolated outputs","M12, auto focus","Support 9~26VDC, 1.5A input",<14W,47mm×58mm×38mm (excluding connectors),<180 g,-30℃～+70℃,-20℃～+50℃,,,,,,60 fps,Global,"EasyVS, Web",CE、KC,"Location Tools: PatternMatch
AI Tools: AI classification
Exist Tools: FindLine;  FindCircle;  BlobExist
Count Tools: BlobCount
Measure Tools: Grayscale area; Contrast; Brightness; EdgeWidthTool
Detection Tools: ContourCompare
Recognition Tools: DataCode; BarCode; OCR
Logic Tools: LogicCheck; ConditionCheck; Mathematical; StringComparison",7 mm,"Red (White & Blue options) , 1-channel diffused and 1-channel polarized  and 1-channel transparent light",Auto focus,50-500mm,116×92  mm @150mm,"2 industrial M12 connectors, Ethernet and GPIO",100M Ethernet,"RS232, Ethernet","Location Tools: PatternMatch
AI Tools: AI classification
Exist Tools: FindLine;  FindCircle;  BlobExist
Count Tools: BlobCount
Measure Tools: Grayscale area; Contrast; Brightness; EdgeWidthTool
Detection Tools: ContourCompare
Recognition Tools: DataCode; BarCode; OCR
Logic Tools: LogicCheck; ConditionCheck; Mathematical; StringComparison","Power, Ethernet, Result",IP65,Aluminum alloy (excluding front cover),"20%～95%, non-condensing",,,,,,,,,,,,,,,,,,
Huaray,5442,SS4013CG-12M-WGG01E,AI Smart Camera,SS4013CG-12M-WGG01E,SS4000 Series,,,,1280 × 1024,,,Color,,,,,,,,,,,,,,Software/external/free run etc.,,,,,,"RS232, 2 Opto-isolated inputs, 3 Opto-isolated outputs","M12, auto focus","Support 9~26VDC, 1.5A input",<14W,47mm×58mm×38mm (excluding connectors),<180 g,-30℃～+70℃,-20℃～+50℃,,,,,,60fps,Global,"EasyVS, Web","CE, UKCA, KC","Location Tools: PatternMatch
AI Tools: AI classification
Exist Tools: FindLine; FindCircle; BlobExist
Count Tools: BlobCount
Measure Tools: Grayscale area; Contrast; Brightness; EdgeWidthTool
Detection Tools: ContourCompare
Recognition Tools: DataCode; BarCode; OCR; ColorRecog
Logic Tools: LogicCheck; ConditionCheck; Mathematical; StringComparison",12 mm,"White, 1-channel diffused and 1-channel polarized and 1-channel transparent light",Auto focus,50-500mm,64×51 mm @150mm,"2 industrial M12 connectors, Ethernet and GPIO",100M Ethernet,"RS232, Ethernet","TCP Client, TCP Server, UDP, FTP, RS232, Profinet; Modbus TCP; EtherNet/IP","Power, Ethernet, Result",IP65,Aluminum alloy (excluding front cover),"20%～95%, non-condensing",,,,,,,,,,,,,,,,,,
Huaray,5443,SS4013CG-07M-WGG01E,AI Smart Camera,SS4013CG-07M-WGG01E,SS4000 Series,,,,1280 × 1024,,,Color,,,,,,,,,,,,,,Software/external/free run etc.,,,,,,"RS232, 2 Opto-isolated inputs, 3 Opto-isolated outputs","M12, auto focus","Support 9~26VDC, 1.5A input",<14W,47mm×58mm×38mm (excluding connectors),<180 g,-30℃～+70℃,-20℃～+50℃,,,,,,60fps,Global,"EasyVS, Web","CE, UKCA, KC","Location Tools: PatternMatch
AI Tools: AI classification
Exist Tools: FindLine; FindCircle; BlobExist
Count Tools: BlobCount
Measure Tools: Grayscale area; Contrast; Brightness; EdgeWidthTool
Detection Tools: ContourCompare
Recognition Tools: DataCode; BarCode; OCR; ColorRecog
Logic Tools: LogicCheck; ConditionCheck; Mathematical; StringComparison",7 mm,"White, 1-channel diffused and 1-channel polarized and 1-channel transparent light",Auto focus,50-500mm,116×92 mm @150mm,"2 industrial M12 connectors, Ethernet and GPIO",100M Ethernet,"RS232, Ethernet","TCP Client, TCP Server, UDP, FTP, RS232, Profinet; Modbus TCP; EtherNet/IP","Power, Ethernet, Result",IP65,Aluminum alloy (excluding front cover),"20%～95%, non-condensing",,,,,,,,,,,,,,,,,,
Huaray,5480,SS3016PMG-07H-RGF01E,AI Smart Camera,SS3016PMG-07H-RGF01E,SS3000 Series,,,,1440×1080,,,Mono,,,,,,,,,,,,,,Internal Trigger/External Trigger/Ethernet/Serial/Industrial Ethernet.,,,,,,"1x RS232 interface,  1x Opto-isolated input,  1x Opto-isolated output,  1 configurable input and output",,"Support 9~26VDC,  1A input,  suitable for industrial environment",<8.8W,45.0mm × 35.0mm × 25.5mm(Without cable),＜110 g,-30℃～+70℃,-20℃～+50℃,,,,,,60fps,Global,"EasyVS, Web","CE, KC, UKCA, UL","Location Tools: PatternMatch
AI Tools: AI classification
Exist Tools: FindLine、 FindCircle、 BlobExist
Count Tools: BlobCount
Measure Tools: Grayscale area 、Contrast、Brightness、EdgeWidthTool
Detection Tools: ContourCompare
Recognition Tools: DataCode、BarCode、OCR
Logic Tools: LogicCheck、ConditionCheck、Mathematical、StringComparison",7 mm,Red polarization,Manual control,40 mm - 150 mm,30 mm × 22 mm - 111 mm × 83 mm,Industrial-grade M12 connectors are Ethernet and GPIO interfaces,100M Ethernet,"RS232,  Ethernet","TCP Client, TCP Server, UDP, FTP, RS232, Profinet、Modbus TCP、EtherNet/IP","Power indicator,  Network indicator,  Result indicator",IP65,Aluminum alloy + Front cover,"20%～95%,  Non condensing",,,,,,,,,,,,,,,,,,
Huaray,5482,SS3016PMG-16H-RGF01E,AI Smart Camera,SS3016PMG-16H-RGF01E,SS3000 Series,,,,1440×1080,,,Mono,,,,,,,,,,,,,,Internal Trigger/External Trigger/Ethernet/Serial/Industrial Ethernet.,,,,,,"1x RS232 interface,  1x Opto-isolated input,  1x Opto-isolated output,  1 configurable input and output",,"Support 9~26VDC,  1A input,  suitable for industrial environment",<8.8W,45.0mm × 52.0mm × 25.5mm(Without cable),＜140 g,-30℃～+70℃,-20℃～+50℃,,,,,,60fps,Global,"EasyVS, Web","CE, KC, UKCA, UL","Location Tools: PatternMatch
AI Tools: AI classification
Exist Tools: FindLine、 FindCircle、 BlobExist
Count Tools: BlobCount
Measure Tools: Grayscale area 、Contrast、Brightness、EdgeWidthTool
Detection Tools: ContourCompare
Recognition Tools: DataCode、BarCode、OCR
Logic Tools: LogicCheck、ConditionCheck、Mathematical、StringComparison",16 mm,Red polarization,Manual control,80 - 200 mm,21 × 16 mm - 58 × 44 mm,Industrial-grade M12 connectors are Ethernet and GPIO interfaces,100M Ethernet,"RS232,  Ethernet","TCP Client, TCP Server, UDP, FTP, RS232, Profinet、Modbus TCP、EtherNet/IP","Power indicator,  Network indicator,  Result indicator",IP65,Aluminum alloy + Front cover,"20%～95%,  Non condensing",,,,,,,,,,,,,,,,,,
