brand,model_name,subcategory,Product Model,Camera Type,Resolutions,Color / Monochrome,Effective Pixels,Frame Rate,Interface,Protocol,Power Supply,Power Consumptions,Operational Temperature,Storage Temperature,Image Sensor,Shutter Type,Optical Size,Cell Size,Dimensions,Weight,Lens Mount,Optical Filter,Interface Connector,Power / Signal Connector,Scanning Mode,Operational Mode,Image Pixel Format,Exposure Time,Analog Gain,Digital Gain,Gamma,Binning,Decimation,Image Flip,Defective Pixel Correction,Save User Settings,White Balance,FFC (Flat Filed Correction) Function,Auto Control Function,Chunk Function,Event Function,PTP Function (IEEE1588),Line Rate
Sentech,stc-sbs322cxp121-swir,SWIR Cameras,STC-SBS322CXP121-SWIR,Area Camera,3.2MP,SWIR,"2,048 (H) x 1,536 (V)",173.4 fps,"CoaXPress (CXP-12, 1 lane)",CoaXPress Standard Version 2.0,PoCXP External power (+10.8 to +26 Vdc),Less than 7.5 W,Lower limit: 0 deg. C (Environmental temperature) Upper limit: +35 deg. C (Environmental temperature),Lower limit: -20 deg. C (Environmental temperature) Upper limit: +70 deg. C (Environmental temperature),SONY IMX993 (TEC),Global Shutter,"1/1.8""",3.45 (H) x 3.45 (V) µm,42 (W) x 42 (H) x 69 (D) mm,Approximately 210 g,C Mount,No optical filter,Micro BNC (75 ohm) x 1,HR10A-7R-6PB (Hirose) or equivalent x 1,Full scanning / ROI,Edge preset trigger / Pulse width trigger / CXP_Packet trigger / Burst trigger / Free-run,Mono8 / Mono10 / Mono12,"30.0 µseconds to 16,7 seconds",0 to 18 dB,x1 to x7,0.10 to 4.00,x2 horizontal and vertical simultaneously / Off,x2 horizontal and vertical simultaneously / Off,Vertical flip / Horizontal flip / Vertical and horizontal flip/ Off,"Dynami defective pixel correction Static defective pixel correction (Up to 8,192 pixels)",Support (Eight settings),,,,,,,
Sentech,stc-sbs532cxp121-swir,SWIR Cameras,STC-SBS532CXP121-SWIR,Area Camera,5.3MP,SWIR,"2,560 (H) x 2,048 (V)",131.9 fps,"CoaXPress (CXP-12, 1 lane)",CoaXPress Standard Version 2.0,PoCXP External power (+18.5 to +26 Vdc),Less than 7.6 W,Lower limit: 0 deg. C (Environmental temperature) Upper limit: +35 deg. C (Environmental temperature),Lower limit: -20 deg. C (Environmental temperature) Upper limit: +70 deg. C (Environmental temperature),SONY IMX992 (TEC),Global Shutter,"1/1.4""",3.45 (H) x 3.45 (V) µm,42 (W) x 42 (H) x 69 (D) mm,Approximately 210 g,C Mount,No optical filter,Micro BNC (75 ohm) x 1,HR10A-7R-6PB (Hirose) or equivalent x 1,Full scanning / ROI,Edge preset trigger / Pulse width trigger / CXP trigger packet / Burst trigger / Free-run,Mono8 / Mono10 / Mono12,30.0 µseconds to 16.77 seconds,0 to 18 dB,x1 to x7,0.10 to 4.00,x2 horizontal and vertical simultaneously / Off,x2 horizontal and vertical simultaneously / Off,Vertical flip / Horizontal flip / Vertical and horizontal flip/ Off,"Dynami defective pixel correction Static defective pixel correction (Up to 8,192 pixels)",Support (Eight settings),,,Auto exposure / Auto gain,Support,Support,,
Sentech,stc-sbs34cxp121-swiru,SWIR Cameras,STC-SBS34CXP121-SWIRU,Area Camera,0.3MP,SWIR,640 (H) x 512 (V),258.8 fps,"CoaXPress (CXP-12, 1 lane)",CoaXPress Standard Version 2.0,PoCXP External power (+18.5 to +26 Vdc),Less than 2.2 W,Lower limit: 0 deg. C (Environmental temperature) Upper limit: +56 deg. C (Environmental temperature),Lower limit: -20 deg. C (Environmental temperature) Upper limit: +75 deg. C (Environmental temperature),SONY IMX991,Global Shutter,"1/4""",5.0 (H) x 5.0 (V) µm,35 (W) x 35 (H) x 40 (D) mm,Approximately 77 g,C Mount,No optical filter,Micro BNC (75 ohm) x 1,HR10A-7R-6PB (Hirose) or equivalent x 1,Full scanning / ROI,Edge preset trigger / Pulse width trigger / CXP Packet trigger / Burst trigger / Free-run,Mono8 / Mono10 / Mono12,8 µseconds to 50 mseconds,0 to 18 dB,x1 to x7,,,,Vertical flip / Horizontal flip / Vertical and horizontal flip/ Off,"Up to 8,192 pixels",Support (Eight settings),,,,,,,
Sentech,stc-sbs132cxp121-swiru,SWIR Cameras,STC-SBS132CXP121-SWIRU,Area Camera,1.3MP,SWIR,"1,280 (H) x 1,024 (V)",134.7 fps,"CoaXPress (CXP-12, 1 lane)",CoaXPress Standard Version 2.0,PoCXP External power (+18.5 to +26 Vdc),Less than 2.2 W,Lower limit: 0 deg. C (Environmental temperature) Upper limit: +56 deg. C (Environmental temperature),Lower limit: -20 deg. C (Environmental temperature) Upper limit: +75 deg. C (Environmental temperature),SONY IMX990,Global Shutter,"1/2""",5.0 (H) x 5.0 (V) µm,35 (W) x 35 (H) x 40 (D) mm,Approximately 77 g,C Mount,No optical filter,Micro BNC (75 ohm) x 1,HR10A-7R-6PB (Hirose) or equivalent x 1,Full scanning / ROI,Edge preset trigger / Pulse width trigger / CXP Packet trigger / Burst trigger / Free-run,Mono8 / Mono10 / Mono12,8 µseconds to 50 mseconds,0 to 18 dB,x1 to x7,,,,Vertical flip / Horizontal flip / Vertical and horizontal flip/ Off,"Up to 8,192 pixels",Support (Eight settings),,,,,,,
Sentech,stc-sbs322cxp121-swiru,SWIR Cameras,STC-SBS322CXP121-SWIRU,Area Camera,3.2MP,SWIR,"2,048 (H) x 1,536 (V)",173.4 fps,"CoaXPress (CXP-12, 1 lane)",CoaXPress Standard Version 2.0,PoCXP External power (+18.5 to +26 Vdc),Less than 3.8 W,Lower limit: 0 deg. C (Environmental temperature) Upper limit: +51 deg. C (Environmental temperature),Lower limit: -25 deg. C (Environmental temperature) Upper limit: +75 deg. C (Environmental temperature),SONY IMX993,Global Shutter,"1/1.8""",3.45 (H) x 3.45 (V) µm,35 (W) x 35 (H) x 40 (D) mm,Approximately 76 g,C Mount,No optical filter,Micro BNC (75 ohm) x 1,HR10A-7R-6PB (Hirose) or equivalent x 1,Full scanning / ROI,Edge preset trigger / Pulse width trigger / CXP_Packet trigger / Burst trigger / Free-run,Mono8 / Mono10 / Mono12,30.0 µseconds to 50 mseconds,0 to 18 dB,x1 to x7,,x2 horizontal and vertical simultaneously / Off,x2 horizontal and vertical simultaneously / Off,Vertical flip / Horizontal flip / Vertical and horizontal flip/ Off,"Dynami defective pixel correction Static defective pixel correction (Up to 8,192 pixels)",Support (Eight settings),,,,,,,
Sentech,stc-sbs532cxp121-swiru,SWIR Cameras,STC-SBS532CXP121-SWIRU,Area Camera,5.3MP,SWIR,"2,560 (H) x 2,048 (V)",131.9 fps,"CoaXPress (CXP-12, 1 lane)",CoaXPress Standard Version 2.0,PoCXP External power (+18.5 to +26 Vdc),Less than 3.8 W,Lower limit: 0 deg. C (Environmental temperature) Upper limit: +51 deg. C (Environmental temperature),Lower limit: -25 deg. C (Environmental temperature) Upper limit: +75 deg. C (Environmental temperature),SONY IMX992,Global Shutter,"1/1.4""",3.45 (H) x 3.45 (V) µm,35 (W) x 35 (H) x 40 (D) mm,Approximately 76 g,C Mount,No optical filter,Micro BNC (75 ohm) x 1,HR10A-7R-6PB (Hirose) or equivalent x 1,Full scanning / ROI,Edge preset trigger / Pulse width trigger / CXP Packet trigger / Burst trigger / Free-run,Mono8 / Mono10 / Mono12,30.0 µseconds to 50 mseconds,0 to 18 dB,x1 to x7,,x2 horizontal and vertical simultaneously / Off,x2 horizontal and vertical simultaneously / Off,Vertical flip / Horizontal flip / Vertical and horizontal flip/ Off,"Dynami defective pixel correction Static defective pixel correction (Up to 8,192 pixels)",Support (Eight settings),,,,,,,
Sentech,stc-sbs132poe-swiru,SWIR Cameras,STC-SBS132POE-SWIRU,Area Camera,1.3MP,SWIR,"1,280 (H) x 1,024 (V)",83.9 fps,PoE: IEEE802.3af CLASS3 (1000BASE-T),GigE Vision 2.1,Power Over Ethernet (PoE) (IEEE802.3af) External power (+10.8 to +26.4Vdc),PoE: Less than 4.1 W External power: Less than 3.2 W,Lower limit: 0 deg. C (Environmental temperature) Upper limit: +46 deg. C (Environmental temperature),Lower limit: -25 deg. C (Environmental temperature) Upper limit: +75 deg. C (Environmental temperature),SONY IMX990,Global Shutter,"1/2""",5.0 (H) x 5.0 (V) µm,35 (W) x 35 (H) x 53 (D) mm,Approximately 98 g,C Mount,No optical filter,RJ45 connector x 1,HR10A-7R-6PB (Hirose) or equivalent x 1,Full scanning / ROI,Edge preset trigger / Pulse width trigger / Free-run,Mono8 / Mono10 / Mono12 / Mono10Packed / Mono12Packed,8 µseconds to 50 mseconds,0 to 14.8 dB,x1 to x3,0.1 to 4.0,x2 horizontal and vertical simultaneously / Off,x2 horizontal and vertical simultaneously / Off,Vertical flip / Horizontal flip / Vertical and horizontal flip/ Off,"Up to 8,192 pixels",Support (Eight settings),,,Auto exposure / Auto gain,Support,Support,Support,
Sentech,stc-sbs34poe-swiru,SWIR Cameras,STC-SBS34POE-SWIRU,Area Camera,0.3MP,SWIR,656 (H) x 520 (V),258.8 fps,PoE: IEEE802.3af CLASS3 (1000BASE-T),GigE Vision 2.1,Power Over Ethernet (PoE) (IEEE802.3af) External power (+10.8 to +26.4Vdc),PoE: Less than 4.1 W External power: Less than 3.2 W,Lower limit: 0 deg. C (Environmental temperature) Upper limit: +46 deg. C (Environmental temperature),Lower limit: -25 deg. C (Environmental temperature) Upper limit: +75 deg. C (Environmental temperature),SONY IMX991,Global Shutter,"1/4""",5.0 (H) x 5.0 (V) µm,35 (W) x 35 (H) x 53 (D) mm,Approximately 98 g,C Mount,No optical filter,RJ45 connector x 1,HR10A-7R-6PB (Hirose) or equivalent x 1,Full scanning / ROI,Edge preset trigger / Pulse width trigger / Free-run,Mono8 / Mono10 / Mono12 / Mono10Packed / Mono12Packed,8 µseconds to 50 mseconds,0 to 14.8 dB,x1 to x3,0.1 to 4.0,x2 horizontal and vertical simultaneously / Off,x2 horizontal and vertical simultaneously / Off,Vertical flip / Horizontal flip / Vertical and horizontal flip/ Off,"Up to 8,192 pixels",Support (Eight settings),,,Auto exposure / Auto gain,Support,Support,Support,
Sentech,stc-lbs132poe-swir,SWIR Cameras,STC-LBS132POE-SWIR,Area Camera,1.3MP,SWIR,"1,280 (H) x 1,024 (V)",84.0 fps,PoE: IEEE802.3af CLASS3 (1000BASE-T),GigE Vision 2.1,Power Over Ethernet (PoE) (IEEE802.3af) External power (+10.8 to +26.4Vdc),PoE: Less than 10.2 W External power: Less than 10.1 W,Lower limit: 0 deg. C (Environmental temperature) Upper limit: +56 deg. C (Environmental temperature),Lower limit: -20 deg. C (Environmental temperature) Upper limit: +75 deg. C (Environmental temperature),SONY IMX990 (TEC),Global Shutter,"1/2""",5.0 (H) x 5.0 (V) µm,58 (W) x 58 (H) x 85 (D) mm,Approximately 465 g,C Mount,No optical filter,RJ45 connector x 1,HR10A-7R-6PB (Hirose) or equivalent x 1,Full scanning / ROI,Edge preset trigger / Pulse width trigger / Free-run,Mono8 / Mono10 / Mono12 / Mono10Packed / Mono12Packed,8 µseconds to 16.777 seconds,0 to 14.8 dB,x1 to x3,0.1 to 4.0,x2 horizontal and vertical simultaneously / Off,x2 horizontal and vertical simultaneously / Off,Vertical flip / Horizontal flip / Vertical and horizontal flip/ Off,"Up to 8,192 pixels",Support (Eight settings),,Support,Auto exposure / Auto gain,Support,Support,Support,
Sentech,stc-lbs34poe-swir,SWIR Cameras,STC-LBS34POE-SWIR,Area Camera,0.3MP,SWIR,640 (H) x 512 (V),242.2 fps,PoE: IEEE802.3af CLASS3 (1000BASE-T),GigE Vision 2.1,Power Over Ethernet (PoE) (IEEE802.3af) External power (+10.8 to +26.4Vdc),PoE: Less than 10 W External power: Less than 10 W,Lower limit: 0 deg. C (Environmental temperature) Upper limit: +56 deg. C (Environmental temperature),Lower limit: -20 deg. C (Environmental temperature) Upper limit: +75 deg. C (Environmental temperature),SONY IMX991 (TEC),Global Shutter,"1/4""",5.0 (H) x 5.0 (V) µm,58 (W) x 58 (H) x 85 (D) mm,Approximately 465 g,C Mount,No optical filter,RJ45 connector x 1,HR10A-7R-6PB (Hirose) or equivalent x 1,Full scanning / ROI,Edge preset trigger / Pulse width trigger / Free-run,Mono8 / Mono10 / Mono12 / Mono10Packed / Mono12Packed,8 µseconds to 16.777 seconds,0 to 14.8 dB,x1 to x3,0.1 to 4.0,x2 horizontal and vertical simultaneously / Off,x2 horizontal and vertical simultaneously / Off,Vertical flip / Horizontal flip / Vertical and horizontal flip/ Off,"Up to 8,192 pixels",Support (Eight settings),,Support,Auto exposure / Auto gain,Support,Support,Support,
