brand,model_name,camera_type,family_name,부품 번호,해상도,메가픽셀,최대 라인 속도,센서 모델,화소 크기,센서 유형,스펙트럼,렌즈 마운트,동기화,데이터 인터페이스,보호,부분 이미지 모드,사용자 세트,이미지 처리,플래시 메모리,획득 모드,단파장,동적 범위 dB,일시적 다크 노이즈(리드 노이즈),장파장,최대 파장 값,포화 능력 (e-),디지털화 비트 깊이(ADC),보관 온도,소요 전력,작동 습도,작동 온도,저장소 습도,전력 소비량 [최대],질량,커넥터,크기 [W x H x D],전력원 설비,포트,필수 액세서리,규정 준수,머신 비전(Machine Vision) 기준,Camera Type,Sensor Technology,Supported Interfaces,Spectrum Capability,Features,Part Number,Resolution,Max Line Rate,Sensor Model,Pixel Size,Sensor Type,Shutter type,Spectrum,Optical Filter,Lens Mount,Synchronization,Data Interface,Protection,Acquisition Modes,Exposure Control,Exposure Range,Flash Memory,Gain Control,Image Buffer,Image Processing,Partial Image Modes,User Sets,Dynamic Range dB,Gain Range,Peak Wavelength,QE Blue,QE Green,QE Red,Responsivity,Saturation Capacity (e-),Connector,Digitization Bit Depth (ADC),Dimensions [W x H x L],Mass,Non-Isolated I/O Ports,Operating Humidity,Operating Temperature,Power Consumption [Maximum],Power Requirements,Storage Humidity,Storage Temperature,Port,Power Sourcing Equipment,Required Accessories,Compliance,Machine Vision Standard,Warranty,QE (Mono),Temporal Dark Noise (Read Noise),Power Supply,Opto-isolated I/O Ports,Spectral rate,Typical spectrometric well capacity,Digitization,Minimum exposure,Sensor type,Max Frame Rate Standard,Conversion Gain,Dark Current,Full Well Capacity (Qsat),Read Noise,Sensor Material,Cooling,Mounting,Accessories (Included),OS,셔터 유형,광학 필터,게인 (Gain) 제어,노출 범위,노출 제어,이미지 버퍼,게인 (Gain) 범위,응답성,QE 그린,QE 레드,QE 블루,비절연 I/O 포트,보증,QE(모노),최대 프레임 속도 표준,센서 형식,화이트 밸런스,양자 효율,절대 예민도 역치 (y),광아이솔레이터_격리 IO 포트,보조 출력,센서 셔터 유형,Quantum Efficiency,Spectrum Capabilities,Read Noise (median),Megapixels,Sensor Diagonal,Color/Mono,Triggering Modes,Dynamic Range,Field of View,CPU,Hard Drive,RAM,Certification,최대 프레임 속도 터보드라이브/무손실 압축,시리얼 포트,운영 시스템 [권장],하드 드라이브,CPU [권장],High Dynamic Range,Frame Rate,Readout,컬러/모노,리드 노이즈,센서 소재,암전류,전체 웰 용량(Qsat),시야각 (FOV),액세서리(포함 사항),인증,최대 프레임 속도 버스트,전력 소비량,동작 범위,Options,Max Frame Rate Burst,Sensor Format,White Balance,Quantum efficiency,Pixel size,Dark Noise,Max Frame Rate Turbodrive/Lossless Compression,Absolute Sensitivity Threshold (y),Serial Port,GPIO,Shutter Type,C-Mount Coupler Magnification,Angular FOV,Aperture,Dewar Hours,Operation Mode,Dark Current Noise,작업 거리,마운트 장착,베이스라인,교정,3D Processing,비디오 출력(SDK),_mp_combined,_res_combined,_pixel_combined,_fps_combined,_shutter_combined,_line_rate_combined,_spectrum_combined,_spectrum_range_combined,_mount_combined,_interface_combined,_dim_combined,_weight_combined,_sensor_arch_combined
Teledyne Dalsa,KL-GS-12H03H-00-L25,Line Scan,KL-GS-12H03H-00-L25,KL-GS-12H03H-00-L25,"1,280 x 256",0.327,2.3 kHz,Teledyne DALSA,14,InGaAs,SWIR,M42x1 (lens included),"Free-running, external trigger",10 GigEVision,IP54,"ROI, multi ROI, spectral and digital bining",,"Flat-field correction, defective pixel correction, linearity correction",256 MB,Synchronous,950,61,120 e-,"1,750","1,750",120 ke,"12-bit, 12-bit packed",-20 C to 60 C,24 V via GPIO connector,15 to 85% (no condensation),5-45 C ambient,15 to 85% (no condensation),22 W,2.3 kg,M12 to RJ45 Ethernet,100 x 120 x 184 mm,External camera power supply,M12 Ethernet (10 Gbps),"Cable, 10 GigE NIC or Xtium XGV frame grabber","CE, FCC, RoHS. The ECCN for this product is: EAR099(?)","GigE Vision™ v1.2, Onvif™ v1.01, http, rtsp, udp, SMPTE 292M, SMPTE 424M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.327,"1,280 x 256",,,,2.3 kHz,SWIR,,M42x1 (lens included),10 GigEVision,100 x 120 x 184 mm,2.3 kg,InGaAs
Teledyne Dalsa,Linea Lite 2k Color L2-GC-02K02B-00-A,Line Scan,Linea Lite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Line Scan,CMOS,GigE Vision,Visible (400-700 nm),Power over Ethernet (PoE),L2-GC-02k02B,2048 x 2 (Bilinear),25 kHz,Teledyne e2v,14,CMOS,Global shutter,Color,,M42 x 1 mm,"Image sync: Free-running, software & hardware trigger, action command | Timestamp Sync: PTP (IEEE1588)",Gigabit Ethernet 1 Gbps,IP30,Continuous  / Single Frame,"Hardware trigger, programmable via camera API",5 µs to 2500 µs,32 MB non-volatile memory,Manual,90 MB,"Image Compression (TurboDrive), Gamma, Lookup table,  Pixel correction, Flat line correction and Line spacial correction","ROI, Muti-ROI",4 user configuration sets for custom camera settings,72.0,1x to 10x,R 680 / G 550 / B 470 nm,Peak @ 470 nm,Peak @ 550 nm,Peak @ 680 nm,"55, 40, 25 (DN8/nJ/cm2)",30000,RJ-45 (vertical & horizontal locking) | HD15 type (female),"8-bit, 12-bit",46 mm × 46 mm × 37 mm,111 g,"2 RS-422 input, 2 RS-422 output, 1 RS-422 Bi-directional",15 to 85% (no condensation),-10°C to 65°C (measured at the front face of the camera),5 W,Power Over Ethernet (PoE) or 12 to 24 V via GPIO connector,15 to 85% (no condensation),-20°C to 80°C,Gigabit Ethernet Port,IEEE802.3af-2003 PoE Interface Card / Injector/ Switch or External Camera Power Supply,"Lens, Cable, Host Adapter (GigE Nic or Xtium2-XGV frame grabber)","CE, FCC, KCC, RoHS. The ECCN for this product is: EAR099.",GigE Vision v1.2,3 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048 x 2 (Bilinear),14,,Global shutter,25 kHz,Color,Visible (400-700 nm),M42 x 1 mm,Gigabit Ethernet 1 Gbps,46 mm × 46 mm × 37 mm,111 g,CMOS
Teledyne Dalsa,Linea Lite 2k Mono L2-GM-02K05B-00-A,Line Scan,Linea Lite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Line Scan,CMOS,GigE Vision,Visible (400-700 nm),Power over Ethernet (PoE),L2-GM-02K05B-00-A,2048 x 2 (Bilinear),50 kHz,Teledyne e2v,14,CMOS,Global shutter,Mono,,M42 x 1 mm,"Image sync: Free-running, software & hardware trigger, action command | Timestamp Sync: PTP (IEEE1588)",Gigabit Ethernet 1 Gbps,IP30,Continuous  / Single Frame,"Hardware trigger, programmable via camera API",5 µs to 2500 µs,32 MB non-volatile memory,Manual,90 MB,"Image Compression (TurboDrive), Gamma, Lookup table,  Pixel correction, Flat line correction and Line spacial correction","Pixel binning,  ROI, Muti-ROI",4 user configuration sets for custom camera settings,72.0,1x to 10x,700 nm,,,,75 (DN8/nJ/cm2),30000,RJ-45 (vertical & horizontal locking) | HD15 type (female),"8-bit, 12-bit",46 mm × 46 mm × 37 mm,111 g,"2 RS-422 input, 2 RS-422 output, 1 RS-422 Bi-directional",15 to 85% (no condensation),-10°C to 65°C (measured at the front face of the camera),5 W,Power Over Ethernet (PoE) or 12 to 24 V via GPIO connector,15 to 85% (no condensation),-20°C to 80°C,Gigabit Ethernet Port,IEEE802.3af-2003 PoE Interface Card / Injector/ Switch or External Camera Power Supply,"Lens, Cable, Host Adapter (GigE Nic or Xtium2-XGV frame grabber)","CE, FCC, KCC, RoHS. The ECCN for this product is: EAR099.",GigE Vision v1.2,3 years,700 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048 x 2 (Bilinear),14,,Global shutter,50 kHz,Mono,Visible (400-700 nm),M42 x 1 mm,Gigabit Ethernet 1 Gbps,46 mm × 46 mm × 37 mm,111 g,CMOS
Teledyne Dalsa,Linea Lite 4k Color L2-GC-04K01B-00-A,Line Scan,Linea Lite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Line Scan,CMOS,GigE Vision,Visible (400-700 nm),Power over Ethernet (PoE),L2-GC-04k01B,4096 x 2 (Bilinear),12.5 kHz,Teledyne e2v,7,CMOS,Global shutter,Color,,M42 x 1 mm,"Image sync: Free-running, software & hardware trigger, action command | Timestamp Sync: PTP (IEEE1588)",Gigabit Ethernet 1 Gbps,IP30,Continuous  / Single Frame,"Hardware trigger, programmable via camera API",5 µs to 2500 µs,32 MB non-volatile memory,Manual,90 MB,"Image Compression (TurboDrive), Gamma, Lookup table,  Pixel correction, Flat line correction and Line spacial correction","ROI, Muti-ROI",4 user configuration sets for custom camera settings,72.0,1x to 10x,R 625 / G 550 / B 470 nm,Peak @ 470 nm,Peak @ 550 nm,Peak @ 625 nm,"9, 9, 6 (DN8/nJ/cm2)",30000,RJ-45 (vertical & horizontal locking) | HD15 type (female),"8-bit, 12-bit",46 mm × 46 mm × 37 mm,111 g,"2 RS-422 input, 2 RS-422 output, 1 RS-422 Bi-directional",15 to 85% (no condensation),-10°C to 65°C (measured at the front face of the camera),5 W,Power Over Ethernet (PoE) or 12 to 24 V via GPIO connector,15 to 85% (no condensation),-20°C to 80°C,Gigabit Ethernet Port,IEEE802.3af-2003 PoE Interface Card / Injector/ Switch or External Camera Power Supply,"Lens, Cable, Host Adapter (GigE Nic or Xtium2-XGV frame grabber)","CE, FCC, KCC, RoHS. The ECCN for this product is: EAR099.",GigE Vision v1.2,3 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4096 x 2 (Bilinear),7,,Global shutter,12.5 kHz,Color,Visible (400-700 nm),M42 x 1 mm,Gigabit Ethernet 1 Gbps,46 mm × 46 mm × 37 mm,111 g,CMOS
Teledyne Dalsa,Linea Lite 4k Mono L2-GM-04K02B-00-A,Line Scan,Linea Lite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Line Scan,CMOS,GigE Vision,Visible (400-700 nm),Power over Ethernet (PoE),L2-GM-04K02B-00-A,4096 x 2 (Bilinear),25 kHz,Teledyne e2v,7,CMOS,Global shutter,Mono,,M42 x 1 mm,"Image sync: Free-running, software & hardware trigger, action command | Timestamp Sync: PTP (IEEE1588)",Gigabit Ethernet 1 Gbps,IP30,Continuous  / Single Frame,"Hardware trigger, programmable via camera API",5 µs to 2500 µs,32 MB non-volatile memory,Manual,90 MB,"Image Compression (TurboDrive), Gamma, Lookup table,  Pixel correction, Flat line correction and Line spacial correction","Pixel binning,  ROI, Muti-ROI",4 user configuration sets for custom camera settings,72.0,1x to 10x,700 nm,,,,12 (DN8/nJ/cm2),30000,RJ-45 (vertical & horizontal locking) | HD15 type (female),"8-bit, 12-bit",46 mm × 46 mm × 37 mm,111 g,"2 RS-422 input, 2 RS-422 output, 1 RS-422 Bi-directional",15 to 85% (no condensation),-10°C to 65°C (measured at the front face of the camera),5 W,Power Over Ethernet (PoE) or 12 to 24 V via GPIO connector,15 to 85% (no condensation),-20°C to 80°C,Gigabit Ethernet Port,IEEE802.3af-2003 PoE Interface Card / Injector/ Switch or External Camera Power Supply,"Lens, Cable, Host Adapter (GigE Nic or Xtium2-XGV frame grabber)","CE, FCC, KCC, RoHS. The ECCN for this product is: EAR099.",GigE Vision v1.2,3 years,700 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4096 x 2 (Bilinear),7,,Global shutter,25 kHz,Mono,Visible (400-700 nm),M42 x 1 mm,Gigabit Ethernet 1 Gbps,46 mm × 46 mm × 37 mm,111 g,CMOS
Teledyne Dalsa,Linea Lite 8k Mono L2-GM-08K02S-00-A,Line Scan,Linea Lite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Line Scan,CMOS,GigE Vision,Visible (400-700 nm),Power over Ethernet (PoE),L2-GM-08K02S-00-A,8192 x 1 SR,25 kHz,Teledyne e2v,3.5 SR,CMOS,Global shutter,Mono,,M42 x 1 mm,"Image sync: Free-running, software & hardware trigger, action command | Timestamp Sync: PTP (IEEE1588)",Gigabit Ethernet 1 Gbps,IP30,Continuous  / Single Frame,"Hardware trigger, programmable via camera API",5 µs to 2500 µs,32 MB non-volatile memory,Manual,90 MB,"Image Compression (TurboDrive), Gamma, Lookup table,  Pixel correction, Flat line correction and Line spacial correction","Pixel binning, ROI, Muti-ROI",4 user configuration sets for custom camera settings,72.0,1x to 10x,700 nm,,,,12 (DN8/nJ/cm2),30000,RJ-45 (vertical & horizontal locking) | HD15 type (female),"8-bit, 12-bit",46 mm × 46 mm × 37 mm,111 g,,15 to 85% (no condensation),-10°C to 65°C (measured at the front face of the camera),,Power Over Ethernet (PoE) or 12 to 24 V via GPIO connector,15 to 85% (no condensation),-20°C to 80°C,Gigabit Ethernet Port,IEEE802.3af-2003 PoE Interface Card / Injector/ Switch or External Camera Power Supply,"Lens, Cable, Host Adapter (GigE Nic or Xtium2-XGV frame grabber)","CE, FCC, KCC, RoHS. The ECCN for this product is: EAR099.",GigE Vision v1.2,3 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8192 x 1 SR,3.5 SR,,Global shutter,25 kHz,Mono,Visible (400-700 nm),M42 x 1 mm,Gigabit Ethernet 1 Gbps,46 mm × 46 mm × 37 mm,111 g,CMOS
Teledyne Dalsa,Linea Color 2k 26 kHz GigE LA-GC-02K05B,Line Scan,Linea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Line Scan,CMOS,"GigE Vision, Camera Link, Camera Link HS, Gigabit Ethernet","Visible (400-700 nm), Near Infrared (700-1000 nm)",Power over Ethernet (PoE),LA-GC-02K05B,2048 x 2 (Bilinear),26 kHz / 45 kHz with TurboDrive,Teledyne DALSA,7.04,CMOS,Global shutter,Color,,M42 x 1 mm,"Image sync: Free-running, software & hardware trigger",Gigabit Ethernet 1 Gbps,IP30,Continuous  / Single Frame,"Hardware trigger, programmable via camera API",,512 MB non-volatile memory,Manual,224 MB,"Image Compression (TurboDrive), Pixel correction, Flat line correction and Line spacial correction","ROI, Muti-ROI",2 user configuration sets for custom camera settings,60.0,1x to 10x,R 640 / G 520 / B 480 nm,Peak @ 480 nm,Peak @ 520 nm,Peak @ 640 nm,"22, 18, 18 (DN8/nJ/cm2)",20000,RJ-45 (vertical & horizontal locking) | HD15 type (female),8-bit,62 mm x 62 mm x 47 mm,280 g,"2 RS-422 input, 2 RS-422 output, 2 RS-422 Bi-directional",15 to 85% (no condensation),0°C to 65°C (measured at the front face of the camera),8  W,12 to 24 V via GPIO connector,15 to 85% (no condensation),-20°C to 80°C,Gigabit Ethernet Port,External Camera Power Supply,"Lens, Cable, Host Adapter (GigE Nic or Xtium2-XGV frame grabber)","CE, FCC, KCC, RoHS. The ECCN for this product is: EAR099.",GigE Vision v1.2,3 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048 x 2 (Bilinear),7.04,,Global shutter,26 kHz / 45 kHz with TurboDrive,Color,"Visible (400-700 nm), Near Infrared (700-1000 nm)",M42 x 1 mm,Gigabit Ethernet 1 Gbps,62 mm x 62 mm x 47 mm,280 g,CMOS
Teledyne Dalsa,Linea Color 4k 13 kHz GigE LA-GC-04K05B,Line Scan,Linea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Line Scan,CMOS,"GigE Vision, Camera Link, Camera Link HS, Gigabit Ethernet","Visible (400-700 nm), Near Infrared (700-1000 nm)",Power over Ethernet (PoE),LA-GC-04K05B,4096 x 2 (Bilinear),13 kHz / 45 kHz with TurboDrive,Teledyne DALSA,7.04,CMOS,Global shutter,Color,,M42 x 1 mm,"Image sync: Free-running, software & hardware trigger",Gigabit Ethernet 1 Gbps,IP30,Continuous  / Single Frame,"Hardware trigger, programmable via camera API",,512 MB non-volatile memory,Manual,224 MB,"Image Compression (TurboDrive), Pixel correction, Flat line correction and Line spacial correction","ROI, Muti-ROI",2 user configuration sets for custom camera settings,60.0,1x to 10x,R 640 / G 520 / B 480 nm,Peak @ 480 nm,Peak @ 520 nm,Peak @ 640 nm,"22, 18, 18 (DN8/nJ/cm2)",20000,RJ-45 (vertical & horizontal locking) | HD15 type (female),8-bit,62 mm x 62 mm x 47 mm,280 g,"2 RS-422 input, 2 RS-422 output, 2 RS-422 Bi-directional",15 to 85% (no condensation),0°C to 65°C (measured at the front face of the camera),8  W,12 to 24 V via GPIO connector,15 to 85% (no condensation),-20°C to 80°C,Gigabit Ethernet Port,External Camera Power Supply,"Lens, Cable, Host Adapter (GigE Nic or Xtium2-XGV frame grabber)","CE, FCC, KCC, RoHS. The ECCN for this product is: EAR099.",GigE Vision v1.2,3 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4096 x 2 (Bilinear),7.04,,Global shutter,13 kHz / 45 kHz with TurboDrive,Color,"Visible (400-700 nm), Near Infrared (700-1000 nm)",M42 x 1 mm,Gigabit Ethernet 1 Gbps,62 mm x 62 mm x 47 mm,280 g,CMOS
Teledyne Dalsa,Linea Color 4k 48 kHz CL LA-CC-04K05B,Line Scan,Linea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Line Scan,CMOS,"GigE Vision, Camera Link, Camera Link HS, Gigabit Ethernet","Visible (400-700 nm), Near Infrared (700-1000 nm)",Power over Ethernet (PoE),LA-CC-04K05B,4096 x 2 (Bilinear),48 kHz,Teledyne DALSA,7.04,CMOS,Global shutter,Color,,M42 x 1 mm,"Image sync: Free-running, external trigger, CC1 trigger","Camera Link (Base, Medium, Full & Deca configuration)",IP30,Continuous,"Hardware trigger, programmable via camera API",,512 MB non-volatile memory,Manual,,"Lookup table,  Pixel correction and Flat line correction","ROI, Muti-ROI",2 user configuration sets for custom camera settings,60.0,1x to 10x,R 640 / G 520 / B 480 nm,Peak @ 480 nm,Peak @ 520 nm,Peak @ 640 nm,"22, 18, 18 (DN8/nJ/cm2)",20000,2x SDR-26 | Hirose 6-pin circular (male),"8-bit, 12-bit",62 mm x 62 mm x 31 mm,190 g,1 input (CC1),15 to 85% (no condensation),0°C to 65°C (measured at the front face of the camera),8  W,Power-Over-CameraLink (PoCL) or 12 to 24 V via GPIO,15 to 85% (no condensation),-20°C to 80°C,CameraLink (2 x SDR-26 cables),PoCL or External Camera Power Supply,"Lens, Cable, Host Adapter (CameraLink frame grabber)","CE, FCC, KCC, RoHS. The ECCN for this product is: EAR099.",CameraLink v.2.1,3 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4096 x 2 (Bilinear),7.04,,Global shutter,48 kHz,Color,"Visible (400-700 nm), Near Infrared (700-1000 nm)",M42 x 1 mm,"Camera Link (Base, Medium, Full & Deca configuration)",62 mm x 62 mm x 31 mm,190 g,CMOS
Teledyne Dalsa,Linea Color 8k 48 kHz CL LA-CC-08K05B,Line Scan,Linea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Line Scan,CMOS,"GigE Vision, Camera Link, Camera Link HS, Gigabit Ethernet","Visible (400-700 nm), Near Infrared (700-1000 nm)",Power over Ethernet (PoE),LA-CC-08K05B,8192 x 2 (Bilinear),48 kHz,Teledyne DALSA,7.04,CMOS,Global shutter,Color,,M72 x 0.75 mm,"Image sync: Free-running, external trigger, CC1 trigger","Camera Link (Base, Medium, Full & Deca configuration)",IP30,Continuous,"Hardware trigger, programmable via camera API",,512 MB non-volatile memory,Manual,,"Lookup table,  Pixel correction and Flat line correction","ROI, Muti-ROI",2 user configuration sets for custom camera settings,60.0,1x to 10x,R 640 / G 520 / B 480 nm,Peak @ 480 nm,Peak @ 520 nm,Peak @ 640 nm,"22, 18, 18 (DN8/nJ/cm2)",20000,2x SDR-26 | Hirose 6-pin circular (male),"8-bit, 12-bit",76 mm x 76 mm x 31 mm,310 g,1 input (CC1),15 to 85% (no condensation),0°C to 65°C (measured at the front face of the camera),11 W,Power-Over-CameraLink (PoCL) or 12 to 24 V via GPIO,15 to 85% (no condensation),-20°C to 80°C,CameraLink (2 x SDR-26 cables),PoCL or External Camera Power Supply,"Lens, Cable, Host Adapter (CameraLink frame grabber)","CE, FCC, KCC, RoHS. The ECCN for this product is: EAR099.",CameraLink v.2.1,3 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8192 x 2 (Bilinear),7.04,,Global shutter,48 kHz,Color,"Visible (400-700 nm), Near Infrared (700-1000 nm)",M72 x 0.75 mm,"Camera Link (Base, Medium, Full & Deca configuration)",76 mm x 76 mm x 31 mm,310 g,CMOS
