brand,board_type,raw_category,target_key,model,_source_url,_table_index,Order Number,Design-In Sample,Manufacturer,Type,Product Series,Product Type,Warranty,Processor,On-Board Memory,I/O Module Interfaces (Trigger and Sync),Acquisition Card Features,Interface,Configurations,Connectors,Cable Length,Camera Support,Sensor Type,Bit Depth,Data Bandwidth,Data Bandwidth (p.port; Total),Test Environment,No. of Ports,PC Bus Interface,PC Bus Interface Performance,Trigger Board GPIO Interfaces,On-board GPIO interface,On-board Front GPIO Interface,GPIO Synchronisation and Control,GPIO Interface Summary,Dimensions,Weight,Power Consumption / Power Source,Operating Temperature,Storage Temperature,"Relative Humidity (operating, storage)",MTBF,Compliances,Software Drivers,Software Tools,Software API,FPGA Programming,MV Software Compatibility,Power via Interface (p. port),Standard,Power output,Sensor Resolution,Basic Features,Last Time Buy,Last Time Service
Basler,coaxpress,Frame Grabbers (imaFlex/imaWorx/microEnable 5 marathon),basler_fg_hub,imaFlex 2 Dual 100,https://www.baslerweb.com/en-us/shop/imaflex-2-dual-100/,merged_kv,2200002331,now,Basler,Frame grabber,imaFlex Programmable Frame Grabber,Processing,36 Months,Xilinx Ultrascale+ KU15P,10 GByte DDR4-RAM,"Front GPIO: up to 4 differential signals in, up to 8 single-ended signals in (depends on configuration), 8 TTL outputs Trigger-/GPIO-Extension (for Opto Trigger or TTL Trigger)",VisualApplets compatible,CoaXPress-over-Fiber,One (1) CoF 4*25G & One (1) 4*25G DF or Two (2) CoF 4*25G,2 x QSFP28,0 - 100 meters,CoF 4x25G camera,Grayscale sensor,8-16-bit (grayscale),"2 x 100 Gbit/s (9,697 MB/s)",100 Gbps; 200 Gbps,Camera Simulator,2,PCIe x16 Gen3.0,"15,752 MB/s (theoretical), 13,040 MB/s (typical/max.)",Box connector (34-pin),"One 34-pin flat cable connector onboard: 8 input signals and 8 output signals with open-drain optionally as 4 opto-coupled inputs (4,5V - 28V), optional 2 opto-coupled differential inputs (RS422); 4 opto-coupled outputs (4,5V - 28V)","4 differential input signals up to 8 single-ended input signals; 8 TTL output signals; configurable by software in the applet; max. voltage of the input signals between 4,5V and 25V","Configurable Trigger System supporting various trigger modes (grabber controlled, external trigger, gated, software trigger) and shaft encoder functionality with backward compensation, Multi-Camera-Synchronization","16 in/16 out (max.), TTL or opto-coupled; differential or single-ended signals (configuration dependent)","PCIe Standard height, three-quarters length card: 239 mm length x 111.15 mm height",394 g,"Typ. 45W@12V, excluding camera and I/O power output",0 - 50 °C (32 - 122 °F),-50 - 80 °C (-58 °F - 176 °F),"5 - 90 % non-condensing (operating), 0 - 95 % (storage)","172,174 h",CE FCC KC REACH RoHS UKCA WEEE,Windows 11 / 10 (64-Bit),Device Drivers Documentation microDiagnostics (Analysis and service tool) microDisplay X (Acquisition control and viewer) Calibration Tool (incl. python source),Framegrabber SDK,VisualApplets,GenTL-based MV-Software,,,,,,,
Basler,coaxpress,Frame Grabbers (imaFlex/imaWorx/microEnable 5 marathon),basler_fg_hub,imaFlex CXP-12 Quad,https://www.baslerweb.com/en-us/shop/imaflex-cxp-12-quad/,merged_kv,2200002351,,Basler,Frame grabber,imaFlex Programmable Frame Grabber,Processing,36 Months,Xilinx Ultrascale+ KU3P,1.5 GByte DDR4-RAM,"Front GPIO: up to 3 differential signals in, up to 4 single-ended signals in (depends on configuration), 2 TTL outputs Trigger-/GPIO-Extension (for Opto Trigger or TTL Trigger)",Flat Field Correction Digital Binning PGI Color Reconstruction VisualApplets compatible,CoaXPress (CXP-12),CXP-12; up to 4 cameras,4 x Micro-BNC/HD-BNC,11 - 40 meters,area scan camera line scan camera,CFA sensor (Bayer) Grayscale sensor RGB sensor,8-16-bit (grayscale) 24-48-bit (color),"4 x 12.5 Gbit/s (1,560 MB/s)",12.5 Gbps; 50 Gbps,Camera Simulator,4,PCIe 3.0 x8,"7876 MB/s (theoretical), 6520 MB/s (typical/max.)",Box connector (34-pin),"One 34-pin flat cable connector onboard: 8 input signals and 8 output signals with open-drain optionally as 4 opto-coupled inputs (4,5V - 28V), optional 2 opto-coupled differential inputs (RS422); 4 opto-coupled outputs (4,5V - 28V)","3 differential input signals or 2 differential and 1 single-ended signal or 4 single-ended signals; 2 TTL output signals; configurable by software GPIOTool; max. voltage of the input signals between 4,5V and 25V","Configurable Trigger System supporting several trigger modes (grabber controlled, external trigger, gated, software trigger) and shaft encoder functionality with backward compensation, Multi-Camera-Synchronization","12 in/10 out (max.), TTL or opto-coupled; differential or single-ended signals (configuration dependent)","PCIe Standard height, half length card: 167.64 mm length x 111.15 mm height",274 g,"Typ. 13,4W@12V, excluding camera and I/O power output",0 - 50 °C (32 - 122 °F),-50 - 80 °C (-58 °F - 176 °F),"5 - 90 % non-condensing (operating), 0 - 95 % (storage)",48.440 h,,Linux 64-Bit Windows 11 / 10 (64-Bit),Device Drivers Documentation microDiagnostics (Analysis and service tool) microDisplay X (Acquisition control and viewer) SDK,.net interface Framegrabber SDK GenTL,VisualApplets,GenTL-based MV-Software,PoCXP (17W/24V per connector),CoaXPress 2.0/2.1,"17W/24VDC regulated power per CXP connector, device detection and short circuit protection Power over CXP","32k*64k (area scan sensor), 16k (line scan sensor)",Image Selector Invert LUT Mirroring Overflow Management ROI Tap Geometry Sorting White Balance,,
Basler,coaxpress,Frame Grabbers (imaFlex/imaWorx/microEnable 5 marathon),basler_fg_hub,imaFlex CXP-12 Penta,https://www.baslerweb.com/en-us/shop/imaflex-cxp-12-penta/,merged_kv,2200001177,,Basler,Frame grabber,imaFlex Programmable Frame Grabber,Processing,36 Months,Xilinx Ultrascale+ KU3P,2.5 GByte DDR4-RAM,"Front GPIO: up to 3 differential signals in, up to 4 single-ended signals in (depends on configuration), 4 TTL outputs Trigger-/GPIO-Extension (for Opto Trigger or TTL Trigger)",VisualApplets compatible,CoaXPress (CXP-12),CXP-12; up to 5 cameras,5 x Micro-BNC/HD-BNC,11 - 40 meters,area scan camera line scan camera,CFA sensor (Bayer) Grayscale sensor RGB sensor,8-16-bit (grayscale) 24-48-bit (color),"5 x 12.5 Gbit/s (1,560 MB/s)",12.5 Gbps; 62.5 Gbps,Camera Simulator,5,PCIe 3.0 x8,"7876 MB/s (theoretical), 6520 MB/s (typical/max.)",Box connector (34-pin),"One 34-pin flat cable connector onboard: 8 input signals and 8 output signals with open-drain optionally as 4 opto-coupled inputs (4,5V - 28V), optional 2 opto-coupled differential inputs (RS422); 4 opto-coupled outputs (4,5V - 28V)","3 differential input signals or 2 differential and 1 single-ended signal or 4 single-ended signals; 4 TTL output signals; configurable by software in the applet; max. voltage of the input signals between 4,5V and 25V","Configurable Trigger System supporting several trigger modes (grabber controlled, external trigger, gated, software trigger) and shaft encoder functionality with backward compensation, Multi-Camera-Synchronization","12 in/12 out (max.), TTL or opto-coupled; differential or single-ended signals (configuration dependent)","PCIe Standard height, half length card: 167.64 mm length x 111.15 mm height",274 g,"Typ. 13,4W@12V, excluding camera and I/O power output",0 - 50 °C (32 - 122 °F),-50 - 80 °C (-58 °F - 176 °F),"5 - 90 % non-condensing (operating), 0 - 95 % (storage)",48.684 h,,Linux 64-Bit Windows 11 / 10 (64-Bit),Device Drivers Documentation microDiagnostics (Analysis and service tool) microDisplay X (Acquisition control and viewer) SDK,.net interface Framegrabber SDK GenTL,VisualApplets,GenTL-based MV-Software,PoCXP (17W/24V per connector),,"17W/24VDC regulated power per CXP connector, device detection and short circuit protection","32k*64k (area scan sensor), 16k (line scan sensor)",Image Selector Invert LUT Mirroring Overflow Management ROI Tap Geometry Sorting White Balance,,
Basler,coaxpress,Frame Grabbers (imaFlex/imaWorx/microEnable 5 marathon),basler_fg_hub,imaWorx CXP-12 Quad,https://www.baslerweb.com/en-us/shop/imaworx-cxp-12-quad/,merged_kv,2200000482,,Basler,Frame grabber,imaWorx Frame Grabber,Acquisition,36 Months,Xilinx Ultrascale+ KU3P,1.5 GByte DDR4-RAM,"Front GPIO: up to 3 differential signals in, up to 4 single-ended signals in (depends on configuration), 2 TTL outputs Trigger-/GPIO-Extension (for Opto Trigger or TTL Trigger)",Flat Field Correction Digital Binning PGI Color Reconstruction,CoaXPress (CXP-12),CXP-12; up to 4 cameras,4 x Micro-BNC/HD-BNC,11 - 40 meters,area scan camera line scan camera,CFA sensor (Bayer) Grayscale sensor RGB sensor,8-16-bit (grayscale) 24-48-bit (color),"4 x 12.5 Gbit/s (1,560 MB/s)",12.5 Gbps; 50 Gbps,Camera Simulator,4,PCIe 3.0 x8,"7876 MB/s (theoretical), 6520 MB/s (typical/max.)",Box connector (34-pin),"One 34-pin flat cable connector onboard: 8 input signals and 8 output signals with open-drain optionally as 4 opto-coupled inputs (4,5V - 28V), optional 2 opto-coupled differential inputs (RS422); 4 opto-coupled outputs (4,5V - 28V)","3 differential input signals or 2 differential and 1 single-ended signal or 4 single-ended signals; 2 TTL output signals; configurable by software GPIOTool; max. voltage of the input signals between 4,5V and 25V","Configurable Trigger System supporting several trigger modes (grabber controlled, external trigger, gated, software trigger) and shaft encoder functionality with backward compensation, Multi-Camera-Synchronization","12 in/10 out (max.), TTL or opto-coupled; differential or single-ended signals (configuration dependent)","PCIe Standard height, half length card: 167.64 mm length x 111.15 mm height",274 g,"Typ. 13,4W@12V, excluding camera and I/O power output",0 - 50 °C (32 - 122 °F),-50 - 80 °C (-58 °F - 176 °F),"5 - 90 % non-condensing (operating), 0 - 95 % (storage)",48.440 h,,Linux 64-Bit Windows 11 / 10 (64-Bit),Device Drivers Documentation microDiagnostics (Analysis and service tool) microDisplay X (Acquisition control and viewer) pylon Software Suite SDK,.net interface Framegrabber SDK GenTL pylon SDKs,,GenTL-based MV-Software Halcon VisionPro,PoCXP (17W/24V per connector),CoaXPress 2.0/2.1,"17W/24VDC regulated power per CXP connector, device detection and short circuit protection","32k*64k (area scan sensor), 16k (line scan sensor)",Image Selector Invert LUT Mirroring Overflow Management ROI Tap Geometry Sorting White Balance,,
Basler,coaxpress,Frame Grabbers (imaFlex/imaWorx/microEnable 5 marathon),basler_fg_hub,microEnable 5 marathon ACX-SP,https://www.baslerweb.com/en-us/shop/microenable-5-marathon-acx-sp/,merged_kv,2200000356,,Basler,Frame grabber,marathon Frame Grabber,Acquisition,,Xilinx Kintex7 XC7K70T,512 MByte DDR3-RAM,"Front GPIO: up to 3 differential signals in, up to 4 single-ended signals in (depends on configuration), 2 TTL outputs",,CoaXPress (CXP-6),CXP1-6; 1 camera,1 x DIN 1.0/2.3,11 - 40 meters,area scan camera line scan camera,CFA sensor (Bayer) Grayscale sensor RGB sensor,8-16-bit (grayscale) 24-48-bit (color),1 x 6.25 Gbit/s,6.25 Gbps; 6.25 Gbps,Camera Simulator,1,"PCIe 2.1 x4, DMA1800",up to 1800 MB/s (sustainable),Box connector (34-pin),"One 34-pin flat cable connector onboard: 8 input signals and 8 output signals with open-drain optionally as 4 opto-coupled inputs (4,5V - 28V), optional 2 opto-coupled differential inputs (RS422); 4 opto-coupled outputs (4,5V - 28V)","2 opto-coupled differential inputs (RS422) and 1 opto-coupled differential / single ended input 2 TTL outputs, up to 20 MHz frequency","Configurable Trigger System supporting several trigger modes (grabber controlled, external trigger, gated, software trigger) and shaft encoder functionality with backward compensation, Multi-Camera-Synchronization","12 in/10 out (max.), TTL or opto-coupled; differential or single-ended signals (configuration dependent)","PCIe Standard height, half length card: 167.64 mm length x 111.15 mm height",200 g,typ. 0.8 A @ 12V (actual values depend on image pre-processing),"50° (0 LFM*), 60° (100 LFM) FPGA operating temperature: 0°C to 85°C",-50 - 80 °C (-58 °F - 176 °F),"5 - 90 % non-condensing (operating), 0 - 95 % (storage)",pending,CE class B REACH RoHS WEEE,Linux 64-Bit Windows 11 / 10 (64-Bit) Windows 11 / 10 (32-Bit),Device Drivers Documentation GenICam Explorer (Camera configuration tool) microDiagnostics (Analysis and service tool) microDisplay (Acquisition control and viewer) SDK,.net interface Framegrabber SDK,not programmable,Halcon others on request VisionPro,PoCXP (17W/24V per connector),CoaXPress 1.0/1.1,13W/24V per CXP connector Power over CXP SafePower,"16k (-65k)*65k (area scan sensors, depends on applet),49k (-65k) (line scan sensor, depends on applet)",Image Selector Invert LUT Mirroring Offset/Gain/Gamma correction ROI White Balance,12/31/2022,03/31/2025
Basler,coaxpress,Frame Grabbers (imaFlex/imaWorx/microEnable 5 marathon),basler_fg_hub,microEnable 5 marathon ACX-DP,https://www.baslerweb.com/en-us/shop/microenable-5-marathon-acx-dp/,merged_kv,2200000355,,,Frame grabber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/31/2022,03/31/2025
Basler,coaxpress,Frame Grabbers (imaFlex/imaWorx/microEnable 5 marathon),basler_fg_hub,microEnable 5 marathon ACX-QP,https://www.baslerweb.com/en-us/shop/microenable-5-marathon-acx-qp/,merged_kv,2200000354,,Basler,Frame grabber,marathon Frame Grabber,Acquisition,36 Months,Xilinx Kintex7 XC7K160T,1 GByte DDR3-RAM,"Front GPIO: up to 3 differential signals in, up to 4 single-ended signals in (depends on configuration), 2 TTL outputs",,CoaXPress (CXP-6),CXP1-6; up to 4 cameras,4 x DIN 1.0/2.3,11 - 40 meters,area scan camera line scan camera,CFA sensor (Bayer) Grayscale sensor RGB sensor,8-16-bit (grayscale) 24-48-bit (color),4 x 6.25 Gbit/s (780 MB/s),6.25 Gbps; 25 Gbps,Camera Simulator,4,"PCIe 2.1 x4, DMA1800",up to 1800 MB/s (sustainable),Box connector (34-pin),"One 34-pin flat cable connector onboard: 8 input signals and 8 output signals with open-drain optionally as 4 opto-coupled inputs (4,5V - 28V), optional 2 opto-coupled differential inputs (RS422); 4 opto-coupled outputs (4,5V - 28V)","2 TTL outputs, up to 20 MHz frequency One 15-pin D-Sub socket: 2 opto-coupled differential inputs (RS422) and 1 opto-coupled differential / single ended input","Configurable Trigger System supporting several trigger modes (grabber controlled, external trigger, gated, software trigger) and shaft encoder functionality with backward compensation, Multi-Camera-Synchronization","12 in/10 out (max.), TTL or opto-coupled; differential or single-ended signals (configuration dependent)","PCIe Standard height, half length card: 167.64 mm length x 111.15 mm height",200 g,"typ. 1.075 A @ 12V (actual values depend on image pre-processing), maximum load: 3.15 A (single supply over 4-pin power connector)","50° (0 LFM*), 60° (100 LFM*) FPGA operating temperature: 0°C to 85°C, * LFM = Linear Feet per Minute, unit for measuring airflow velocity",-50 - 80 °C (-58 °F - 176 °F),"5 - 90 % non-condensing (operating), 0 - 95 % (storage)",pending,,Linux 64-Bit Windows 11 / 10 (64-Bit) Windows 11 / 10 (32-Bit),Device Drivers Documentation microDiagnostics (Analysis and service tool) microDisplay (Acquisition control and viewer) SDK,.net interface Framegrabber SDK,not programmable,Cognex Halcon,PoCXP (13W/24V per connector),CoaXPress 1.0/1.1,"17W/24VDC regulated power per CXP connector, device detection and short circuit protection Power over CXP","8k (-65k)*65k (area scan sensor, depends on applet),65k (line scan sensors)",Image Selector Invert LUT Mirroring Offset/Gain/Gamma correction ROI White Balance,,
Basler,coaxpress,Frame Grabbers (imaFlex/imaWorx/microEnable 5 marathon),basler_fg_hub,microEnable 5 marathon VCX-QP,https://www.baslerweb.com/en-us/shop/microenable-5-marathon-vcx-qp/,merged_kv,2200000357,,Basler,Frame grabber,marathon Frame Grabber,Processing,36 Months,Xilinx Kintex7 XC7K160T,2 GByte DDR3-RAM,"Front GPIO: up to 3 differential signals in, up to 4 single-ended signals in (depends on configuration), 2 TTL outputs",VisualApplets compatible,CoaXPress (CXP-6),CXP1-6; up to 4 cameras,4 x DIN 1.0/2.3,11 - 40 meters,area scan camera line scan camera,CFA sensor (Bayer) Grayscale sensor RGB sensor,8-16-bit (grayscale) 24-48-bit (color),4 x 6.25 Gbit/s (780 MB/s),6.25 Gbps; 25 Gbps,Camera Simulator,4,"PCIe 2.1 x4, DMA1800",up to 1800 MB/s (sustainable),Box connector (34-pin),"One 34-pin flat cable connector onboard: 8 input signals and 8 output signals with open-drain optionally as 4 opto-coupled inputs (4,5V - 28V), optional 2 opto-coupled differential inputs (RS422); 4 opto-coupled outputs (4,5V - 28V)","2 TTL outputs, up to 20 MHz frequency One 15-pin D-Sub socket: 2 opto-coupled differential inputs (RS422) and 1 opto-coupled differential / single ended input","Configurable Trigger System supporting several trigger modes (grabber controlled, external trigger, gated, software trigger) and shaft encoder functionality with backward compensation, Multi-Camera-Synchronization","4 in/2 out (max.), TTL or opto-coupled; differential or single-ended signals (configuration dependent) 8 in/8 out (max.), TTL or opto-coupled; differential or single-ended signals (configuration dependent)","PCIe Standard height, half length card: 167.64 mm length x 111.15 mm height",168 g,"typ. 1.175 A @ 12V (actual values depend on image pre-processing), maximum load: 3.35 A (single supply over 4-pin power connector)","50° (0 LFM*), 60° (100 LFM*) FPGA operating temperature: 0°C to 85°C, * LFM = Linear Feet per Minute, unit for measuring airflow velocity",-50 - 80 °C (-58 °F - 176 °F),"5 - 90 % non-condensing (operating), 0 - 95 % (storage)",pending,,Linux 64-Bit Windows 11 / 10 (64-Bit) Windows 11 / 10 (32-Bit),Device Drivers Documentation microDiagnostics (Analysis and service tool) microDisplay (Acquisition control and viewer) SDK,.net interface Framegrabber SDK,VisualApplets,Halcon VisionPro,PoCXP (13W/24V per connector),CoaXPress 1.0/1.1,"17W/24VDC regulated power per CXP connector, device detection and short circuit protection Power over CXP","16k (-32k)*65k (area scan sensor, depends on applet),16k - 32k (line scan sensor, depends on applet)",Image Selector Invert LUT Mirroring Offset/Gain/Gamma correction ROI White Balance,,
Basler,camera_link,Frame Grabbers (imaFlex/imaWorx/microEnable 5 marathon),basler_fg_hub,microEnable 5 marathon ACL,https://www.baslerweb.com/en-us/shop/microenable-5-marathon-acl/,merged_kv,2200000358,,Basler,Frame grabber,marathon Frame Grabber,Acquisition,36 Months,Xilinx Kintex7 XC7K70T,512 MByte DDR3-RAM,"Front GPIO: up to 3 differential signals in, up to 4 single-ended signals in (depends on configuration), 2 TTL outputs",,Camera Link,CL-base CL-deca (80bit) CL-dual base CL-full CL-medium,2 x SDR/HDR26 (miniCL),0 - 10 meters,area scan camera line scan camera,CFA sensor (Bayer) Grayscale sensor RGB sensor,8-16-bit (grayscale) 24-48-bit (color),1 x 6.8 Gbit/s (850 MB/s),6.8 Gbps; 6.8 Gbps (850 MB/s),Camera Simulator,2,"PCIe 2.1 x4, DMA1800",up to 1800 MB/s (sustainable),Box connector (34-pin),"One 34-pin flat cable connector onboard: 8 input signals and 8 output signals with open-drain optionally as 4 opto-coupled inputs (4,5V - 28V), optional 2 opto-coupled differential inputs (RS422); 4 opto-coupled outputs (4,5V - 28V)","2 TTL outputs, up to 20 MHz frequency One 15-pin D-Sub socket: 2 opto-coupled differential inputs (RS422) and 1 opto-coupled differential / single ended input","Configurable Trigger System supporting several trigger modes (grabber controlled, external trigger, gated, software trigger) and shaft encoder functionality with backward compensation, Multi-Camera-Synchronization","4 in/2 out (max.), TTL or opto-coupled; differential or single-ended signals (configuration dependent) 8 in/8 out (max.), TTL or opto-coupled; differential or single-ended signals (configuration dependent)","PCIe Standard height, half length card: 167.64 mm length x 111.15 mm height",200 g,"12 V, 1 A Voltage, typ. current (actual values depend on processing)","50° (0 LFM*), 60° (100 LFM*) FPGA operating temperature: 0°C to 85°C, * LFM = Linear Feet per Minute, unit for measuring airflow velocity",-50 - 80 °C (-58 °F - 176 °F),"5 - 90 % non-condensing (operating), 0 - 95 % (storage)",pending,,Linux 64-Bit Windows 11 / 10 (64-Bit) Windows 11 / 10 (32-Bit),Device Drivers Documentation microDiagnostics (Analysis and service tool) microDisplay (Acquisition control and viewer) SDK,.net interface Framegrabber SDK,not programmable,Halcon others on request VisionPro,"PoCL (4W/12V per connector, Safe Power)",Camera Link 2.0,"4W/12V per Camera Link connector, PoCL, SafePower","16k*64k (area scan sensor), 32k (line scan sensor),16k (-65k) (line scan sensor, depends on applet)",Image Selector Invert LUT Mirroring Offset/Gain/Gamma correction ROI Tap Sorting (Sensor Readout Correction) White Balance,,
Basler,camera_link,Frame Grabbers (imaFlex/imaWorx/microEnable 5 marathon),basler_fg_hub,microEnable 5 marathon VCL,https://www.baslerweb.com/en-us/shop/microenable-5-marathon-vcl/,merged_kv,2200000359,,Basler,Frame grabber,marathon Frame Grabber,Processing,36 Months,Xilinx Kintex7 XC7K160T,2 GByte DDR3-RAM,"Front GPIO: up to 3 differential signals in, up to 4 single-ended signals in (depends on configuration), 2 TTL outputs",VisualApplets compatible,Camera Link,CL-base CL-deca (80bit) CL-dual base CL-full CL-medium,2 x SDR/HDR26 (miniCL),0 - 10 meters,area scan camera line scan camera,CFA sensor (Bayer) Grayscale sensor RGB sensor,8-16-bit (grayscale) 24-48-bit (color),1 x 6.8 Gbit/s (850 MB/s),6.8 Gbps; 6.8 Gbps (850 MB/s),Camera Simulator,2,"PCIe 2.1 x4, DMA1800",up to 1800 MB/s (sustainable),Box connector (34-pin),"One 34-pin flat cable connector onboard: 8 input signals and 8 output signals with open-drain optionally as 4 opto-coupled inputs (4,5V - 28V), optional 2 opto-coupled differential inputs (RS422); 4 opto-coupled outputs (4,5V - 28V)","2 TTL outputs, up to 20 MHz frequency One 15-pin D-Sub socket: 2 opto-coupled differential inputs (RS422) and 1 opto-coupled differential / single ended input","Configurable Trigger System supporting several trigger modes (grabber controlled, external trigger, gated, software trigger) and shaft encoder functionality with backward compensation, Multi-Camera-Synchronization","4 in/2 out (max.), TTL or opto-coupled; differential or single-ended signals (configuration dependent) 8 in/8 out (max.), TTL or opto-coupled; differential or single-ended signals (configuration dependent)","PCIe Standard height, half length card: 167.64 mm length x 111.15 mm height",200 g,"12 V, 1 A (actual values depend on processing)","50° (0 LFM*), 60° (100 LFM*) FPGA operating temperature: 0°C to 85°C, * LFM = Linear Feet per Minute, unit for measuring airflow velocity",-50 - 80 °C (-58 °F - 176 °F),"5 - 90 % non-condensing (operating), 0 - 95 % (storage)",pending,,Linux 64-Bit Windows 11 / 10 (64-Bit) Windows 11 / 10 (32-Bit),Device Drivers Documentation microDiagnostics (Analysis and service tool) microDisplay (Acquisition control and viewer) SDK,.net interface Framegrabber SDK,VisualApplets,Halcon others on request VisionPro,"PoCL (4W/12V per connector, Safe Power)",Camera Link 2.0,"4W/12V per Camera Link connector, PoCL, SafePower","64k*64k (area scan sensor, VisualApplets), 64k (line scan sensor, VisualApplets)",Image Selector Invert LUT Mirroring Offset/Gain/Gamma correction ROI Tap Sorting (Sensor Readout Correction) White Balance,,
