brand,lens_type,raw_category,target_key,model,_source_url,_table_index,Order Number,Focal Length f',Aperture Range,Image Circle,Focus Range,Optimum Working Distance,Relative Illumination at Full Aperture,"Resolution (25 % MTF, Full Aperture)",Optical Distortion,"Angle of View, 1"" Format","Angle of View, 1/1.2"" Format",Wavelength Range,"Pupil Magnification, ß' P","Chief Ray Angle, CRA","Front Focal Length, s F","Back Focal Length, s' F","Principal Point Separation, HH '","Entrance Pupil Position, s EP","Overall Optical Length, d",Flange Back,Mount,Weight,Focus/Iris Operation,Aperture with Highest Resolution,Resolution,"MTF Measured in the Center at 90 LP/mm / 140 LP/mm (conditions: F2.0, polychromatic, 0.45 m working distance)","MTF Measured in the Corner at 90 LP/mm / 140 LP/mm (conditions: F2.0, polychromatic, 0.45 m working distance)","Angle of View, 1.1"" Format","MTF According to Design in the Center at 140 LP/mm / 200 LP/mm (conditions: F2.4, polychromatic, 0.45 m working distance)","MTF According to Design in the Corner (80 % field) at 140 LP/mm / 200 LP/mm (conditions: F2.4, polychromatic, 0.45 m working distance)",Optical Distortion / TV Distortion,"Angle of View, 1.2"" Format","MTF According to Design in the Corner (80% field) at 140 LP/mm / 200 LP/mm (conditions: F2.4, polychromatic, 0.45 m working distance)","Angle of View, 1.2"" Format, (4:3 aspect ratio)","Angle of View, 1"" Format, (4:3 aspect ratio)",Optimum Magnification,"Resolution (25 % MTF, Center, Full Aperture)",Resolution at 5.8 mm Image Diagonal (80 % of a Basler acA2500-14gm/c camera or a Basler acA2500-14um/c camera),"Angle of View, 1/2.5"" Format (using a Basler acA2500-14gm/c camera or a Basler acA2500-14um/c camera)","Angle of View, 1/3"" Format (using a Basler acA1300-30gm/c camera or a Basler acA1300-30um/c camera)","Exit Pupil Position, s' AP","Angle of View, 1/1.8"" Format (using an IMX265 sensor)","Angle of View, 2/3"" Format (using a PYTHON 2000 sensor)","MTF Measured in the Center at 90 LP/mm / 140 LP/mm (conditions: F2.4, polychromatic, 0.45 m working distance)","MTF Measured in the Corner at 90 LP/mm / 140 LP/mm (conditions: F2.4, polychromatic, 0.45 m working distance)","Angle of View, 1/1.8"" Format","Angle of View, 2/3"" Format","MTF Measured in the Center at 180 LP/mm / 250 LP/mm (conditions: F2.8, polychromatic, 0.4 m working distance)","MTF Measured in the Corner (80% field) at 180 LP/mm / 250 LP/mm (conditions: F2.8, polychromatic, 0.4 m working distance)","Angle of View, 1/2"" Format","MTF Measured in the Center at 180 LP/mm / 250 LP/mm (conditions: F2.8, polychromatic, 0.5 m working distance)","MTF Measured in the Corner (80% field) at 180 LP/mm / 250 LP/mm (conditions: F2.8, polychromatic, 0.5 m working distance)","Angle of View, 2/2"" Format","MTF Measured in the Center at 90 LP/mm / 140 LP/mm (conditions: F1.8, polychromatic, 0.45 m working distance)","MTF Measured in the Corner at 90 LP/mm / 140 LP/mm (conditions: F1.8, polychromatic, 0.45 m working distance)","MTF Measured in the Center at 180 LP/mm / 250 LP/mm (conditions: F2.8, polychromatic, 1.0 m working distance)","MTF Measured in the Corner (80% field) at 180 LP/mm / 250 LP/mm (conditions: F2.8, polychromatic, 1.0 m working distance)","MTF Measured in the Corner (80 % field) at 180 LP/mm / 200 LP/mm (conditions: F2.8, polychromatic, 0.5 m working distance)","MTF Measured in the Center at 180 LP/mm / 250 LP/mm (conditions: F2.8, polychromatic, 0.7 m working distance)","MTF Measured in the Corner (80 % field) at 180 LP/mm / 250 LP/mm (conditions: F2.8, polychromatic, 0.7 m working distance)",Optical Distortion /TV Distortion,"MTF Measured in the Center at 90 LP/mm / 140 LP/mm (conditions: F2.8, polychromatic, 0.45 m working distance)","MTF Measured in the Corner at 90 LP/mm / 140 LP/mm (conditions: F2.8, polychromatic, 0.45 m working distance)","MTF Measured in the Center at 180 LP/mm / 250 LP/mm (conditions: F3.8, polychromatic, 0.7 m working distance)","MTF Measured in the Corner (80 % field)at 140 LP/mm / 200 LP/mm (conditions: F3.8, polychromatic, 0.7 m working distance)","MTF in the Center at 155 LP/mm (conditions: F2.8, polychromatic, 0.1x Magnification)","MTF in the Corner at 155 LP/mm (conditions: F2.8, polychromatic, 0.1x Magnification)","Angle of View, Super 35 Format"
Basler,fixed_focal,Fixed Focal Lenses (Basler),basler_lens_fixed_focal,Basler Lens C10-0814-2M-S,https://docs.baslerweb.com/c10-0814-2m-s,merged_kv,2200000098,8.25 mm ± 5 %,F1.4–F16,"16 mm (1"" format)",0.1 m to infinity,1.0 m,36 % (see Simulated Relative Illumination versus Image Height ),"Designed for 64 LP/mm (7.5 µm pixel size, see Measured Resolution versus Image Height )",Typical -7.07 % (see Simulated Distortion versus Image Height ),Horizontal: 79.66° Vertical: 62.92°,Horizontal: 72.3° Vertical: 47.85°,Visible (400–700 nm),45.73,5.6°,16.05 mm,11.65 mm,41.62 mm,16.67 mm,74.17 mm,17.526 mm,C-mount,Approx. 220 g,Manual Operating angle: 211.3°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basler,fixed_focal,Fixed Focal Lenses (Basler),basler_lens_fixed_focal,Basler Lens C10-1214-2M-S,https://docs.baslerweb.com/c10-1214-2m-s,merged_kv,2200000099,12.7 mm ± 5 %,F1.4–F16,"16 mm (1"" format)",0.1 m to infinity,1.0 m,41 % (see Simulated Relative Illumination versus Image Height ),"Designed for 64 LP/mm (7.5 µm pixel size, see Measured Resolution versus Image Height )",Typical -5.93 % (see Simulated Distortion versus Image Height ),Horizontal: 56.45° Vertical: 42.51°,Horizontal: 49.6° Vertical: 31.73°,Visible (400–700 nm),50.6,6.7°,12.49 mm,12.55 mm,29.49 mm,14.67 mm,67.38 mm,17.526 mm,C-mount,Approx. 175 g,Manual Operating angle: 258.3°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basler,fixed_focal,Fixed Focal Lenses (Basler),basler_lens_fixed_focal,Basler Lens C10-1614-3M-S,https://docs.baslerweb.com/c10-1614-3m-s,merged_kv,2200000100,16.2 mm ± 5 %,F1.4–F16,"16 mm (1"" format)",0.3 m to infinity,1.0 m,40.50 % (see Simulated Relative Illumination versus Image Height ),"Designed for 100 LP/mm (5.0 µm pixel size, see Measured Resolution versus Image Height )",Typical -3.84 % (see Simulated Distortion versus Image Height ),Horizontal: 44.25° Vertical: 33.56°,Horizontal: 39.3° Vertical: 24.97°,Visible (400–700 nm),103.2,5.8°,9.14 mm,12.15 mm,15.77 mm,10.88 mm,57.28 mm,17.526 mm,C-mount,Approx. 170 g,Manual Operating angle: 152.82°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basler,fixed_focal,Fixed Focal Lenses (Basler),basler_lens_fixed_focal,Basler Lens C10-2514-3M-S,https://docs.baslerweb.com/c10-2514-3m-s,merged_kv,2200000101,25 mm ± 5 %,F1.4–F16,"16 mm (1"" format)",0.3 m to infinity,1.0 m,55 % (see Simulated Relative Illumination versus Image Height ),"Designed for 100 LP/mm (5.0 µm pixel size, see Measured Resolution versus Image Height )",Typical -3.14 % (see Simulated Distortion versus Image Height ),Horizontal: 29.29° Vertical: 21.98°,Horizontal: 25.87° Vertical: 16.27°,Visible (400–700 nm),42.25,5.7°,5.88 mm,15.71 mm,-6.67 mm,18.26 mm,49.22 mm,17.526 mm,C-mount,Approx. 150 g,Manual Operating angle: 147.024°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basler,fixed_focal,Fixed Focal Lenses (Basler),basler_lens_fixed_focal,Basler Lens C10-3514-8M-S,https://docs.baslerweb.com/c10-3514-8m-s,merged_kv,2200000603,35 mm ± 5 %,F1.4–F16,"16 mm (1"" format)",0.2 m to infinity,0.5 m,70 % (see Simulated Relative Illumination versus Image Height ),"Designed for 120 LP/mm (4.0 µm pixel size, see Measured Resolution versus Image Height )",Typical -0.39 % (see Simulated Distortion versus Image Height ),Horizontal: 20.9° Vertical: 15.7°,Horizontal: 17.2° Vertical: 13.0°,Visible (400–700 nm),19.8,13.5°,16.5 mm,11.3 mm,-15.3 mm,25.04 mm,42.03 mm,17.526 mm,C-mount,Approx. 120 g,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basler,fixed_focal,Fixed Focal Lenses (Basler),basler_lens_fixed_focal,Basler Lens C10-5014-2M-S,https://docs.baslerweb.com/c10-5014-2m-s,merged_kv,2200000102,50 mm ± 5 %,F1.4–F16,"16 mm (1"" format)",0.5 m to infinity,1.0 m,47 % (see Simulated Relative Illumination versus Image Height ),"Designed for 64 LP/mm (7.5 µm pixel size, see Measured Resolution versus Image Height )",Typical 0.82 % (see Simulated Distortion versus Image Height ),Horizontal: 14.5° Vertical: 10.92°,Horizontal: 12.8° Vertical: 8.1°,Visible (400–700 nm),22.2,10.25°,-11.61 mm,14.55 mm,-26.71 mm,66.47 mm,62.13 mm,17.526 mm,C-mount,Approx. 200 g,Manual Operating angle: 230°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basler,fixed_focal,Fixed Focal Lenses (Basler),basler_lens_fixed_focal,Basler Lens C11-0824-12M-P,https://docs.baslerweb.com/c11-0824-12m-p,merged_kv,2200000574,8.46 mm ± 5 %,F2.4–F16,"17.6 mm (1.1"" format)",0.1 m to infinity,0.4 m,40 %,,Typical -9.5 %,Horizontal: 83.7° Vertical: 48.8°,,Visible (400–700 nm),,,,9.63 mm,,,,17.526 mm,C-mount,Approx. 264.4 g,Manual,F2.8,"Designed for 140 LP/mm (3.57 µm pixel size, see Resolution versus Image Height )",0.55 / 0.40,0.25 / 0.12,Horizontal: 84.0° Vertical: 65.5°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basler,fixed_focal,Fixed Focal Lenses (Basler),basler_lens_fixed_focal,Basler Lens C11-1220-12M-P,https://docs.baslerweb.com/c11-1220-12m-p,merged_kv,2200000575,12.39 mm ± 5 %,F2.0–F16,"17.6 mm (1.1"" format)",0.1 m to infinity,0.4 m,58 %,,Typical -3.10 %,Horizontal: 56.1° Vertical: 43.6°,,Visible (400–700 nm),,,,10.15 mm,,,,17.526 mm,C-mount,Approx. 211.2 g,Manual,F2.3,"Designed for 140 LP/mm (3.57 µm pixel size, see Resolution versus Image Height )",0.56 / 0.4,0.42 / 0.3,Horizontal: 61.2° Vertical: 46.9°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basler,fixed_focal,Fixed Focal Lenses (Basler),basler_lens_fixed_focal,Basler Lens C11-1620-12M-P,https://docs.baslerweb.com/c11-1620-12m-p,merged_kv,2200000576,16.36 mm ± 5 %,F2.0–F16,"17.6 mm (1.1"" format)",0.1 m to infinity,0.4 m,59 %,,Typical -3.26 %,Horizontal: 43.6° Vertical: 33.4°,,Visible (400–700 nm),,,,11.22 mm,,,,17.526 mm,C-mount,Approx. 200.4 g,Manual,F2.3,"Designed for 140 LP/mm (3.57 µm pixel size, see Resolution versus Image Height )",0.64 / 0.44,0.52 / 0.33,Horizontal: 47.9° Vertical: 36.0°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basler,fixed_focal,Fixed Focal Lenses (Basler),basler_lens_fixed_focal,Basler Lens C11-2520-12M-P,https://docs.baslerweb.com/c11-2520-12m-p,merged_kv,2200000577,25.4 mm ± 5 %,F2.0–F16,"17.6 mm (1.1"" format)",0.1 m to infinity,0.5 m,70 %,,Typical -0.24 %,Horizontal: 28.7° Vertical: 21.7°,,Visible (400–700 nm),,,,11.33 mm,,,,17.53 mm,C-mount,Approx. 215 g,Manual,F2.6,"Designed for 140 LP/mm (3.57 µm pixel size, see Resolution versus Image Height )",0.69 / 0.55,0.6 / 0.4,Horizontal: 31.7° Vertical: 23.5°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
