brand,lens_type,raw_category,target_key,model,_source_url,_table_index,Order Number,Magnification β (x),Working Distance WD (mm),Aperture Range,Theoretical Object-side Resolution (µm) (dep. on f/#),MTF30 (lp/mm) (dep. on f/#),Numerical Aperture N.A. (dep. on f/#),Object-side Theoretical Depth of Field (mm) (dep. on f/#),Image Circle (⌀ mm),"Image-side Distortion (% max, typical)",Wavelength Range,"Object-side Telecentricity (° max, typical)",Camera Mount,Total Lens Length,Coaxial Lighting
Basler,telecentric,Telecentric Lenses (Basler),basler_lens_telecentric,Basler Lens C11T-05-110-VI-C,https://docs.baslerweb.com/c11t-05-110-vi-c,merged_kv,2200002843,0.5,110,F7–F32,10.1–45.9,129–31,0.036–0.0078,2.2–10.2,"18.2 mm (1.1"" format)",0.05,Visible (400–700 nm),0.02,C-mount,146.5,Yes
Basler,telecentric,Telecentric Lenses (Basler),basler_lens_telecentric,Basler Lens C11T-05-110-VI,https://docs.baslerweb.com/c11t-05-110-vi,merged_kv,2200002842,0.5,110,F7–F32,9.4–43.0,124–32,0.036–0.0078,2.2–10.2,"18.4 mm (1.1"" format)",0.1,Visible (400–700 nm),0.08,C-mount,133.2,No
Basler,telecentric,Telecentric Lenses (Basler),basler_lens_telecentric,Basler Lens C11T-08-110-VI-C,https://docs.baslerweb.com/c11t-08-110-vi-c,merged_kv,2200002849,0.8,110 ±2,F6.6–F32,5.9–28.7,131–31,0.061–0.013,0.8–4,"18.4 mm (1.1"" format)",0.16,Visible (400–700 nm),0.08,C-mount,152.6,Yes
Basler,telecentric,Telecentric Lenses (Basler),basler_lens_telecentric,Basler Lens C11T-08-110-VI,https://docs.baslerweb.com/c11t-08-110-vi,merged_kv,2200002848,0.8,110 ±2,F6.6,4.9,128,0.061,±0.4 @ F6.6,"18.0 mm (1.1"" format)",0.08,Visible (400–700 nm),0.06,C-mount,142.5,No
Basler,telecentric,Telecentric Lenses (Basler),basler_lens_telecentric,Basler Lens C11T-1-110-VI-C,https://docs.baslerweb.com/c11t-1-110-vi-c,merged_kv,2200002851,1.0,110 ±2,F7–F32,4.7–21.5,128–31,0.071–0.016,0.6–2.6,"18.4 mm (1.1"" format)",0.1,Visible (400–700 nm),0.06,C-mount,152.6,Yes
Basler,telecentric,Telecentric Lenses (Basler),basler_lens_telecentric,Basler Lens C11T-1-110-VI,https://docs.baslerweb.com/c11t-1-110-vi,merged_kv,2200002850,1.0,110 ±2,F7–F32,4.7–21.5,128–31,0.071–0.016,0.6–2.6,"18.4 mm (1.1"" format)",0.1,Visible (400–700 nm),0.06,C-mount,142.6,No
Basler,telecentric,Telecentric Lenses (Basler),basler_lens_telecentric,Basler Lens C11T-2-110-VI-C,https://docs.baslerweb.com/c11t-2-110-vi-c,merged_kv,2200002853,2.0,110 ±2,F13.5–F32,4.6–10.8,60–31,0.074–0.031,0.3–0.6,"18.0 mm (1.1"" format)",0.07,Visible (400–700 nm),0.07,C-mount,133.2,Yes
Basler,telecentric,Telecentric Lenses (Basler),basler_lens_telecentric,Basler Lens C11T-2-110-VI,https://docs.baslerweb.com/c11t-2-110-vi,merged_kv,2200002852,2.0,110,F13.5–F32,4.6–10.8,60–31,0.074–0.031,0.3–0.6,"18.0 mm (1.1"" format)",0.07,Visible (400–700 nm),0.07,C-mount,133.2,No
Basler,telecentric,Telecentric Lenses (Basler),basler_lens_telecentric,Basler Lens C11T-4-110-VI-C,https://docs.baslerweb.com/c11t-4-110-vi-c,merged_kv,2200002855,4.0,108,F20.2–F64,3.6–11.5,43–15,0.099–0.031,0.1–0.3,"18.4 mm (1.1"" format)",0.07,Visible (400–700 nm),0.04,C-mount,169.1,Yes
Basler,telecentric,Telecentric Lenses (Basler),basler_lens_telecentric,Basler Lens C11T-4-110-VI,https://docs.baslerweb.com/c11t-4-110-vi,merged_kv,2200002854,4.0,108,F20–F64,3.4–11.2,40–15,0.1–0.03,0.1–0.3,"18.4 mm (1.1"" format)",0.06,Visible (400–700 nm),0.07,C-mount,162.4,No
