brand,lens_type,raw_category,target_key,model,_source_url,_table_index,_group,Coaxial,Mag,W.D. (mm),Resolution (um),N.A,Effective F/#,D.O.F (),Telecentricity (Degree),Optical distortion (%),Sensorsize,Mount
T-Optics,fixed_focal,Non-Telecentric Lenses (MCL),toptics_fa_lens,MCL0.063X-240-9,http://www.toptics.co.kr/design/subpage/sub2-1.asp?mode=view&id=61,toptics_row_1,MCL-Sensor DIa 8~9mm,X,0.063,240,53.2,0.0063,5,100mm,,0.05,9mm,C
T-Optics,fixed_focal,Non-Telecentric Lenses (MCL),toptics_fa_lens,MCL0.063X-300-9,http://www.toptics.co.kr/design/subpage/sub2-1.asp?mode=view&id=61,toptics_row_2,MCL-Sensor DIa 8~9mm,X,0.063,300,53.2,0.063,5,100mm,,0.05,9mm,C
T-Optics,fixed_focal,Non-Telecentric Lenses (MCL),toptics_fa_lens,MCL0.2X-255-9,http://www.toptics.co.kr/design/subpage/sub2-1.asp?mode=view&id=61,toptics_row_3,MCL-Sensor DIa 8~9mm,X,0.2X,255,23.5,0.0142,7,14mm,,0.06,9mm,C
T-Optics,fixed_focal,Non-Telecentric Lenses (MCL),toptics_fa_lens,MCL0.228X-220-8,http://www.toptics.co.kr/design/subpage/sub2-1.asp?mode=view&id=61,toptics_row_4,MCL-Sensor DIa 8~9mm,X,0.228X,220,18.4,0.0182,6.25,1.48mm,,0.03,8mm,C
T-Optics,fixed_focal,Non-Telecentric Lenses (MCL),toptics_fa_lens,MCL0.3X-195-9,http://www.toptics.co.kr/design/subpage/sub2-1.asp?mode=view&id=61,toptics_row_5,MCL-Sensor DIa 8~9mm,X,0.3X,195,29,0.0115,13,9.8mm,,0.03,9mm,C
T-Optics,fixed_focal,Non-Telecentric Lenses (MCL),toptics_fa_lens,MCL0.22X-310-11,http://www.toptics.co.kr/design/subpage/sub2-1.asp?mode=view&id=61,toptics_row_6,MCL-Sensor Dia 11~14mm Series,X,0.22X,310,22.6,0.0148,7.4,12.2mm,,0.05,11mm,C
T-Optics,fixed_focal,Non-Telecentric Lenses (MCL),toptics_fa_lens,MCL0.25X-279-11,http://www.toptics.co.kr/design/subpage/sub2-1.asp?mode=view&id=61,toptics_row_7,MCL-Sensor Dia 11~14mm Series,X,0.25X,279,20.6,0.0162,7.7,9.6mm,,0.05,11mm,C
T-Optics,fixed_focal,Non-Telecentric Lenses (MCL),toptics_fa_lens,MCL0.3X-240-11,http://www.toptics.co.kr/design/subpage/sub2-1.asp?mode=view&id=61,toptics_row_8,MCL-Sensor Dia 11~14mm Series,X,0.3X,240,17.4,0.0192,7.8,11.5mm,,0.04,11mm,C
T-Optics,fixed_focal,Non-Telecentric Lenses (MCL),toptics_fa_lens,MCL0.32X-225-11,http://www.toptics.co.kr/design/subpage/sub2-1.asp?mode=view&id=61,toptics_row_9,MCL-Sensor Dia 11~14mm Series,X,0.32X,225,16.8,0.02,8,6.9mm,,0.03,11mm,C
T-Optics,fixed_focal,Non-Telecentric Lenses (MCL),toptics_fa_lens,MCL0.35X-210-11,http://www.toptics.co.kr/design/subpage/sub2-1.asp?mode=view&id=61,toptics_row_10,MCL-Sensor Dia 11~14mm Series,X,0.35X,210,15.3,0.0218,8,6.25mm,,0.03,11mm,C
T-Optics,fixed_focal,Non-Telecentric Lenses (MCL),toptics_fa_lens,MCL0.37X-200-11,http://www.toptics.co.kr/design/subpage/sub2-1.asp?mode=view&id=61,toptics_row_11,MCL-Sensor Dia 11~14mm Series,X,0.37X,200,14.5,0.0231,8,4.6mm,,0.03,11mm,C
T-Optics,fixed_focal,Non-Telecentric Lenses (MCL),toptics_fa_lens,MCL0.43X-135-14,http://www.toptics.co.kr/design/subpage/sub2-1.asp?mode=view&id=61,toptics_row_12,MCL-Sensor Dia 11~14mm Series,X,0.43X,135,20.3,0.0165,13,5.6mm,,0.03,14mm,C
T-Optics,fixed_focal,Non-Telecentric Lenses (MCL),toptics_fa_lens,MCL0.4X-190-18,http://www.toptics.co.kr/design/subpage/sub2-1.asp?mode=view&id=61,toptics_row_13,MCL-Sensor Dia 18mm (1.1,X,0.4X,190,16.8,0.02,10,2.7mm,,0.05,18mm,C
T-Optics,fixed_focal,Non-Telecentric Lenses (MCL),toptics_fa_lens,MCL0.5X-160-18,http://www.toptics.co.kr/design/subpage/sub2-1.asp?mode=view&id=61,toptics_row_14,MCL-Sensor Dia 18mm (1.1,X,0.5X,160,13.4,0.025,10,1.7mm,,0.03,18mm,C
T-Optics,fixed_focal,Non-Telecentric Lenses (MCL),toptics_fa_lens,MCL0.55X-107-18,http://www.toptics.co.kr/design/subpage/sub2-1.asp?mode=view&id=61,toptics_row_15,MCL-Sensor Dia 18mm (1.1,X,0.55X,107,18.3,0.0172,16,2.3mm,,0.03,18mm,C
T-Optics,fixed_focal,Non-Telecentric Lenses (MCL),toptics_fa_lens,MCL0.568X-145-18,http://www.toptics.co.kr/design/subpage/sub2-1.asp?mode=view&id=61,toptics_row_16,MCL-Sensor Dia 18mm (1.1,X,0.568X,145,11.8,0.0284,10,1.36mm,,0.03,18mm,C
T-Optics,fixed_focal,Non-Telecentric Lenses (MCL),toptics_fa_lens,MCL0.67X-128-18,http://www.toptics.co.kr/design/subpage/sub2-1.asp?mode=view&id=61,toptics_row_17,MCL-Sensor Dia 18mm (1.1,X,0.67X,128,15.2,0.022,15,2.67mm,,0.02,18mm,C
