brand,lens_type,raw_category,target_key,model,_source_url,_table_index,_group,Coaxial,Mag,W.D. (mm),Resolution (um),N.A,Effective F/#,D.O.F (),Telecentricity (Degree),Optical distortion (%),Sensorsize,Mount
T-Optics,telecentric,Telecentric Lenses,toptics_telecentric,OTC0.4X-85-8,http://www.toptics.co.kr/design/subpage/sub2-1.asp?mode=view&id=49,toptics_row_1,OTC-Sensor Dia 9mm W.D. 65mm,X,0.4X,85,21.9,0.0153,13,6.5mm,0.03,0.03,8mm,C
T-Optics,telecentric,Telecentric Lenses,toptics_telecentric,OTC0.5X-65/C-9,http://www.toptics.co.kr/design/subpage/sub2-1.asp?mode=view&id=49,toptics_row_2,OTC-Sensor Dia 9mm W.D. 65mm,O,0.5X,65,18.8,0.0178,14,4.48mm,0.03,0.04,9mm,C
T-Optics,telecentric,Telecentric Lenses,toptics_telecentric,OTC0.8X-65/C-9,http://www.toptics.co.kr/design/subpage/sub2-1.asp?mode=view&id=49,toptics_row_3,OTC-Sensor Dia 9mm W.D. 65mm,O,0.8X,65,12.5,0.0268,14.9,1.86mm,0.03,0.03,9mm,C
T-Optics,telecentric,Telecentric Lenses,toptics_telecentric,OTC1.0X-65/C-9,http://www.toptics.co.kr/design/subpage/sub2-1.asp?mode=view&id=49,toptics_row_4,OTC-Sensor Dia 9mm W.D. 65mm,O,1.0X,65,12.5,0.0268,18.6,1.48mm,0.03,0.03,9mm,C
T-Optics,telecentric,Telecentric Lenses,toptics_telecentric,OTC1.5X-65/C-9,http://www.toptics.co.kr/design/subpage/sub2-1.asp?mode=view&id=49,toptics_row_5,OTC-Sensor Dia 9mm W.D. 65mm,O,1.5X,65,7,0.0477,15.7,558,0.05,0.06,9mm,C
T-Optics,telecentric,Telecentric Lenses,toptics_telecentric,OTC2.0X-65/C-9,http://www.toptics.co.kr/design/subpage/sub2-1.asp?mode=view&id=49,toptics_row_6,OTC-Sensor Dia 9mm W.D. 65mm,O,2.0X,65,5.2,0.0645,15.5,310,0.02,0.03,9mm,C
T-Optics,telecentric,Telecentric Lenses,toptics_telecentric,OTC3.0X-65/C-9,http://www.toptics.co.kr/design/subpage/sub2-1.asp?mode=view&id=49,toptics_row_7,OTC-Sensor Dia 9mm W.D. 65mm,O,3.0X,65,4.8,0.0697,21.5,191,0.05,0.03,9mm,C
T-Optics,telecentric,Telecentric Lenses,toptics_telecentric,OTC4.0X-65/C-9,http://www.toptics.co.kr/design/subpage/sub2-1.asp?mode=view&id=49,toptics_row_8,OTC-Sensor Dia 9mm W.D. 65mm,O,4.0X,65,4.4,0.0763,26.2,131,0.04,0.03,9mm,C
T-Optics,telecentric,Telecentric Lenses,toptics_telecentric,OTC5.0X-65/C-9,http://www.toptics.co.kr/design/subpage/sub2-1.asp?mode=view&id=49,toptics_row_9,OTC-Sensor Dia 9mm W.D. 65mm,O,5.0X,65,4.4,0.0757,33,105,0.04,0.04,9mm,C
T-Optics,telecentric,Telecentric Lenses,toptics_telecentric,OTC6.0X-65/C-9,http://www.toptics.co.kr/design/subpage/sub2-1.asp?mode=view&id=49,toptics_row_10,OTC-Sensor Dia 9mm W.D. 65mm,O,6.0X,65,4.4,0.0759,39.5,87,0.04,0.05,9mm,C
