brand,board_type,model,raw_category,camera_interface,interface_standard,num_ports,max_cameras,pcie_interface,max_bandwidth_gbps,delivery_bandwidth_MBps,onboard_memory,bit_depth,sensor_type,linescan_support,form_factor,dimensions,weight_g,power_w,operating_temp,os_support,fpga,sdk,_source_url,_raw_target
Basler,coaxpress,imaFlex 2 Dual 100,Frame Grabbers (imaFlex/imaWorx/microEnable 5 marathon),CoaXPress,,2,2,PCIe x16 Gen3,200.0,13040,10 GByte DDR4-RAM,8-16-bit (grayscale),Grayscale,,,"PCIe Standard height, three-quarters length card: 239 mm length x 111.15 mm height",394,45,0–50°C,Windows,Xilinx Ultrascale+ KU15P,Framegrabber SDK,https://www.baslerweb.com/en-us/shop/imaflex-2-dual-100/,basler_fg_hub
Basler,coaxpress,imaFlex CXP-12 Quad,Frame Grabbers (imaFlex/imaWorx/microEnable 5 marathon),CoaXPress,,4,4,PCIe x8 Gen3,50.0,6520,1.5 GByte DDR4-RAM,8-16-bit (grayscale) 24-48-bit (color),Both,Y,"PCIe Standard height, half length card","PCIe Standard height, half length card: 167.64 mm length x 111.15 mm height",274,4,0–50°C,Windows / Linux,Xilinx Ultrascale+ KU3P,.net interface Framegrabber SDK GenTL,https://www.baslerweb.com/en-us/shop/imaflex-cxp-12-quad/,basler_fg_hub
Basler,coaxpress,imaFlex CXP-12 Penta,Frame Grabbers (imaFlex/imaWorx/microEnable 5 marathon),CoaXPress,,5,5,PCIe x8 Gen3,62.5,6520,2.5 GByte DDR4-RAM,8-16-bit (grayscale) 24-48-bit (color),Both,Y,"PCIe Standard height, half length card","PCIe Standard height, half length card: 167.64 mm length x 111.15 mm height",274,4,0–50°C,Windows / Linux,Xilinx Ultrascale+ KU3P,.net interface Framegrabber SDK GenTL,https://www.baslerweb.com/en-us/shop/imaflex-cxp-12-penta/,basler_fg_hub
Basler,coaxpress,imaWorx CXP-12 Quad,Frame Grabbers (imaFlex/imaWorx/microEnable 5 marathon),CoaXPress,,4,4,PCIe x8 Gen3,50.0,6520,1.5 GByte DDR4-RAM,8-16-bit (grayscale) 24-48-bit (color),Both,Y,"PCIe Standard height, half length card","PCIe Standard height, half length card: 167.64 mm length x 111.15 mm height",274,4,0–50°C,Windows / Linux,Xilinx Ultrascale+ KU3P,.net interface Framegrabber SDK GenTL pylon SDKs,https://www.baslerweb.com/en-us/shop/imaworx-cxp-12-quad/,basler_fg_hub
Basler,coaxpress,microEnable 5 marathon ACX-SP,Frame Grabbers (imaFlex/imaWorx/microEnable 5 marathon),CoaXPress,,1,1,PCIe x4 Gen2,6.25,1800,512 MByte DDR3-RAM,8-16-bit (grayscale) 24-48-bit (color),Both,Y,"PCIe Standard height, half length card","PCIe Standard height, half length card: 167.64 mm length x 111.15 mm height",200,,0–50°C,Windows / Linux,Xilinx Kintex7 XC7K70T,.net interface Framegrabber SDK,https://www.baslerweb.com/en-us/shop/microenable-5-marathon-acx-sp/,basler_fg_hub
Basler,coaxpress,microEnable 5 marathon ACX-DP,Frame Grabbers (imaFlex/imaWorx/microEnable 5 marathon),CoaXPress,,,,,,,,,,,,,,,,,,,https://www.baslerweb.com/en-us/shop/microenable-5-marathon-acx-dp/,basler_fg_hub
Basler,coaxpress,microEnable 5 marathon ACX-QP,Frame Grabbers (imaFlex/imaWorx/microEnable 5 marathon),CoaXPress,,4,4,PCIe x4 Gen2,25.0,1800,1 GByte DDR3-RAM,8-16-bit (grayscale) 24-48-bit (color),Both,Y,"PCIe Standard height, half length card","PCIe Standard height, half length card: 167.64 mm length x 111.15 mm height",200,,0–50°C,Windows / Linux,Xilinx Kintex7 XC7K160T,.net interface Framegrabber SDK,https://www.baslerweb.com/en-us/shop/microenable-5-marathon-acx-qp/,basler_fg_hub
Basler,coaxpress,microEnable 5 marathon VCX-QP,Frame Grabbers (imaFlex/imaWorx/microEnable 5 marathon),CoaXPress,,4,4,PCIe x4 Gen2,25.0,1800,2 GByte DDR3-RAM,8-16-bit (grayscale) 24-48-bit (color),Both,Y,"PCIe Standard height, half length card","PCIe Standard height, half length card: 167.64 mm length x 111.15 mm height",168,,0–50°C,Windows / Linux,Xilinx Kintex7 XC7K160T,.net interface Framegrabber SDK,https://www.baslerweb.com/en-us/shop/microenable-5-marathon-vcx-qp/,basler_fg_hub
Basler,camera_link,microEnable 5 marathon ACL,Frame Grabbers (imaFlex/imaWorx/microEnable 5 marathon),Camera Link,,2,2,PCIe x4 Gen2,6.8,1800,512 MByte DDR3-RAM,8-16-bit (grayscale) 24-48-bit (color),Both,Y,"PCIe Standard height, half length card","PCIe Standard height, half length card: 167.64 mm length x 111.15 mm height",200,,0–50°C,Windows / Linux,Xilinx Kintex7 XC7K70T,.net interface Framegrabber SDK,https://www.baslerweb.com/en-us/shop/microenable-5-marathon-acl/,basler_fg_hub
Basler,camera_link,microEnable 5 marathon VCL,Frame Grabbers (imaFlex/imaWorx/microEnable 5 marathon),Camera Link,,2,2,PCIe x4 Gen2,6.8,1800,2 GByte DDR3-RAM,8-16-bit (grayscale) 24-48-bit (color),Both,Y,"PCIe Standard height, half length card","PCIe Standard height, half length card: 167.64 mm length x 111.15 mm height",200,,0–50°C,Windows / Linux,Xilinx Kintex7 XC7K160T,.net interface Framegrabber SDK,https://www.baslerweb.com/en-us/shop/microenable-5-marathon-vcl/,basler_fg_hub
