brand,lens_type,model,raw_category,focal_length_mm,magnification,working_distance_mm,aperture,max_sensor_format_mm,image_circle_mm,fov_mm,numerical_aperture,resolution_um,mtf30_lpmm,dof_mm,distortion_pct,telecentricity_deg,mount,weight_g,coaxial,wavelength_range,_source_url,_raw_target
Basler,fixed_focal,Basler Lens C10-0814-2M-S,Fixed Focal Lenses (Basler),8.25,,1.0 m,F1.4–F16,16,16,,,"Designed for 64 LP/mm (7.5 µm pixel size, see Measured Resolution versus Image Height )",,,Typical -7.07 % (see Simulated Distortion versus Image Height ),,C,220,,Visible (400–700 nm),https://docs.baslerweb.com/c10-0814-2m-s,basler_lens_fixed_focal
Basler,fixed_focal,Basler Lens C10-1214-2M-S,Fixed Focal Lenses (Basler),12.7,,1.0 m,F1.4–F16,16,16,,,"Designed for 64 LP/mm (7.5 µm pixel size, see Measured Resolution versus Image Height )",,,Typical -5.93 % (see Simulated Distortion versus Image Height ),,C,175,,Visible (400–700 nm),https://docs.baslerweb.com/c10-1214-2m-s,basler_lens_fixed_focal
Basler,fixed_focal,Basler Lens C10-1614-3M-S,Fixed Focal Lenses (Basler),16.2,,1.0 m,F1.4–F16,16,16,,,"Designed for 100 LP/mm (5.0 µm pixel size, see Measured Resolution versus Image Height )",,,Typical -3.84 % (see Simulated Distortion versus Image Height ),,C,170,,Visible (400–700 nm),https://docs.baslerweb.com/c10-1614-3m-s,basler_lens_fixed_focal
Basler,fixed_focal,Basler Lens C10-2514-3M-S,Fixed Focal Lenses (Basler),25,,1.0 m,F1.4–F16,16,16,,,"Designed for 100 LP/mm (5.0 µm pixel size, see Measured Resolution versus Image Height )",,,Typical -3.14 % (see Simulated Distortion versus Image Height ),,C,150,,Visible (400–700 nm),https://docs.baslerweb.com/c10-2514-3m-s,basler_lens_fixed_focal
Basler,fixed_focal,Basler Lens C10-3514-8M-S,Fixed Focal Lenses (Basler),35,,0.5 m,F1.4–F16,16,16,,,"Designed for 120 LP/mm (4.0 µm pixel size, see Measured Resolution versus Image Height )",,,Typical -0.39 % (see Simulated Distortion versus Image Height ),,C,120,,Visible (400–700 nm),https://docs.baslerweb.com/c10-3514-8m-s,basler_lens_fixed_focal
Basler,fixed_focal,Basler Lens C10-5014-2M-S,Fixed Focal Lenses (Basler),50,,1.0 m,F1.4–F16,16,16,,,"Designed for 64 LP/mm (7.5 µm pixel size, see Measured Resolution versus Image Height )",,,Typical 0.82 % (see Simulated Distortion versus Image Height ),,C,200,,Visible (400–700 nm),https://docs.baslerweb.com/c10-5014-2m-s,basler_lens_fixed_focal
Basler,fixed_focal,Basler Lens C11-0824-12M-P,Fixed Focal Lenses (Basler),8.46,,0.4 m,F2.4–F16,17.6,17.6,,,,,,Typical -9.5 %,,C,264.4,,Visible (400–700 nm),https://docs.baslerweb.com/c11-0824-12m-p,basler_lens_fixed_focal
Basler,fixed_focal,Basler Lens C11-1220-12M-P,Fixed Focal Lenses (Basler),12.39,,0.4 m,F2.0–F16,17.6,17.6,,,,,,Typical -3.10 %,,C,211.2,,Visible (400–700 nm),https://docs.baslerweb.com/c11-1220-12m-p,basler_lens_fixed_focal
Basler,fixed_focal,Basler Lens C11-1620-12M-P,Fixed Focal Lenses (Basler),16.36,,0.4 m,F2.0–F16,17.6,17.6,,,,,,Typical -3.26 %,,C,200.4,,Visible (400–700 nm),https://docs.baslerweb.com/c11-1620-12m-p,basler_lens_fixed_focal
Basler,fixed_focal,Basler Lens C11-2520-12M-P,Fixed Focal Lenses (Basler),25.4,,0.5 m,F2.0–F16,17.6,17.6,,,,,,Typical -0.24 %,,C,215,,Visible (400–700 nm),https://docs.baslerweb.com/c11-2520-12m-p,basler_lens_fixed_focal
Basler,fixed_focal,Basler Lens C11-3520-12M-P,Fixed Focal Lenses (Basler),35,,0.5 m,F2.0–F16,17.6,17.6,,,,,,Typical -0.10 %,,C,240,,Visible (400–700 nm),https://docs.baslerweb.com/c11-3520-12m-p,basler_lens_fixed_focal
Basler,fixed_focal,Basler Lens C11-5020-12M-P,Fixed Focal Lenses (Basler),49.7,,0.5 m,F2.0–F16,17.6,17.6,,,,,,Typical 0.06 %,,C,277.5,,Visible (400–700 nm),https://docs.baslerweb.com/c11-5020-12m-p,basler_lens_fixed_focal
Basler,fixed_focal,Basler Lens C12-1224-25M,Fixed Focal Lenses (Basler),12,,0.5 m,F2.4–F16,19.3,19.3,,,,,,-1.15 % / -0.29 %,,C,243,,Visible (400–700 nm),https://docs.baslerweb.com/c12-1224-25m,basler_lens_fixed_focal
Basler,fixed_focal,Basler Lens C12-1624-25M,Fixed Focal Lenses (Basler),16,,0.5 m,F2.4–F16,19.3,19.3,,,,,,-0.98 % / -0.25 %,,C,215,,Visible (400–700 nm),https://docs.baslerweb.com/c12-1624-25m,basler_lens_fixed_focal
Basler,fixed_focal,Basler Lens C12-2524-25M,Fixed Focal Lenses (Basler),25.4,,0.7 m,F2.4–F16,19.3,19.3,,,,,,-0.24% / -0.08%,,C,215,,Visible (400–700 nm),https://docs.baslerweb.com/c12-2524-25m,basler_lens_fixed_focal
Basler,fixed_focal,Basler Lens C12-3524-25M,Fixed Focal Lenses (Basler),35,,0.7 m,F2.4–F16,19.3,19.3,,,,,,-0.10%/-0.07%,,C,240,,Visible (400–700 nm),https://docs.baslerweb.com/c12-3524-25m,basler_lens_fixed_focal
Basler,fixed_focal,Basler Lens C12-5024-25M,Fixed Focal Lenses (Basler),49.8,,0.7 m,F2.4–F16,19.3,19.3,,,,,,0.06 % / 0.03 %,,C,277.5,,Visible (400–700 nm),https://docs.baslerweb.com/c12-5024-25m,basler_lens_fixed_focal
Basler,fixed_focal,Basler Lens C125-0418-5M-P,Fixed Focal Lenses (Basler),4.09,,0.5 m,F1.8–F22,7.2,7.2,,,"Designed for 230 LP/mm (2.2 µm pixel size, see Resolution versus Image Height )",,,"Typical -18 % (barrel distortion, see Distortion versus Image Height )",,C,55,,"Visible (400–700 nm, see Transmittance )",https://docs.baslerweb.com/c125-0418-5m-p,basler_lens_fixed_focal
Basler,fixed_focal,Basler Lens C125-0618-5M-P,Fixed Focal Lenses (Basler),6.05,,0.5 m,F1.8–F22,7.2,7.2,,,"Designed for 230 LP/mm (2.2 µm pixel size, see Resolution versus Image Height )",,,"Typical -9.9 % (barrel distortion, see Distortion versus Image Height )",,C,55,,"Visible (400–700 nm, see Transmittance )",https://docs.baslerweb.com/c125-0618-5m-p,basler_lens_fixed_focal
Basler,fixed_focal,Basler Lens C125-0818-5M-P,Fixed Focal Lenses (Basler),8.11,,0.5 m,F1.8–F22,7.2,7.2,,,"Designed for 230 LP/mm (2.2 µm pixel size, see Resolution versus Image Height )",,,"Typical -5 % (barrel distortion, see Distortion versus Image Height )",,C,65,,"Visible (400–700 nm, see Transmittance )",https://docs.baslerweb.com/c125-0818-5m-p,basler_lens_fixed_focal
Basler,fixed_focal,Basler Lens C125-1218-5M-P,Fixed Focal Lenses (Basler),12.05,,0.5 m,F1.8–F22,7.2,7.2,,,"Designed for 230 LP/mm (2.2 µm pixel size, see Resolution versus Image Height )",,,"Typical -2.2 % (barrel distortion, see Distortion versus Image Height )",,C,65,,"Visible (400–700 nm, see Transmittance )",https://docs.baslerweb.com/c125-1218-5m-p,basler_lens_fixed_focal
