brand,lens_type,model,raw_category,focal_length_mm,magnification,working_distance_mm,aperture,max_sensor_format_mm,image_circle_mm,fov_mm,numerical_aperture,resolution_um,mtf30_lpmm,dof_mm,distortion_pct,telecentricity_deg,mount,weight_g,coaxial,wavelength_range,_source_url,_raw_target
Schneider-Kreuznach,fixed_focal,CITRINE F1.8/4.8 mm C-Mount lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),4.8,,34,F/1.8 ... F/11,11,,,- | 0.26,,,,,,C,105,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/citrine/f1-8-4-8mm-c,schneider_cmount
Schneider-Kreuznach,fixed_focal,CITRINE F1.8/4.8 mm C-Mount Motorized lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),4.8,,34,F/1.8 ... F/11,11,,,- | 0.26,,,,,,C,149,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/citrine/f1-8-4-8mm-c-motorized-iris,schneider_cmount
Schneider-Kreuznach,fixed_focal,CITRINE F1.8/4.8 mm C-Mount Ruggedized lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),4.8,,34,F/1.8 ... F/11,11,,,- | 0.26,,,,,,C,105,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/citrine/f1-8-4-8mm-c-ruggedized,schneider_cmount
Schneider-Kreuznach,fixed_focal,CITRINE F1.8/4.8 mm C-Mount Stabilized lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),4.8,,34,F/1.8 ... F/11,11,,,- | 0.26,,,,,,C,105,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/citrine/f1-8-4-8mm-c-stabilized,schneider_cmount
Schneider-Kreuznach,fixed_focal,CITRINE F1.4/8 mm C-Mount lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),8,,70,F/1.4 ... F/11,11,,,- | 0.34,,,,,,C,90,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/citrine/f1-4-8mm-c,schneider_cmount
Schneider-Kreuznach,fixed_focal,CITRINE F1.4/8 mm C-Mount Motorized lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),8,,70,F/1.4 ... F/11,11,,,- | 0.34,,,,,,C,134,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/citrine/f1-4-8mm-c-motorized-iris,schneider_cmount
Schneider-Kreuznach,fixed_focal,CITRINE F1.4/8 mm C-Mount Ruggedized lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),8,,70,F/1.4 ... F/11,11,,,- | 0.34,,,,,,C,90,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/citrine/f1-4-8mm-c-ruggedized,schneider_cmount
Schneider-Kreuznach,fixed_focal,CITRINE F1.4/8 mm C-Mount Stabilized lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),8,,70,F/1.4 ... F/11,11,,,- | 0.34,,,,,,C,90,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/citrine/f1-4-8mm-c-stabilized,schneider_cmount
Schneider-Kreuznach,fixed_focal,CITRINE F1.4/12 mm C-Mount lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),12,,106,F/1.4 ... F/11,11,,,- | 0.32,,,,,,C,99,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/citrine/f1-4-12mm-c,schneider_cmount
Schneider-Kreuznach,fixed_focal,CITRINE F1.4/12 mm C-Mount Motorized lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),12,,105,F/1.4 ... F/11,11,,,- | 0.32,,,,,,C,143,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/citrine/f1-4-12mm-c-motorized-iris,schneider_cmount
