brand,lens_type,model,raw_category,focal_length_mm,magnification,working_distance_mm,aperture,max_sensor_format_mm,image_circle_mm,fov_mm,numerical_aperture,resolution_um,mtf30_lpmm,dof_mm,distortion_pct,telecentricity_deg,mount,weight_g,coaxial,wavelength_range,_source_url,_raw_target
T-Optics,fixed_focal,MCL0.063X-240-9,Non-Telecentric Lenses (MCL),,0.063,240,5,9,,,0.0063,53.2,,100mm,0.05,,C,,N,,http://www.toptics.co.kr/design/subpage/sub2-1.asp?mode=view&id=61,toptics_fa_lens
T-Optics,fixed_focal,MCL0.063X-300-9,Non-Telecentric Lenses (MCL),,0.063,300,5,9,,,0.063,53.2,,100mm,0.05,,C,,N,,http://www.toptics.co.kr/design/subpage/sub2-1.asp?mode=view&id=61,toptics_fa_lens
T-Optics,fixed_focal,MCL0.2X-255-9,Non-Telecentric Lenses (MCL),,0.2X,255,7,9,,,0.0142,23.5,,14mm,0.06,,C,,N,,http://www.toptics.co.kr/design/subpage/sub2-1.asp?mode=view&id=61,toptics_fa_lens
T-Optics,fixed_focal,MCL0.228X-220-8,Non-Telecentric Lenses (MCL),,0.228X,220,6.25,8,,,0.0182,18.4,,1.48mm,0.03,,C,,N,,http://www.toptics.co.kr/design/subpage/sub2-1.asp?mode=view&id=61,toptics_fa_lens
T-Optics,fixed_focal,MCL0.3X-195-9,Non-Telecentric Lenses (MCL),,0.3X,195,13,9,,,0.0115,29,,9.8mm,0.03,,C,,N,,http://www.toptics.co.kr/design/subpage/sub2-1.asp?mode=view&id=61,toptics_fa_lens
T-Optics,fixed_focal,MCL0.22X-310-11,Non-Telecentric Lenses (MCL),,0.22X,310,7.4,11,,,0.0148,22.6,,12.2mm,0.05,,C,,N,,http://www.toptics.co.kr/design/subpage/sub2-1.asp?mode=view&id=61,toptics_fa_lens
T-Optics,fixed_focal,MCL0.25X-279-11,Non-Telecentric Lenses (MCL),,0.25X,279,7.7,11,,,0.0162,20.6,,9.6mm,0.05,,C,,N,,http://www.toptics.co.kr/design/subpage/sub2-1.asp?mode=view&id=61,toptics_fa_lens
T-Optics,fixed_focal,MCL0.3X-240-11,Non-Telecentric Lenses (MCL),,0.3X,240,7.8,11,,,0.0192,17.4,,11.5mm,0.04,,C,,N,,http://www.toptics.co.kr/design/subpage/sub2-1.asp?mode=view&id=61,toptics_fa_lens
T-Optics,fixed_focal,MCL0.32X-225-11,Non-Telecentric Lenses (MCL),,0.32X,225,8,11,,,0.02,16.8,,6.9mm,0.03,,C,,N,,http://www.toptics.co.kr/design/subpage/sub2-1.asp?mode=view&id=61,toptics_fa_lens
T-Optics,fixed_focal,MCL0.35X-210-11,Non-Telecentric Lenses (MCL),,0.35X,210,8,11,,,0.0218,15.3,,6.25mm,0.03,,C,,N,,http://www.toptics.co.kr/design/subpage/sub2-1.asp?mode=view&id=61,toptics_fa_lens
T-Optics,fixed_focal,MCL0.37X-200-11,Non-Telecentric Lenses (MCL),,0.37X,200,8,11,,,0.0231,14.5,,4.6mm,0.03,,C,,N,,http://www.toptics.co.kr/design/subpage/sub2-1.asp?mode=view&id=61,toptics_fa_lens
T-Optics,fixed_focal,MCL0.43X-135-14,Non-Telecentric Lenses (MCL),,0.43X,135,13,14,,,0.0165,20.3,,5.6mm,0.03,,C,,N,,http://www.toptics.co.kr/design/subpage/sub2-1.asp?mode=view&id=61,toptics_fa_lens
T-Optics,fixed_focal,MCL0.4X-190-18,Non-Telecentric Lenses (MCL),,0.4X,190,10,18,,,0.02,16.8,,2.7mm,0.05,,C,,N,,http://www.toptics.co.kr/design/subpage/sub2-1.asp?mode=view&id=61,toptics_fa_lens
T-Optics,fixed_focal,MCL0.5X-160-18,Non-Telecentric Lenses (MCL),,0.5X,160,10,18,,,0.025,13.4,,1.7mm,0.03,,C,,N,,http://www.toptics.co.kr/design/subpage/sub2-1.asp?mode=view&id=61,toptics_fa_lens
T-Optics,fixed_focal,MCL0.55X-107-18,Non-Telecentric Lenses (MCL),,0.55X,107,16,18,,,0.0172,18.3,,2.3mm,0.03,,C,,N,,http://www.toptics.co.kr/design/subpage/sub2-1.asp?mode=view&id=61,toptics_fa_lens
T-Optics,fixed_focal,MCL0.568X-145-18,Non-Telecentric Lenses (MCL),,0.568X,145,10,18,,,0.0284,11.8,,1.36mm,0.03,,C,,N,,http://www.toptics.co.kr/design/subpage/sub2-1.asp?mode=view&id=61,toptics_fa_lens
T-Optics,fixed_focal,MCL0.67X-128-18,Non-Telecentric Lenses (MCL),,0.67X,128,15,18,,,0.022,15.2,,2.67mm,0.02,,C,,N,,http://www.toptics.co.kr/design/subpage/sub2-1.asp?mode=view&id=61,toptics_fa_lens
T-Optics,telecentric,OTC0.4X-85-8,Telecentric Lenses,,0.4X,85,13,8,,,0.0153,21.9,,6.5mm,0.03,0.03,C,,N,,http://www.toptics.co.kr/design/subpage/sub2-1.asp?mode=view&id=49,toptics_telecentric
T-Optics,telecentric,OTC0.5X-65/C-9,Telecentric Lenses,,0.5X,65,14,9,,,0.0178,18.8,,4.48mm,0.04,0.03,C,,Y,,http://www.toptics.co.kr/design/subpage/sub2-1.asp?mode=view&id=49,toptics_telecentric
