brand,lens_type,model,raw_category,focal_length_mm,magnification,working_distance_mm,aperture,max_sensor_format_mm,image_circle_mm,fov_mm,numerical_aperture,resolution_um,mtf30_lpmm,dof_mm,distortion_pct,telecentricity_deg,mount,weight_g,coaxial,wavelength_range,_source_url,_raw_target
Vico,telecentric,WWH075-63ATV3,C-Mount High Resolution Telecentric Lenses,,0.75,63±1,6,11.0,,,0.0625,5.4,,0.9,0.05,0.22,C,,N,,https://vicoimaging.com/product-category/c-mount-high-resolution-telecentric-lenses/,vico_cmount_telecentric
Vico,telecentric,WWH075-63CTLV3,C-Mount High Resolution Telecentric Lenses,,0.75,63±1,6,11.0,,,0.06,5.4,,0.9,0.05,0.22,C,,Y,,https://vicoimaging.com/product-category/c-mount-high-resolution-telecentric-lenses/,vico_cmount_telecentric
Vico,telecentric,WWH10-63ATV3,C-Mount High Resolution Telecentric Lenses,,1,63±1,8,11.0,,,0.0625,5.4,,0.6,0.07,0.1,C,,N,,https://vicoimaging.com/product-category/c-mount-high-resolution-telecentric-lenses/,vico_cmount_telecentric
Vico,telecentric,WWH10-63CTLV3,C-Mount High Resolution Telecentric Lenses,,1,63±1,8,11.0,,,0.0625,5.4,,0.6,0.07,0.1,C,,Y,,https://vicoimaging.com/product-category/c-mount-high-resolution-telecentric-lenses/,vico_cmount_telecentric
Vico,telecentric,WWH15-63ATV3,C-Mount High Resolution Telecentric Lenses,,1.5,63±1,7.5,11.0,,,0.1,3.4,,0.3,0.04,0.03,C,,N,,https://vicoimaging.com/product-category/c-mount-high-resolution-telecentric-lenses/,vico_cmount_telecentric
Vico,fixed_focal,MFA118-S06,C-Mount Fixed Focal Length Lenses (FA),6,,100,1-2.0,9.0,,,,,,,< 0.1 %,,C,,,,https://vicoimaging.com/product-category/c-mount-fixed-focal-length-lenses/,vico_fa_lens
Vico,fixed_focal,MFA118-S08,C-Mount Fixed Focal Length Lenses (FA),8,,100,2.8-16,9.0,,,,,,,< 0.12 %,,C,,,,https://vicoimaging.com/product-category/c-mount-fixed-focal-length-lenses/,vico_fa_lens
Vico,fixed_focal,MFA118-S12V2,C-Mount Fixed Focal Length Lenses (FA),12,,100,2.8-16,9.0,,,,,,,-0.20 %,,C,,,,https://vicoimaging.com/product-category/c-mount-fixed-focal-length-lenses/,vico_fa_lens
Vico,fixed_focal,MFA118-S16V2,C-Mount Fixed Focal Length Lenses (FA),16,,100,2.8-16,9.0,,,,,,,-0.40 %,,C,,,,https://vicoimaging.com/product-category/c-mount-fixed-focal-length-lenses/,vico_fa_lens
Vico,fixed_focal,MFA118-S25V2,C-Mount Fixed Focal Length Lenses (FA),25,,100,2.8-16,9.0,,,,,,,-0.02 %,,C,,,,https://vicoimaging.com/product-category/c-mount-fixed-focal-length-lenses/,vico_fa_lens
Vico,linescan_telecentric,DTCA230-22L,Ultra Resolution Bi-Telecentric Lenses (DTCA/라인스캔),,0.5,65±1,5,11.0,,22,,,>160,±0.8@F5.0,<0.1,<0.1,C,200,N,,https://vicoimaging.com/product-category/ultra-resolution-bi-telecentric-lenses/,vico_linescan_telecentric
Vico,linescan_telecentric,DTCA230-22C,Ultra Resolution Bi-Telecentric Lenses (DTCA/라인스캔),,0.5,65±1,5,11.0,,22,,,>160,±0.8@F5.0,<0.1,<0.1,C,200,Y,,https://vicoimaging.com/product-category/ultra-resolution-bi-telecentric-lenses/,vico_linescan_telecentric
Vico,linescan_telecentric,DTCA230-27.5,Ultra Resolution Bi-Telecentric Lenses (DTCA/라인스캔),,0.4,85±2,4.5,11.0,,27.5,,,>205,±1.1@F4.5,<0.03,<0.1,C,300,N,,https://vicoimaging.com/product-category/ultra-resolution-bi-telecentric-lenses/,vico_linescan_telecentric
Vico,linescan_telecentric,DTCA230-27.5C,Ultra Resolution Bi-Telecentric Lenses (DTCA/라인스캔),,0.4,85±2,4.5,11.0,,27.5,,,>205,±1.1@F4.5,<0.03,<0.1,C,300,Y,,https://vicoimaging.com/product-category/ultra-resolution-bi-telecentric-lenses/,vico_linescan_telecentric
Vico,linescan_telecentric,DTCA230-37,Ultra Resolution Bi-Telecentric Lenses (DTCA/라인스캔),,0.3,110±2,3.75,11.0,,37,,,>220,±1.7@F3.75,<0.1,<0.1,C,400,N,,https://vicoimaging.com/product-category/ultra-resolution-bi-telecentric-lenses/,vico_linescan_telecentric
